rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,4h_close_position_zscore,0.22664331,4.3976,4.3976,price_action,True
2,1d_returns_5_zscore,0.19469850,3.7777,8.1753,momentum,True
3,1d_close_position_zscore,0.17638128,3.4223,11.5976,price_action,True
4,rsi_14_zscore,0.15982191,3.1010,14.6987,momentum,True
5,returns_1_zscore,0.15263534,2.9616,17.6603,momentum,True
6,returns_20_zscore,0.13542362,2.6276,20.2879,momentum,True
7,bb_pctb_zscore,0.10913839,2.1176,22.4055,volatility,True
8,1d_high_low_range_zscore,0.09774280,1.8965,24.3020,volatility,True
9,4h_obv_zscore,0.09552263,1.8534,26.1554,volume,True
10,4h_returns_1_zscore,0.08224124,1.5957,27.7512,momentum,True
11,volume_sma_ratio,0.08216643,1.5943,29.3454,volume,True
12,hour_cos_zscore,0.07887143,1.5303,30.8758,session,True
13,vwap_distance_zscore,0.07868150,1.5267,32.4025,volume,True
14,4h_hour_sin_zscore,0.07644310,1.4832,33.8857,session,True
15,returns_5_zscore,0.07255528,1.4078,35.2935,momentum,True
16,macd_signal_zscore,0.06961828,1.3508,36.6443,trend,True
17,4h_bb_pctb_zscore,0.06837720,1.3267,37.9710,volatility,True
18,squeeze_on_zscore,0.06749945,1.3097,39.2807,volatility,True
19,1d_vwap_distance_zscore,0.06314567,1.2252,40.5059,volume,True
20,1d_vwap_zscore,0.06161620,1.1955,41.7015,volume,True
21,macd_histogram_zscore,0.06146853,1.1927,42.8941,trend,True
22,4h_high_low_range_zscore,0.05742069,1.1141,44.0083,volatility,True
23,lead_ussp5_lag6_zscore,0.05578352,1.0824,45.0906,cross_asset,True
24,macd_zscore,0.05468827,1.0611,46.1518,trend,True
25,4h_adx_zscore,0.05391712,1.0462,47.1979,trend,True
26,1d_obv_zscore,0.05236962,1.0161,48.2140,volume,True
27,obv,0.05203216,1.0096,49.2236,volume,True
28,vwap_z_score_zscore,0.05009890,0.9721,50.1957,volume,True
29,vwap_zscore,0.04959267,0.9622,51.1579,volume,True
30,vwap_sd_zscore,0.04883347,0.9475,52.1055,volatility,True
31,atr_14_zscore,0.04506318,0.8744,52.9798,volatility,True
32,bb_width_zscore,0.04404549,0.8546,53.8344,volatility,True
33,1d_volume_sma_ratio,0.04372827,0.8485,54.6829,volume,True
34,1d_kc_lower_zscore,0.04322669,0.8387,55.5216,volatility,True
35,4h_returns_5_zscore,0.04150519,0.8053,56.3270,momentum,True
36,4h_vwap_zscore,0.04125715,0.8005,57.1275,volume,True
37,4h_stoch_rsi_k_zscore,0.04075271,0.7907,57.9182,momentum,True
38,hour_sin_zscore,0.04050118,0.7858,58.7040,session,True
39,adx_zscore,0.04008606,0.7778,59.4818,trend,True
40,1d_rsi_14_zscore,0.04004324,0.7770,60.2588,momentum,True
41,1d_bb_pctb_zscore,0.03940862,0.7646,61.0234,volatility,True
42,hvol_20_zscore,0.03885498,0.7539,61.7773,volatility,True
43,1d_returns_20_zscore,0.03841837,0.7454,62.5228,momentum,True
44,plus_di_zscore,0.03757728,0.7291,63.2519,trend,True
45,4h_volume_sma_ratio_log_zscore,0.03632429,0.7048,63.9567,volume,True
46,4h_hour_cos_zscore,0.03618028,0.7020,64.6587,session,True
47,4h_stoch_rsi_d_zscore,0.03610991,0.7006,65.3593,momentum,True
48,stoch_rsi_k_zscore,0.03608366,0.7001,66.0595,momentum,True
49,1d_minus_di_zscore,0.03598836,0.6983,66.7578,trend,True
50,4h_bos_signal_zscore,0.03387442,0.6573,67.4150,structure,True
51,ema_cross_8_21_zscore,0.03350585,0.6501,68.0651,trend,True
52,atr_ratio_zscore,0.03333056,0.6467,68.7119,volatility,True
53,4h_volume_sma_ratio,0.03133387,0.6080,69.3198,volume,True
54,4h_dow_cos_zscore,0.03104504,0.6024,69.9222,session,True
55,1d_plus_di_zscore,0.02794609,0.5422,70.4644,trend,True
56,high_low_range_zscore,0.02776868,0.5388,71.0032,volatility,True
57,lead_ussp5_lag1_zscore,0.02768417,0.5372,71.5404,cross_asset,True
58,4h_macd_histogram_zscore,0.02750935,0.5338,72.0742,trend,True
59,obv_log_zscore,0.02662084,0.5165,72.5907,volume,True
60,1d_volume_sma_ratio_log_zscore,0.02631808,0.5107,73.1013,volume,True
61,vwap_rolling_zscore,0.02630256,0.5103,73.6117,volume,True
62,1d_vwap_rolling_zscore,0.02585775,0.5017,74.1134,volume,True
63,minus_di_zscore,0.02394053,0.4645,74.5779,trend,True
64,dow_sin_zscore,0.02381034,0.4620,75.0399,session,True
65,4h_bb_width_zscore,0.02371777,0.4602,75.5001,volatility,True
66,structure_trend_zscore,0.02368872,0.4596,75.9597,structure,True
67,1d_ema_200_zscore,0.02353269,0.4566,76.4163,trend,True
68,bb_lower_zscore,0.02343563,0.4547,76.8711,volatility,True
69,close_position_zscore,0.02307298,0.4477,77.3188,price_action,True
70,4h_bb_squeeze_duration_zscore,0.02256594,0.4378,77.7566,volatility,True
71,corr_ussp5_20_zscore,0.02256390,0.4378,78.1944,cross_asset,True
72,corr_ussp5_100_zscore,0.02224888,0.4317,78.6261,cross_asset,True
73,4h_vwap_sd_zscore,0.02215302,0.4298,79.0559,volatility,True
74,4h_minus_di_zscore,0.02201345,0.4271,79.4831,trend,True
75,4h_dow_sin_zscore,0.02184724,0.4239,79.9070,session,True
76,1d_dow_cos_zscore,0.02077780,0.4032,80.3101,session,True
77,1d_ema_8_zscore,0.02037799,0.3954,80.7055,trend,True
78,vwap_upper_30_zscore,0.02030543,0.3940,81.0995,volume,True
79,1d_dow_sin_zscore,0.02028596,0.3936,81.4931,session,True
80,1d_bb_width_zscore,0.01960493,0.3804,81.8735,volatility,True
81,1d_macd_histogram_zscore,0.01938654,0.3762,82.2497,trend,True
82,4h_plus_di_zscore,0.01935649,0.3756,82.6252,trend,True
83,volume_sma_ratio_log_zscore,0.01929186,0.3743,82.9996,volume,True
84,stoch_rsi_d_zscore,0.01914738,0.3715,83.3711,momentum,True
85,1d_returns_1_zscore,0.01912255,0.3710,83.7421,momentum,True
