rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,returns_1_zscore,0.20420112,6.0422,6.0422,momentum,True
2,1d_close_position_zscore,0.16563474,4.9011,10.9433,price_action,True
3,4h_close_position_zscore,0.15833201,4.6850,15.6282,price_action,True
4,4h_returns_1_zscore,0.15112562,4.4717,20.1000,momentum,True
5,rsi_14_zscore,0.10309649,3.0506,23.1505,momentum,True
6,1d_returns_5_zscore,0.09549385,2.8256,25.9762,momentum,True
7,4h_high_low_range_zscore,0.07547078,2.2331,28.2093,volatility,True
8,hour_cos_zscore,0.07063455,2.0900,30.2994,session,True
9,vwap_z_score_zscore,0.06977354,2.0646,32.3639,volume,True
10,returns_5_zscore,0.06698392,1.9820,34.3459,momentum,True
11,4h_returns_5_zscore,0.06466657,1.9135,36.2594,momentum,True
12,vwap_distance_zscore,0.06267488,1.8545,38.1139,volume,True
13,1d_high_low_range_zscore,0.06117723,1.8102,39.9241,volatility,True
14,1d_returns_1_zscore,0.06009260,1.7781,41.7022,momentum,True
15,1d_rsi_14_zscore,0.05422736,1.6046,43.3068,momentum,True
16,hour_sin_zscore,0.04738137,1.4020,44.7088,session,True
17,macd_signal_zscore,0.04705744,1.3924,46.1012,trend,True
18,volume_sma_ratio,0.04611079,1.3644,47.4656,volume,True
19,bb_pctb_zscore,0.04240203,1.2547,48.7202,volatility,True
20,4h_bb_pctb_zscore,0.04153557,1.2290,49.9493,volatility,True
21,atr_14_zscore,0.04078666,1.2069,51.1561,volatility,True
22,macd_zscore,0.03775608,1.1172,52.2733,trend,True
23,1d_bb_pctb_zscore,0.03718494,1.1003,53.3736,volatility,True
24,atr_ratio_zscore,0.03587209,1.0614,54.4350,volatility,True
25,minus_di_zscore,0.03499044,1.0354,55.4704,trend,True
26,1d_vwap_z_score_zscore,0.03461503,1.0242,56.4946,volume,True
27,4h_adx_zscore,0.03417202,1.0111,57.5058,trend,True
28,1d_plus_di_zscore,0.03358409,0.9937,58.4995,trend,True
29,obv,0.03351574,0.9917,59.4912,volume,True
30,4h_hour_sin_zscore,0.03319532,0.9822,60.4734,session,True
31,4h_hour_cos_zscore,0.03316924,0.9815,61.4549,session,True
