rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.24797122,10.1696,10.1696,price_action,True
2,1d_returns_1_zscore,0.12952712,5.3121,15.4817,momentum,True
3,bb_pctb_zscore,0.08219834,3.3711,18.8527,volatility,True
4,4h_close_position_zscore,0.06099127,2.5013,21.3541,price_action,True
5,hour_cos_zscore,0.05401860,2.2154,23.5694,session,True
6,1d_high_low_range_zscore,0.04770707,1.9565,25.5260,volatility,True
7,1d_bb_pctb_zscore,0.04553396,1.8674,27.3934,volatility,True
8,rsi_14_zscore,0.04551422,1.8666,29.2600,momentum,True
9,vwap_z_score_zscore,0.03516281,1.4421,30.7020,volume,True
10,vwap_distance_zscore,0.03456023,1.4174,32.1194,volume,True
11,4h_hour_sin_zscore,0.03434864,1.4087,33.5281,session,True
12,macd_zscore,0.03372184,1.3830,34.9110,trend,True
13,1d_rsi_14_zscore,0.03080201,1.2632,36.1743,momentum,True
14,4h_structure_trend_zscore,0.02997498,1.2293,37.4036,structure,True
15,4h_minus_di_zscore,0.02988962,1.2258,38.6294,trend,True
16,1d_obv_zscore,0.02841410,1.1653,39.7947,volume,True
17,4h_plus_di_zscore,0.02816022,1.1549,40.9496,trend,True
18,4h_bb_upper_zscore,0.02797599,1.1473,42.0969,volatility,True
19,macd_histogram_zscore,0.02771010,1.1364,43.2333,trend,True
20,4h_adx_zscore,0.02746386,1.1263,44.3597,trend,True
21,4h_returns_1_zscore,0.02584752,1.0600,45.4197,momentum,True
22,returns_5_zscore,0.02575603,1.0563,46.4760,momentum,True
23,vwap_upper_10_zscore,0.02353574,0.9652,47.4412,volume,True
24,stoch_rsi_k_zscore,0.02261383,0.9274,48.3686,momentum,True
25,4h_vwap_upper_30_zscore,0.02260767,0.9272,49.2958,volume,True
26,1d_kc_upper_zscore,0.02116502,0.8680,50.1638,volatility,True
27,close_position_zscore,0.02095165,0.8593,51.0231,price_action,True
28,1d_vwap_distance_zscore,0.01977151,0.8109,51.8339,volume,True
29,4h_hour_cos_zscore,0.01967205,0.8068,52.6407,session,True
30,hour_sin_zscore,0.01875414,0.7691,53.4098,session,True
31,atr_ratio_zscore,0.01845464,0.7568,54.1667,volatility,True
32,returns_1_zscore,0.01812877,0.7435,54.9102,momentum,True
33,minus_di_zscore,0.01801171,0.7387,55.6488,trend,True
34,adx_zscore,0.01769757,0.7258,56.3746,trend,True
35,4h_vwap_upper_20_zscore,0.01752631,0.7188,57.0934,volume,True
36,4h_vwap_z_score_zscore,0.01707850,0.7004,57.7938,volume,True
37,sector_dispersion_12_zscore,0.01678308,0.6883,58.4821,cross_asset,True
38,stoch_rsi_d_zscore,0.01658749,0.6803,59.1624,momentum,True
39,vwap_sd_zscore,0.01647721,0.6758,59.8381,volatility,True
40,corr_copper_100_zscore,0.01636329,0.6711,60.5092,cross_asset,True
41,1d_returns_5_zscore,0.01615449,0.6625,61.1717,momentum,True
42,plus_di_zscore,0.01572106,0.6447,61.8165,trend,True
43,1d_macd_histogram_zscore,0.01548891,0.6352,62.4517,trend,True
44,1d_returns_20_zscore,0.01515258,0.6214,63.0731,momentum,True
45,macd_signal_zscore,0.01478474,0.6063,63.6795,trend,True
46,squeeze_momentum_zscore,0.01452119,0.5955,64.2750,volatility,True
47,1d_macd_signal_zscore,0.01438184,0.5898,64.8648,trend,True
48,bb_middle_zscore,0.01410113,0.5783,65.4431,volatility,True
49,1d_vwap_upper_30_zscore,0.01389712,0.5699,66.0131,volume,True
50,returns_20_zscore,0.01380540,0.5662,66.5792,momentum,True
51,1d_volume_sma_ratio_log_zscore,0.01372408,0.5628,67.1421,volume,True
