rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.17768276,5.8982,5.8982,momentum,True
2,4h_close_position_zscore,0.16244473,5.3924,11.2906,price_action,True
3,1d_close_position_zscore,0.11650282,3.8673,15.1579,price_action,True
4,rsi_14_zscore,0.09386802,3.1160,18.2738,momentum,True
5,4h_returns_1_zscore,0.08370767,2.7787,21.0525,momentum,True
6,bb_pctb_zscore,0.07908618,2.6253,23.6778,volatility,True
7,1d_high_low_range_zscore,0.07385979,2.4518,26.1296,volatility,True
8,sector_momentum_12_zscore,0.07311147,2.4269,28.5565,cross_asset,True
9,returns_1_zscore,0.06927735,2.2997,30.8562,momentum,True
10,vwap_distance_zscore,0.05574454,1.8504,32.7066,volume,True
11,1d_vwap_distance_zscore,0.05518255,1.8318,34.5384,volume,True
12,hour_cos_zscore,0.05233745,1.7373,36.2758,session,True
13,plus_di_zscore,0.04508356,1.4966,37.7723,trend,True
14,returns_20_zscore,0.04496285,1.4925,39.2649,momentum,True
15,bb_width_zscore,0.04195668,1.3928,40.6576,volatility,True
16,returns_5_zscore,0.04146409,1.3764,42.0340,momentum,True
17,4h_hour_cos_zscore,0.04087874,1.3570,43.3910,session,True
18,1d_kc_lower_zscore,0.03878136,1.2874,44.6784,volatility,True
19,1d_vwap_z_score_zscore,0.03705141,1.2299,45.9083,volume,True
20,1d_bb_pctb_zscore,0.03594109,1.1931,47.1014,volatility,True
21,1d_rsi_14_zscore,0.03444066,1.1433,48.2446,momentum,True
22,ema_8_zscore,0.03290554,1.0923,49.3369,trend,True
23,minus_di_zscore,0.03220145,1.0689,50.4058,trend,True
24,4h_ema_cross_50_200_zscore,0.02969045,0.9856,51.3914,trend,True
25,vwap_z_score_zscore,0.02733693,0.9075,52.2989,volume,True
26,corr_btc_100_zscore,0.02727704,0.9055,53.2043,cross_asset,True
27,1d_obv_zscore,0.02679426,0.8894,54.0938,volume,True
28,4h_high_low_range_zscore,0.02642035,0.8770,54.9708,volatility,True
29,atr_ratio_zscore,0.02500693,0.8301,55.8009,volatility,True
30,macd_zscore,0.02483081,0.8243,56.6252,trend,True
31,1d_plus_di_zscore,0.02390802,0.7936,57.4188,trend,True
32,4h_bb_pctb_zscore,0.02304331,0.7649,58.1837,volatility,True
33,4h_macd_zscore,0.02237725,0.7428,58.9265,trend,True
34,vwap_sd_zscore,0.02206270,0.7324,59.6589,volatility,True
35,bos_signal_zscore,0.02202419,0.7311,60.3900,structure,True
36,corr_btc_20_zscore,0.02196813,0.7292,61.1192,cross_asset,True
37,close_position_zscore,0.02142594,0.7112,61.8305,price_action,True
38,sector_dispersion_12_zscore,0.02136930,0.7094,62.5398,cross_asset,True
39,4h_macd_signal_zscore,0.02124579,0.7053,63.2451,trend,True
40,atr_14_zscore,0.02062225,0.6846,63.9296,volatility,True
41,obv_log_zscore,0.01991759,0.6612,64.5908,volume,True
42,hour_sin_zscore,0.01983293,0.6584,65.2492,session,True
43,macd_histogram_zscore,0.01973880,0.6552,65.9044,trend,True
44,lead_btc_lag6_zscore,0.01933044,0.6417,66.5461,cross_asset,True
45,1d_stoch_rsi_k_zscore,0.01896733,0.6296,67.1757,momentum,True
46,hvol_20_zscore,0.01842133,0.6115,67.7872,volatility,True
