rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.21943808,8.7944,8.7944,momentum,True
2,4h_close_position_zscore,0.12195518,4.8876,13.6819,price_action,True
3,1d_close_position_zscore,0.11360858,4.5531,18.2350,price_action,True
4,1d_high_low_range_zscore,0.07695431,3.0841,21.3191,volatility,True
5,obv,0.06983609,2.7988,24.1179,volume,True
6,returns_5_zscore,0.06906056,2.7677,26.8856,momentum,True
7,4h_returns_1_zscore,0.06249167,2.5045,29.3901,momentum,True
8,rsi_14_zscore,0.06184823,2.4787,31.8688,momentum,True
9,plus_di_zscore,0.05770602,2.3127,34.1814,trend,True
10,hour_cos_zscore,0.04807149,1.9266,36.1080,session,True
11,returns_1_zscore,0.04796262,1.9222,38.0302,momentum,True
12,4h_hour_cos_zscore,0.04736625,1.8983,39.9285,session,True
13,bb_pctb_zscore,0.04678996,1.8752,41.8037,volatility,True
14,bb_width_zscore,0.04159144,1.6669,43.4705,volatility,True
15,close_position_zscore,0.04102932,1.6443,45.1148,price_action,True
16,bb_squeeze_duration_zscore,0.04046662,1.6218,46.7366,volatility,True
17,4h_bos_signal_zscore,0.03917686,1.5701,48.3067,structure,True
18,1d_vwap_z_score_zscore,0.03568267,1.4300,49.7367,volume,True
19,returns_20_zscore,0.03370130,1.3506,51.0874,momentum,True
20,4h_high_low_range_zscore,0.03083518,1.2358,52.3232,volatility,True
21,1d_vwap_distance_zscore,0.02949079,1.1819,53.5051,volume,True
22,1d_dow_sin_zscore,0.02849549,1.1420,54.6471,session,True
23,atr_14_zscore,0.02796245,1.1206,55.7677,volatility,True
24,macd_zscore,0.02777230,1.1130,56.8807,trend,True
25,atr_ratio_zscore,0.02714661,1.0879,57.9687,volatility,True
26,macd_signal_zscore,0.02619055,1.0496,59.0183,trend,True
27,vwap_sd_zscore,0.02343743,0.9393,59.9576,volatility,True
28,vwap_distance_zscore,0.02290185,0.9178,60.8754,volume,True
29,4h_returns_5_zscore,0.02136677,0.8563,61.7318,momentum,True
30,1d_bb_pctb_zscore,0.02105618,0.8439,62.5756,volatility,True
31,vwap_z_score_zscore,0.02074745,0.8315,63.4071,volume,True
32,1d_rsi_14_zscore,0.02013396,0.8069,64.2140,momentum,True
33,1d_minus_di_zscore,0.01965372,0.7877,65.0017,trend,True
34,macd_histogram_zscore,0.01840688,0.7377,65.7394,trend,True
35,structure_trend_zscore,0.01812396,0.7264,66.4657,structure,True
36,4h_volume_sma_ratio,0.01746258,0.6998,67.1656,volume,True
37,dow_sin_zscore,0.01739217,0.6970,67.8626,session,True
38,4h_dow_sin_zscore,0.01696453,0.6799,68.5425,session,True
39,obv_log_zscore,0.01674951,0.6713,69.2137,volume,True
40,4h_macd_signal_zscore,0.01609458,0.6450,69.8587,trend,True
41,hvol_20_zscore,0.01604480,0.6430,70.5018,volatility,True
42,1d_obv_zscore,0.01584803,0.6351,71.1369,volume,True
43,hour_sin_zscore,0.01540152,0.6172,71.7542,session,True
44,4h_hour_sin_zscore,0.01486404,0.5957,72.3499,session,True
45,stoch_rsi_k_zscore,0.01479477,0.5929,72.9428,momentum,True
46,dow_cos_zscore,0.01361204,0.5455,73.4883,session,True
47,1d_plus_di_zscore,0.01338029,0.5362,74.0245,trend,True
48,1d_atr_14_zscore,0.01298750,0.5205,74.5450,volatility,True
49,1d_returns_20_zscore,0.01266184,0.5074,75.0525,momentum,True
50,4h_bb_width_zscore,0.01260741,0.5053,75.5578,volatility,True
51,bb_upper_zscore,0.01255167,0.5030,76.0608,volatility,True
52,volume_sma_ratio,0.01214568,0.4868,76.5475,volume,True
53,1d_volume_sma_ratio_log_zscore,0.01202418,0.4819,77.0294,volume,True
54,4h_bb_squeeze_zscore,0.01198101,0.4802,77.5096,volatility,True
55,4h_bb_pctb_zscore,0.01187732,0.4760,77.9856,volatility,True
56,1d_ema_50_zscore,0.01186647,0.4756,78.4612,trend,True
57,adx_zscore,0.01177483,0.4719,78.9331,trend,True
58,4h_stoch_rsi_d_zscore,0.01133885,0.4544,79.3875,momentum,True
59,minus_di_zscore,0.01099239,0.4405,79.8280,trend,True
60,bos_signal_zscore,0.01042180,0.4177,80.2457,structure,True
61,4h_obv_zscore,0.01038415,0.4162,80.6619,volume,True
62,1d_volume_sma_ratio,0.01037362,0.4157,81.0776,volume,True
63,1d_returns_5_zscore,0.01030394,0.4129,81.4906,momentum,True
64,4h_hvol_20_zscore,0.01020086,0.4088,81.8994,volatility,True
65,1d_dow_cos_zscore,0.01004567,0.4026,82.3020,session,True
66,1d_structure_trend_zscore,0.01002342,0.4017,82.7037,structure,True
67,stoch_rsi_d_zscore,0.00997529,0.3998,83.1035,momentum,True
68,4h_volume_sma_ratio_log_zscore,0.00991379,0.3973,83.5008,volume,True
69,ema_8_zscore,0.00987948,0.3959,83.8967,trend,True
70,vwap_upper_30_zscore,0.00986407,0.3953,84.2920,volume,True
71,squeeze_on_zscore,0.00976572,0.3914,84.6834,volatility,True
72,bb_lower_zscore,0.00963138,0.3860,85.0694,volatility,False
73,4h_adx_zscore,0.00947691,0.3798,85.4492,trend,False
74,4h_stoch_rsi_k_zscore,0.00911707,0.3654,85.8146,momentum,False
75,4h_dow_cos_zscore,0.00891424,0.3573,86.1718,session,False
76,bb_squeeze_zscore,0.00833652,0.3341,86.5059,volatility,False
77,1d_kc_upper_zscore,0.00750605,0.3008,86.8068,volatility,False
78,4h_minus_di_zscore,0.00709698,0.2844,87.0912,trend,False
79,4h_atr_14_zscore,0.00685735,0.2748,87.3660,volatility,False
80,ema_cross_8_21_zscore,0.00684426,0.2743,87.6403,trend,False
81,bb_middle_zscore,0.00669232,0.2682,87.9085,volatility,False
82,1d_adx_zscore,0.00638822,0.2560,88.1645,trend,False
83,1d_vwap_lower_10_zscore,0.00637167,0.2554,88.4199,volume,False
84,1d_bb_width_zscore,0.00630175,0.2526,88.6724,volatility,False
85,1d_vwap_sd_zscore,0.00625156,0.2505,88.9230,volatility,False
86,4h_macd_zscore,0.00620813,0.2488,89.1718,trend,False
87,4h_bb_squeeze_duration_zscore,0.00614578,0.2463,89.4181,volatility,False
88,vwap_zscore,0.00603952,0.2420,89.6601,volume,False
89,4h_vwap_lower_30_zscore,0.00603042,0.2417,89.9018,volume,False
90,rsi_divergence_zscore,0.00572981,0.2296,90.1314,momentum,False
91,1d_ema_200_zscore,0.00572801,0.2296,90.3610,trend,False
92,4h_vwap_lower_20_zscore,0.00571112,0.2289,90.5899,volume,False
93,4h_plus_di_zscore,0.00565434,0.2266,90.8165,trend,False
94,4h_vwap_sd_zscore,0.00540251,0.2165,91.0330,volatility,False
95,4h_macd_histogram_zscore,0.00532914,0.2136,91.2466,trend,False
96,1d_stoch_rsi_d_zscore,0.00531166,0.2129,91.4595,momentum,False
97,1d_ema_8_zscore,0.00529767,0.2123,91.6718,trend,False
98,kc_lower_zscore,0.00525536,0.2106,91.8824,volatility,False
99,4h_vwap_z_score_zscore,0.00522462,0.2094,92.0918,volume,False
100,high_low_range_zscore,0.00518593,0.2078,92.2996,volatility,False
101,1d_vwap_upper_30_zscore,0.00514511,0.2062,92.5058,volume,False
102,1d_macd_zscore,0.00505064,0.2024,92.7082,trend,False
103,4h_atr_ratio_zscore,0.00499013,0.2000,92.9082,volatility,False
104,ema_200_zscore,0.00498682,0.1999,93.1081,trend,False
105,4h_rsi_14_zscore,0.00483033,0.1936,93.3017,momentum,False
106,4h_bb_middle_zscore,0.00482406,0.1933,93.4950,volatility,False
107,4h_returns_20_zscore,0.00461764,0.1851,93.6800,momentum,False
108,4h_rsi_divergence_zscore,0.00450516,0.1806,93.8606,momentum,False
109,1d_vwap_upper_20_zscore,0.00437909,0.1755,94.0361,volume,False
110,4h_vwap_distance_zscore,0.00422862,0.1695,94.2056,volume,False
111,1d_atr_ratio_zscore,0.00414767,0.1662,94.3718,volatility,False
112,1d_hvol_20_zscore,0.00411457,0.1649,94.5367,volatility,False
113,1d_vwap_lower_20_zscore,0.00389643,0.1562,94.6929,volume,False
114,vwap_lower_30_zscore,0.00387184,0.1552,94.8480,volume,False
115,1d_bb_lower_zscore,0.00374242,0.1500,94.9980,volatility,False
116,1d_vwap_upper_10_zscore,0.00373402,0.1496,95.1477,volume,False
117,4h_kc_upper_zscore,0.00371882,0.1490,95.2967,volatility,False
118,4h_bb_lower_zscore,0.00370365,0.1484,95.4451,volatility,False
119,1d_macd_histogram_zscore,0.00370062,0.1483,95.5934,trend,False
120,1d_stoch_rsi_k_zscore,0.00358323,0.1436,95.7370,momentum,False
121,4h_vwap_lower_10_zscore,0.00355832,0.1426,95.8796,volume,False
122,1d_bb_upper_zscore,0.00352487,0.1413,96.0209,volatility,False
123,4h_vwap_upper_10_zscore,0.00349991,0.1403,96.1612,volume,False
124,1d_vwap_rolling_zscore,0.00349948,0.1402,96.3014,volume,False
125,4h_vwap_upper_30_zscore,0.00343074,0.1375,96.4389,volume,False
126,1d_macd_signal_zscore,0.00338453,0.1356,96.5746,trend,False
127,4h_structure_trend_zscore,0.00335289,0.1344,96.7089,structure,False
128,4h_vwap_rolling_zscore,0.00326533,0.1309,96.8398,volume,False
129,volume_sma_ratio_log_zscore,0.00324107,0.1299,96.9697,volume,False
130,kc_upper_zscore,0.00319836,0.1282,97.0979,volatility,False
131,4h_vwap_upper_20_zscore,0.00318176,0.1275,97.2254,volume,False
132,vwap_upper_20_zscore,0.00314309,0.1260,97.3513,volume,False
133,4h_bb_upper_zscore,0.00313189,0.1255,97.4769,volatility,False
134,4h_ema_50_zscore,0.00308296,0.1236,97.6004,trend,False
135,1d_vwap_lower_30_zscore,0.00306966,0.1230,97.7234,volume,False
136,ema_21_zscore,0.00292965,0.1174,97.8408,trend,False
137,vwap_rolling_zscore,0.00290314,0.1163,97.9572,volume,False
138,vwap_lower_20_zscore,0.00282234,0.1131,98.0703,volume,False
139,squeeze_momentum_zscore,0.00266955,0.1070,98.1773,volatility,False
140,4h_squeeze_momentum_zscore,0.00262159,0.1051,98.2824,volatility,False
141,1d_kc_lower_zscore,0.00260738,0.1045,98.3869,volatility,False
142,1d_vwap_zscore,0.00259194,0.1039,98.4907,volume,False
143,4h_kc_middle_zscore,0.00254042,0.1018,98.5925,volatility,False
144,1d_kc_middle_zscore,0.00246542,0.0988,98.6913,volatility,False
145,ema_50_zscore,0.00244300,0.0979,98.7893,trend,False
146,kc_middle_zscore,0.00240010,0.0962,98.8854,volatility,False
147,4h_kc_lower_zscore,0.00236081,0.0946,98.9801,volatility,False
148,4h_ema_8_zscore,0.00225212,0.0903,99.0703,trend,False
149,4h_ema_200_zscore,0.00224325,0.0899,99.1602,trend,False
150,1d_bb_middle_zscore,0.00214793,0.0861,99.2463,volatility,False
151,4h_ema_cross_50_200_zscore,0.00204517,0.0820,99.3283,trend,False
152,squeeze_off_zscore,0.00181316,0.0727,99.4009,volatility,False
153,4h_squeeze_off_zscore,0.00154118,0.0618,99.4627,volatility,False
154,1d_squeeze_on_zscore,0.00148694,0.0596,99.5223,volatility,False
155,1d_ema_cross_8_21_zscore,0.00145734,0.0584,99.5807,trend,False
156,ema_cross_50_200_zscore,0.00134848,0.0540,99.6347,trend,False
157,vwap_upper_10_zscore,0.00134444,0.0539,99.6886,volume,False
158,vwap_lower_10_zscore,0.00125118,0.0501,99.7388,volume,False
159,4h_vwap_zscore,0.00123320,0.0494,99.7882,volume,False
160,4h_squeeze_on_zscore,0.00118308,0.0474,99.8356,volatility,False
161,1d_ema_21_zscore,0.00088071,0.0353,99.8709,trend,False
162,choch_signal_zscore,0.00081809,0.0328,99.9037,structure,False
163,1d_rsi_divergence_zscore,0.00064966,0.0260,99.9297,momentum,False
164,4h_ema_21_zscore,0.00063076,0.0253,99.9550,trend,False
165,1d_squeeze_off_zscore,0.00032874,0.0132,99.9682,volatility,False
166,1d_ema_cross_50_200_zscore,0.00029341,0.0118,99.9799,trend,False
167,4h_ema_cross_8_21_zscore,0.00027111,0.0109,99.9908,trend,False
168,1d_squeeze_momentum_zscore,0.00012416,0.0050,99.9958,volatility,False
169,1d_hour_sin_zscore,0.00010556,0.0042,100.0000,session,False
170,corr_xau_20_zscore,0.00000000,0.0000,100.0000,cross_asset,False
171,corr_xau_100_zscore,0.00000000,0.0000,100.0000,cross_asset,False
172,lead_ussp5_lag6_zscore,0.00000000,0.0000,100.0000,cross_asset,False
173,lead_xau_lag1_zscore,0.00000000,0.0000,100.0000,cross_asset,False
174,lead_ussp5_lag1_zscore,0.00000000,0.0000,100.0000,cross_asset,False
175,lead_xau_lag3_zscore,0.00000000,0.0000,100.0000,cross_asset,False
176,corr_ussp5_20_zscore,0.00000000,0.0000,100.0000,cross_asset,False
177,sil_cot_institutional_bull_zscore,0.00000000,0.0000,100.0000,sil_macro,False
178,sil_cot_net_position_norm_zscore,0.00000000,0.0000,100.0000,sil_macro,False
179,sil_breakeven_inflation_zscore,0.00000000,0.0000,100.0000,sil_macro,False
180,sector_momentum_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
181,sil_alpha_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
182,sil_alpha_sentiment_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
183,sector_dispersion_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
184,sil_composite_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
185,sil_gold_bullish_yield_zscore,0.00000000,0.0000,100.0000,sil_macro,False
186,sil_social_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
187,sil_real_yield_10y_zscore,0.00000000,0.0000,100.0000,sil_macro,False
188,sil_cot_z_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
189,sil_fear_greed_gold_bias_zscore,0.00000000,0.0000,100.0000,sil_macro,False
190,sil_fear_greed_value_zscore,0.00000000,0.0000,100.0000,sil_macro,False
191,lead_ussp5_lag3_zscore,0.00000000,0.0000,100.0000,cross_asset,False
192,lead_xau_lag6_zscore,0.00000000,0.0000,100.0000,cross_asset,False
193,corr_ussp5_100_zscore,0.00000000,0.0000,100.0000,cross_asset,False
194,4h_choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
195,1d_hour_cos_zscore,0.00000000,0.0000,100.0000,session,False
196,1d_choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
197,1d_bos_signal_zscore,0.00000000,0.0000,100.0000,structure,False
198,1d_bb_squeeze_zscore,0.00000000,0.0000,100.0000,volatility,False
199,1d_bb_squeeze_duration_zscore,0.00000000,0.0000,100.0000,volatility,False
