rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.16016766,7.0411,7.0411,momentum,True
2,1d_close_position_zscore,0.15609950,6.8622,13.9033,price_action,True
3,4h_close_position_zscore,0.11552986,5.0788,18.9820,price_action,True
4,hour_sin_zscore,0.08001448,3.5175,22.4995,session,True
5,1d_high_low_range_zscore,0.07217092,3.1727,25.6722,volatility,True
6,rsi_14_zscore,0.06533179,2.8720,28.5442,momentum,True
7,bb_pctb_zscore,0.05644606,2.4814,31.0256,volatility,True
8,4h_returns_1_zscore,0.04744789,2.0858,33.1114,momentum,True
9,4h_bos_signal_zscore,0.04044422,1.7779,34.8894,structure,True
10,4h_hour_sin_zscore,0.03983651,1.7512,36.6406,session,True
11,returns_5_zscore,0.03874987,1.7035,38.3441,momentum,True
12,returns_1_zscore,0.03873374,1.7028,40.0468,momentum,True
13,1d_minus_di_zscore,0.03205485,1.4091,41.4560,trend,True
14,vwap_z_score_zscore,0.02868917,1.2612,42.7172,volume,True
15,macd_histogram_zscore,0.02844470,1.2504,43.9676,trend,True
16,vwap_sd_zscore,0.02837839,1.2475,45.2151,volatility,True
17,close_position_zscore,0.02809996,1.2353,46.4504,price_action,True
18,atr_14_zscore,0.02784473,1.2241,47.6745,volatility,True
19,hour_cos_zscore,0.02715158,1.1936,48.8681,session,True
20,bb_width_zscore,0.02714843,1.1935,50.0615,volatility,True
21,minus_di_zscore,0.02594023,1.1403,51.2019,trend,True
22,atr_ratio_zscore,0.02505258,1.1013,52.3032,volatility,True
23,1d_plus_di_zscore,0.02473433,1.0873,53.3905,trend,True
24,returns_20_zscore,0.02374830,1.0440,54.4345,momentum,True
25,corr_wti_20_zscore,0.02175630,0.9564,55.3910,cross_asset,True
26,1d_returns_5_zscore,0.02036284,0.8952,56.2861,momentum,True
27,4h_high_low_range_zscore,0.02027958,0.8915,57.1776,volatility,True
28,1d_vwap_z_score_zscore,0.02011261,0.8842,58.0618,volume,True
29,1d_vwap_distance_zscore,0.01972148,0.8670,58.9287,volume,True
30,vwap_distance_zscore,0.01846050,0.8115,59.7403,volume,True
31,volume_sma_ratio,0.01833263,0.8059,60.5462,volume,True
32,4h_hvol_20_zscore,0.01817245,0.7989,61.3451,volatility,True
33,macd_zscore,0.01728032,0.7597,62.1047,trend,True
34,1d_rsi_14_zscore,0.01713749,0.7534,62.8581,momentum,True
35,dow_sin_zscore,0.01684138,0.7404,63.5984,session,True
36,4h_bb_squeeze_zscore,0.01671609,0.7348,64.3333,volatility,True
37,1d_bb_pctb_zscore,0.01665456,0.7321,65.0654,volatility,True
38,stoch_rsi_k_zscore,0.01644906,0.7231,65.7885,momentum,True
39,4h_returns_5_zscore,0.01644383,0.7229,66.5114,momentum,True
40,hvol_20_zscore,0.01568127,0.6894,67.2008,volatility,True
41,structure_trend_zscore,0.01524900,0.6704,67.8711,structure,True
42,4h_dow_cos_zscore,0.01335634,0.5872,68.4583,session,True
43,1d_atr_ratio_zscore,0.01290069,0.5671,69.0254,volatility,True
44,squeeze_momentum_zscore,0.01265098,0.5561,69.5815,volatility,True
45,macd_signal_zscore,0.01257310,0.5527,70.1343,trend,True
46,bb_squeeze_duration_zscore,0.01247763,0.5485,70.6828,volatility,True
47,4h_hour_cos_zscore,0.01230210,0.5408,71.2236,session,True
48,4h_volume_sma_ratio,0.01208289,0.5312,71.7548,volume,True
49,1d_obv_zscore,0.01181029,0.5192,72.2740,volume,True
50,bos_signal_zscore,0.01174697,0.5164,72.7904,structure,True
51,1d_returns_20_zscore,0.01173282,0.5158,73.3061,momentum,True
52,1d_atr_14_zscore,0.01172232,0.5153,73.8215,volatility,True
53,plus_di_zscore,0.01116831,0.4910,74.3124,trend,True
54,volume_sma_ratio_log_zscore,0.01081002,0.4752,74.7876,volume,True
55,high_low_range_zscore,0.01059890,0.4659,75.2536,volatility,True
56,1d_dow_sin_zscore,0.01053787,0.4633,75.7168,session,True
57,1d_hvol_20_zscore,0.01016937,0.4471,76.1639,volatility,True
58,4h_adx_zscore,0.01009141,0.4436,76.6075,trend,True
59,1d_kc_lower_zscore,0.00999278,0.4393,77.0468,volatility,True
60,4h_volume_sma_ratio_log_zscore,0.00978357,0.4301,77.4769,volume,True
61,1d_dow_cos_zscore,0.00969728,0.4263,77.9032,session,True
62,1d_volume_sma_ratio,0.00966653,0.4249,78.3281,volume,True
63,bb_lower_zscore,0.00960334,0.4222,78.7503,volatility,True
64,1d_vwap_rolling_zscore,0.00947836,0.4167,79.1670,volume,True
65,4h_stoch_rsi_k_zscore,0.00938910,0.4127,79.5797,momentum,True
66,vwap_upper_30_zscore,0.00925720,0.4070,79.9867,volume,True
67,obv,0.00920364,0.4046,80.3913,volume,True
68,4h_obv_zscore,0.00918160,0.4036,80.7949,volume,True
69,1d_volume_sma_ratio_log_zscore,0.00912338,0.4011,81.1959,volume,True
70,4h_macd_histogram_zscore,0.00897725,0.3946,81.5906,trend,True
71,vwap_zscore,0.00845815,0.3718,81.9624,volume,True
72,4h_stoch_rsi_d_zscore,0.00840950,0.3697,82.3321,momentum,True
73,1d_vwap_sd_zscore,0.00835921,0.3675,82.6996,volatility,True
74,adx_zscore,0.00803915,0.3534,83.0530,trend,True
75,ema_8_zscore,0.00785889,0.3455,83.3985,trend,True
76,sector_dispersion_12_zscore,0.00785826,0.3455,83.7439,cross_asset,True
77,4h_vwap_zscore,0.00781557,0.3436,84.0875,volume,True
78,lead_wti_lag6_zscore,0.00762024,0.3350,84.4225,cross_asset,True
79,stoch_rsi_d_zscore,0.00760278,0.3342,84.7567,momentum,True
80,1d_ema_50_zscore,0.00759542,0.3339,85.0906,trend,False
81,1d_vwap_upper_10_zscore,0.00749928,0.3297,85.4203,volume,False
