rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.16311967,7.3752,7.3752,momentum,True
2,4h_close_position_zscore,0.10921100,4.9378,12.3130,price_action,True
3,1d_close_position_zscore,0.09743360,4.4053,16.7184,price_action,True
4,hour_cos_zscore,0.06608588,2.9880,19.7063,session,True
5,4h_returns_1_zscore,0.06486293,2.9327,22.6390,momentum,True
6,4h_hour_sin_zscore,0.06288181,2.8431,25.4821,session,True
7,plus_di_zscore,0.05827065,2.6346,28.1167,trend,True
8,bb_pctb_zscore,0.05798168,2.6216,30.7383,volatility,True
9,rsi_14_zscore,0.05103037,2.3073,33.0456,momentum,True
10,1d_high_low_range_zscore,0.04843266,2.1898,35.2354,volatility,True
11,1d_vwap_distance_zscore,0.04104649,1.8559,37.0912,volume,True
12,4h_hvol_20_zscore,0.03888957,1.7583,38.8496,volatility,True
13,1d_obv_zscore,0.03771007,1.7050,40.5546,volume,True
14,close_position_zscore,0.03543273,1.6020,42.1566,price_action,True
15,returns_1_zscore,0.03178237,1.4370,43.5936,momentum,True
16,1d_plus_di_zscore,0.03043853,1.3762,44.9698,trend,True
17,atr_14_zscore,0.02716878,1.2284,46.1982,volatility,True
18,atr_ratio_zscore,0.02647838,1.1972,47.3954,volatility,True
19,returns_5_zscore,0.02622613,1.1858,48.5812,momentum,True
20,structure_trend_zscore,0.02468157,1.1159,49.6971,structure,True
21,hour_sin_zscore,0.02387472,1.0795,50.7766,session,True
22,returns_20_zscore,0.02370733,1.0719,51.8485,momentum,True
23,1d_vwap_z_score_zscore,0.02358674,1.0664,52.9149,volume,True
24,bb_width_zscore,0.02211187,0.9998,53.9147,volatility,True
25,1d_rsi_14_zscore,0.02184526,0.9877,54.9024,momentum,True
26,minus_di_zscore,0.02049165,0.9265,55.8289,trend,True
27,1d_returns_20_zscore,0.02045409,0.9248,56.7537,momentum,True
28,1d_ema_200_zscore,0.02035677,0.9204,57.6741,trend,True
29,macd_histogram_zscore,0.01948623,0.8810,58.5551,trend,True
30,4h_volume_sma_ratio,0.01776940,0.8034,59.3585,volume,True
31,4h_volume_sma_ratio_log_zscore,0.01688731,0.7635,60.1221,volume,True
32,4h_structure_trend_zscore,0.01612396,0.7290,60.8511,structure,True
33,vwap_lower_10_zscore,0.01609101,0.7275,61.5786,volume,True
34,vwap_distance_zscore,0.01590126,0.7190,62.2976,volume,True
35,lead_ussp5_lag6_zscore,0.01569614,0.7097,63.0073,cross_asset,True
36,4h_high_low_range_zscore,0.01512513,0.6839,63.6911,volatility,True
37,hvol_20_zscore,0.01512242,0.6837,64.3749,volatility,True
38,4h_returns_5_zscore,0.01498096,0.6773,65.0522,momentum,True
39,macd_zscore,0.01407853,0.6365,65.6887,trend,True
40,1d_returns_5_zscore,0.01392347,0.6295,66.3183,momentum,True
41,sector_dispersion_12_zscore,0.01303151,0.5892,66.9075,cross_asset,True
42,adx_zscore,0.01301868,0.5886,67.4961,trend,True
43,bos_signal_zscore,0.01282518,0.5799,68.0760,structure,True
44,1d_dow_sin_zscore,0.01265293,0.5721,68.6481,session,True
45,4h_bos_signal_zscore,0.01264484,0.5717,69.2198,structure,True
46,4h_bb_lower_zscore,0.01249745,0.5651,69.7848,volatility,True
47,4h_rsi_14_zscore,0.01239641,0.5605,70.3453,momentum,True
