rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.23022962,6.4456,6.4456,momentum,True
2,sector_momentum_12_zscore,0.18082623,5.0625,11.5080,cross_asset,True
3,lead_eth_lag6_zscore,0.17118661,4.7926,16.3006,cross_asset,True
4,4h_close_position_zscore,0.16363837,4.5813,20.8819,price_action,True
5,1d_close_position_zscore,0.14875101,4.1645,25.0464,price_action,True
6,returns_5_zscore,0.08428863,2.3598,27.4062,momentum,True
7,sector_dispersion_12_zscore,0.08393101,2.3498,29.7559,cross_asset,True
8,rsi_14_zscore,0.08275408,2.3168,32.0727,momentum,True
9,1d_high_low_range_zscore,0.06941350,1.9433,34.0160,volatility,True
10,4h_returns_5_zscore,0.06915963,1.9362,35.9523,momentum,True
11,lead_btc_lag6_zscore,0.06859232,1.9203,37.8726,cross_asset,True
12,plus_di_zscore,0.06756299,1.8915,39.7641,trend,True
13,returns_1_zscore,0.06518797,1.8250,41.5891,momentum,True
14,hour_cos_zscore,0.06238878,1.7467,43.3358,session,True
15,bb_pctb_zscore,0.05972934,1.6722,45.0080,volatility,True
16,4h_returns_1_zscore,0.05629579,1.5761,46.5841,momentum,True
17,obv,0.05194464,1.4543,48.0383,volume,True
18,close_position_zscore,0.04486199,1.2560,49.2943,price_action,True
19,stoch_rsi_k_zscore,0.04435704,1.2418,50.5361,momentum,True
20,vwap_sd_zscore,0.04255428,1.1914,51.7275,volatility,True
21,1d_vwap_z_score_zscore,0.04007402,1.1219,52.8494,volume,True
22,vwap_distance_zscore,0.03960236,1.1087,53.9581,volume,True
23,4h_stoch_rsi_k_zscore,0.03828630,1.0719,55.0300,momentum,True
24,vwap_z_score_zscore,0.03824267,1.0707,56.1006,volume,True
25,macd_histogram_zscore,0.03695162,1.0345,57.1352,trend,True
26,returns_20_zscore,0.03127372,0.8755,58.0107,momentum,True
27,4h_high_low_range_zscore,0.03073849,0.8606,58.8713,volatility,True
28,4h_bb_pctb_zscore,0.03062035,0.8573,59.7285,volatility,True
29,macd_signal_zscore,0.03031053,0.8486,60.5771,trend,True
30,atr_ratio_zscore,0.03025747,0.8471,61.4242,volatility,True
