rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,4h_close_position_zscore,0.18041547,6.3723,6.3723,price_action,True
2,1d_returns_1_zscore,0.16505143,5.8296,12.2019,momentum,True
3,1d_close_position_zscore,0.12890807,4.5530,16.7549,price_action,True
4,returns_20_zscore,0.11509863,4.0653,20.8202,momentum,True
5,1d_high_low_range_zscore,0.10693550,3.7770,24.5972,volatility,True
6,returns_5_zscore,0.08856305,3.1280,27.7252,momentum,True
7,hour_cos_zscore,0.06244582,2.2056,29.9308,session,True
8,bb_width_zscore,0.05871833,2.0739,32.0048,volatility,True
9,4h_returns_1_zscore,0.05551425,1.9608,33.9655,momentum,True
10,rsi_14_zscore,0.05477057,1.9345,35.9000,momentum,True
11,returns_1_zscore,0.05195465,1.8350,37.7351,momentum,True
12,1d_vwap_distance_zscore,0.04668980,1.6491,39.3841,volume,True
13,bb_pctb_zscore,0.04581733,1.6183,41.0024,volatility,True
14,vwap_sd_zscore,0.04225023,1.4923,42.4947,volatility,True
15,vwap_distance_zscore,0.03582507,1.2653,43.7600,volume,True
16,4h_hour_cos_zscore,0.03507591,1.2389,44.9989,session,True
17,1d_bb_pctb_zscore,0.03505307,1.2381,46.2370,volatility,True
18,1d_rsi_14_zscore,0.03233086,1.1419,47.3789,momentum,True
19,macd_signal_zscore,0.03094361,1.0929,48.4718,trend,True
20,1d_obv_zscore,0.02908584,1.0273,49.4992,volume,True
21,minus_di_zscore,0.02758842,0.9744,50.4736,trend,True
22,obv,0.02730766,0.9645,51.4381,volume,True
23,1d_vwap_upper_20_zscore,0.02654967,0.9377,52.3758,volume,True
24,plus_di_zscore,0.02490885,0.8798,53.2556,trend,True
25,hvol_20_zscore,0.02464714,0.8705,54.1261,volatility,True
26,bb_squeeze_duration_zscore,0.02431833,0.8589,54.9851,volatility,True
27,sector_dispersion_12_zscore,0.02379451,0.8404,55.8255,cross_asset,True
28,close_position_zscore,0.02378163,0.8400,56.6655,price_action,True
29,1d_dow_sin_zscore,0.02371510,0.8376,57.5031,session,True
30,atr_ratio_zscore,0.02299544,0.8122,58.3153,volatility,True
31,bos_signal_zscore,0.02093137,0.7393,59.0546,structure,True
32,vwap_z_score_zscore,0.01956024,0.6909,59.7454,volume,True
33,4h_bb_pctb_zscore,0.01881351,0.6645,60.4099,volatility,True
34,stoch_rsi_d_zscore,0.01789086,0.6319,61.0418,momentum,True
35,4h_macd_signal_zscore,0.01734342,0.6126,61.6544,trend,True
36,4h_high_low_range_zscore,0.01688811,0.5965,62.2509,volatility,True
37,corr_ussp5_100_zscore,0.01657424,0.5854,62.8363,cross_asset,True
38,macd_zscore,0.01612567,0.5696,63.4059,trend,True
39,4h_macd_histogram_zscore,0.01604531,0.5667,63.9726,trend,True
40,4h_volume_sma_ratio,0.01573820,0.5559,64.5285,volume,True
41,lead_btc_lag6_zscore,0.01549995,0.5475,65.0759,cross_asset,True
42,1d_plus_di_zscore,0.01510156,0.5334,65.6093,trend,True
43,adx_zscore,0.01494141,0.5277,66.1370,trend,True
44,4h_volume_sma_ratio_log_zscore,0.01488340,0.5257,66.6627,volume,True
45,1d_hvol_20_zscore,0.01481649,0.5233,67.1860,volatility,True
46,corr_btc_100_zscore,0.01447990,0.5114,67.6975,cross_asset,True
47,corr_ussp5_20_zscore,0.01426024,0.5037,68.2011,cross_asset,True
48,vwap_upper_30_zscore,0.01406942,0.4969,68.6981,volume,True
49,obv_log_zscore,0.01405583,0.4965,69.1945,volume,True
50,1d_vwap_z_score_zscore,0.01403771,0.4958,69.6903,volume,True
51,bb_squeeze_zscore,0.01393438,0.4922,70.1825,volatility,True
52,ema_8_zscore,0.01332882,0.4708,70.6533,trend,True
53,4h_stoch_rsi_d_zscore,0.01324175,0.4677,71.1210,momentum,True
54,hour_sin_zscore,0.01311452,0.4632,71.5842,session,True
55,4h_bb_width_zscore,0.01268660,0.4481,72.0323,volatility,True
56,1d_atr_ratio_zscore,0.01245519,0.4399,72.4722,volatility,True
57,4h_vwap_lower_30_zscore,0.01225712,0.4329,72.9051,volume,True
58,bb_lower_zscore,0.01221303,0.4314,73.3365,volatility,True
59,4h_stoch_rsi_k_zscore,0.01214503,0.4290,73.7654,momentum,True
60,lead_ussp5_lag3_zscore,0.01200537,0.4240,74.1895,cross_asset,True
61,1d_macd_zscore,0.01198617,0.4234,74.6128,trend,True
62,4h_returns_5_zscore,0.01183568,0.4180,75.0308,momentum,True
63,4h_structure_trend_zscore,0.01175086,0.4150,75.4459,structure,True
64,1d_minus_di_zscore,0.01172999,0.4143,75.8602,trend,True
65,lead_ussp5_lag6_zscore,0.01172837,0.4142,76.2744,cross_asset,True
66,1d_returns_5_zscore,0.01167496,0.4124,76.6868,momentum,True
