rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.21933061,7.8629,7.8629,momentum,True
2,1d_close_position_zscore,0.19462530,6.9773,14.8402,price_action,True
3,rsi_14_zscore,0.09081020,3.2555,18.0957,momentum,True
4,bb_pctb_zscore,0.08981381,3.2198,21.3155,volatility,True
5,1d_high_low_range_zscore,0.08115417,2.9094,24.2249,volatility,True
6,vwap_distance_zscore,0.05772520,2.0694,26.2943,volume,True
7,1d_vwap_distance_zscore,0.05597992,2.0069,28.3012,volume,True
8,4h_close_position_zscore,0.04462775,1.5999,29.9011,price_action,True
9,4h_bos_signal_zscore,0.04209523,1.5091,31.4102,structure,True
10,minus_di_zscore,0.04111151,1.4738,32.8840,trend,True
11,bb_width_zscore,0.03455789,1.2389,34.1229,volatility,True
12,obv_log_zscore,0.03360596,1.2048,35.3276,volume,True
13,4h_plus_di_zscore,0.03349257,1.2007,36.5283,trend,True
14,returns_1_zscore,0.03335306,1.1957,37.7240,momentum,True
15,macd_histogram_zscore,0.03314630,1.1883,38.9123,trend,True
16,1d_bb_squeeze_duration_zscore,0.03301642,1.1836,40.0960,volatility,True
17,1d_bb_pctb_zscore,0.03049911,1.0934,41.1893,volatility,True
18,1d_obv_zscore,0.02972172,1.0655,42.2549,volume,True
19,4h_high_low_range_zscore,0.02854515,1.0233,43.2782,volatility,True
20,1d_rsi_14_zscore,0.02831394,1.0150,44.2932,momentum,True
21,1d_vwap_z_score_zscore,0.02698319,0.9673,45.2606,volume,True
22,vwap_sd_zscore,0.02575321,0.9232,46.1838,volatility,True
23,1d_minus_di_zscore,0.02474393,0.8871,47.0709,trend,True
24,plus_di_zscore,0.02450683,0.8786,47.9495,trend,True
25,1d_ema_8_zscore,0.02398154,0.8597,48.8092,trend,True
26,4h_hour_sin_zscore,0.02389988,0.8568,49.6660,session,True
27,1d_volume_sma_ratio,0.02357389,0.8451,50.5111,volume,True
28,4h_returns_20_zscore,0.02318281,0.8311,51.3422,momentum,True
29,high_low_range_zscore,0.02222437,0.7967,52.1389,volatility,True
30,returns_20_zscore,0.02183628,0.7828,52.9218,momentum,True
31,4h_macd_zscore,0.02140209,0.7673,53.6890,trend,True
32,hour_sin_zscore,0.02104184,0.7543,54.4434,session,True
33,1d_returns_20_zscore,0.02103851,0.7542,55.1976,momentum,True
34,corr_jpy_20_zscore,0.02066451,0.7408,55.9384,cross_asset,True
35,4h_adx_zscore,0.02032803,0.7288,56.6672,trend,True
36,stoch_rsi_k_zscore,0.02008524,0.7201,57.3872,momentum,True
37,sector_dispersion_12_zscore,0.01941097,0.6959,58.0831,cross_asset,True
38,4h_vwap_upper_30_zscore,0.01919321,0.6881,58.7712,volume,True
39,close_position_zscore,0.01907698,0.6839,59.4551,price_action,True
40,1d_vwap_rolling_zscore,0.01905538,0.6831,60.1382,volume,True
41,1d_plus_di_zscore,0.01844403,0.6612,60.7994,trend,True
