rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.23231061,9.0443,9.0443,momentum,True
2,4h_close_position_zscore,0.13473645,5.2456,14.2899,price_action,True
3,lead_eur_lag1_zscore,0.12534113,4.8798,19.1697,cross_asset,True
4,1d_close_position_zscore,0.11865994,4.6197,23.7893,price_action,True
5,rsi_14_zscore,0.07104704,2.7660,26.5553,momentum,True
6,4h_hour_sin_zscore,0.06680342,2.6008,29.1561,session,True
7,bb_pctb_zscore,0.06379927,2.4838,31.6399,volatility,True
8,hour_cos_zscore,0.06084672,2.3689,34.0088,session,True
9,returns_5_zscore,0.05166450,2.0114,36.0202,momentum,True
10,structure_trend_zscore,0.04827391,1.8794,37.8996,structure,True
11,1d_high_low_range_zscore,0.04660450,1.8144,39.7140,volatility,True
12,4h_high_low_range_zscore,0.04433422,1.7260,41.4401,volatility,True
13,1d_vwap_distance_zscore,0.04415964,1.7192,43.1593,volume,True
14,atr_ratio_zscore,0.04193288,1.6325,44.7918,volatility,True
15,close_position_zscore,0.04174873,1.6254,46.4172,price_action,True
16,plus_di_zscore,0.04153343,1.6170,48.0341,trend,True
17,4h_returns_1_zscore,0.03909363,1.5220,49.5561,momentum,True
18,returns_20_zscore,0.03694883,1.4385,50.9946,momentum,True
19,macd_histogram_zscore,0.03529100,1.3739,52.3686,trend,True
20,bb_width_zscore,0.03450152,1.3432,53.7118,volatility,True
21,1d_obv_zscore,0.03319629,1.2924,55.0042,volume,True
22,vwap_distance_zscore,0.03177509,1.2371,56.2413,volume,True
23,hour_sin_zscore,0.02964332,1.1541,57.3953,session,True
24,returns_1_zscore,0.02956864,1.1512,58.5465,momentum,True
25,1d_plus_di_zscore,0.02829317,1.1015,59.6480,trend,True
26,4h_bos_signal_zscore,0.02759398,1.0743,60.7223,structure,True
27,atr_14_zscore,0.02625821,1.0223,61.7446,volatility,True
28,4h_volume_sma_ratio,0.02324443,0.9050,62.6495,volume,True
29,vwap_z_score_zscore,0.02188236,0.8519,63.5015,volume,True
30,4h_hour_cos_zscore,0.02025223,0.7885,64.2899,session,True
