rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.21361546,5.5683,5.5683,price_action,True
2,4h_close_position_zscore,0.16811563,4.3823,9.9506,price_action,True
3,1d_returns_1_zscore,0.16350877,4.2622,14.2128,momentum,True
4,1d_high_low_range_zscore,0.10138059,2.6427,16.8555,volatility,True
5,1d_vwap_z_score_zscore,0.09371429,2.4429,19.2983,volume,True
6,returns_5_zscore,0.08689135,2.2650,21.5633,momentum,True
7,returns_1_zscore,0.08284494,2.1595,23.7228,momentum,True
8,returns_20_zscore,0.07801688,2.0337,25.7565,momentum,True
9,rsi_14_zscore,0.07652306,1.9947,27.7512,momentum,True
10,plus_di_zscore,0.07293165,1.9011,29.6524,trend,True
11,bos_signal_zscore,0.07284226,1.8988,31.5511,structure,True
12,bb_pctb_zscore,0.07185970,1.8732,33.4243,volatility,True
13,close_position_zscore,0.06908941,1.8010,35.2253,price_action,True
14,1d_rsi_14_zscore,0.06258234,1.6313,36.8566,momentum,True
15,hvol_20_zscore,0.05919315,1.5430,38.3996,volatility,True
16,vwap_distance_zscore,0.05822359,1.5177,39.9173,volume,True
17,volume_sma_ratio_log_zscore,0.05562949,1.4501,41.3674,volume,True
18,atr_14_zscore,0.05465011,1.4246,42.7920,volatility,True
19,4h_bos_signal_zscore,0.05081002,1.3245,44.1164,structure,True
20,4h_returns_1_zscore,0.04852206,1.2648,45.3813,momentum,True
21,4h_bb_pctb_zscore,0.04775109,1.2447,46.6260,volatility,True
22,volume_sma_ratio,0.04703365,1.2260,47.8520,volume,True
23,squeeze_on_zscore,0.04650357,1.2122,49.0642,volatility,True
24,vwap_z_score_zscore,0.04244534,1.1064,50.1706,volume,True
25,4h_hour_sin_zscore,0.03920741,1.0220,51.1927,session,True
26,hour_cos_zscore,0.03883129,1.0122,52.2049,session,True
27,atr_ratio_zscore,0.03573756,0.9316,53.1365,volatility,True
28,adx_zscore,0.03482769,0.9079,54.0443,trend,True
29,macd_histogram_zscore,0.03365886,0.8774,54.9217,trend,True
30,corr_ussp5_20_zscore,0.03213825,0.8377,55.7594,cross_asset,True
31,4h_dow_sin_zscore,0.03032504,0.7905,56.5499,session,True
32,1d_returns_5_zscore,0.02968135,0.7737,57.3236,momentum,True
33,macd_signal_zscore,0.02955871,0.7705,58.0941,trend,True
34,4h_plus_di_zscore,0.02819669,0.7350,58.8291,trend,True
35,1d_bb_pctb_zscore,0.02797257,0.7292,59.5583,volatility,True
36,lead_ussp5_lag3_zscore,0.02762506,0.7201,60.2784,cross_asset,True
37,4h_hour_cos_zscore,0.02753008,0.7176,60.9960,session,True
38,4h_stoch_rsi_k_zscore,0.02751596,0.7173,61.7133,momentum,True
39,corr_ussp5_100_zscore,0.02716981,0.7082,62.4215,cross_asset,True
40,lead_ussp5_lag1_zscore,0.02686133,0.7002,63.1217,cross_asset,True
41,obv_log_zscore,0.02686045,0.7002,63.8219,volume,True
42,1d_vwap_distance_zscore,0.02678800,0.6983,64.5202,volume,True
43,4h_bb_width_zscore,0.02570182,0.6700,65.1902,volatility,True
44,bb_squeeze_zscore,0.02505659,0.6532,65.8433,volatility,True
45,1d_atr_14_zscore,0.02470526,0.6440,66.4873,volatility,True
46,4h_returns_5_zscore,0.02470019,0.6439,67.1312,momentum,True
47,4h_high_low_range_zscore,0.02461900,0.6417,67.7729,volatility,True
48,high_low_range_zscore,0.02437745,0.6354,68.4084,volatility,True
49,1d_volume_sma_ratio,0.02421922,0.6313,69.0397,volume,True
50,4h_macd_histogram_zscore,0.02419741,0.6308,69.6704,trend,True
51,1d_volume_sma_ratio_log_zscore,0.02347240,0.6119,70.2823,volume,True
52,4h_vwap_sd_zscore,0.02344676,0.6112,70.8935,volatility,True
53,macd_zscore,0.02338287,0.6095,71.5030,trend,True
54,vwap_zscore,0.02214364,0.5772,72.0802,volume,True
55,1d_minus_di_zscore,0.02201074,0.5738,72.6540,trend,True
56,stoch_rsi_k_zscore,0.02121153,0.5529,73.2069,momentum,True
57,1d_dow_sin_zscore,0.02057176,0.5362,73.7431,session,True
58,4h_obv_zscore,0.02054229,0.5355,74.2786,volume,True
59,1d_obv_zscore,0.02031828,0.5296,74.8083,volume,True
60,ema_8_zscore,0.02016523,0.5256,75.3339,trend,True
61,hour_sin_zscore,0.01994533,0.5199,75.8538,session,True
62,bb_squeeze_duration_zscore,0.01988524,0.5183,76.3722,volatility,True
63,1d_vwap_upper_10_zscore,0.01938964,0.5054,76.8776,volume,True
64,4h_hvol_20_zscore,0.01839005,0.4794,77.3570,volatility,True
65,lead_ussp5_lag6_zscore,0.01834746,0.4783,77.8352,cross_asset,True
66,4h_adx_zscore,0.01829844,0.4770,78.3122,trend,True
67,1d_plus_di_zscore,0.01825831,0.4759,78.7882,trend,True
68,vwap_sd_zscore,0.01819252,0.4742,79.2624,volatility,True
69,minus_di_zscore,0.01720674,0.4485,79.7109,trend,True
70,4h_stoch_rsi_d_zscore,0.01714268,0.4469,80.1578,momentum,True
71,squeeze_momentum_zscore,0.01708276,0.4453,80.6031,volatility,True
72,1d_vwap_lower_30_zscore,0.01634727,0.4261,81.0292,volume,True
73,4h_atr_ratio_zscore,0.01623759,0.4233,81.4525,volatility,True
74,obv,0.01518722,0.3959,81.8483,volume,True
75,structure_trend_zscore,0.01467393,0.3825,82.2308,structure,True
76,dow_sin_zscore,0.01461278,0.3809,82.6118,session,True
77,stoch_rsi_d_zscore,0.01459656,0.3805,82.9922,momentum,True
78,4h_bb_upper_zscore,0.01458162,0.3801,83.3723,volatility,True
79,4h_rsi_14_zscore,0.01426311,0.3718,83.7441,momentum,True
80,bb_upper_zscore,0.01418805,0.3698,84.1140,volatility,True
81,bb_width_zscore,0.01414366,0.3687,84.4827,volatility,True
82,1d_ema_200_zscore,0.01332022,0.3472,84.8299,trend,True
83,1d_returns_20_zscore,0.01322167,0.3446,85.1745,momentum,False
84,4h_bb_squeeze_duration_zscore,0.01295492,0.3377,85.5122,volatility,False
85,4h_macd_signal_zscore,0.01289540,0.3361,85.8484,trend,False
86,1d_vwap_zscore,0.01216772,0.3172,86.1656,volume,False
87,vwap_upper_30_zscore,0.01160500,0.3025,86.4681,volume,False
88,1d_structure_trend_zscore,0.01156518,0.3015,86.7695,structure,False
89,1d_stoch_rsi_k_zscore,0.01155873,0.3013,87.0708,momentum,False
90,1d_hvol_20_zscore,0.01069155,0.2787,87.3495,volatility,False
91,4h_minus_di_zscore,0.01067775,0.2783,87.6279,trend,False
92,1d_vwap_rolling_zscore,0.01034511,0.2697,87.8975,volume,False
93,4h_returns_20_zscore,0.01030691,0.2687,88.1662,momentum,False
94,4h_structure_trend_zscore,0.01027512,0.2678,88.4340,structure,False
95,4h_vwap_upper_10_zscore,0.01026531,0.2676,88.7016,volume,False
96,1d_adx_zscore,0.01002752,0.2614,88.9630,trend,False
97,4h_atr_14_zscore,0.01002691,0.2614,89.2244,volatility,False
98,4h_dow_cos_zscore,0.01000621,0.2608,89.4852,session,False
99,4h_vwap_upper_30_zscore,0.00990826,0.2583,89.7435,volume,False
100,vwap_lower_30_zscore,0.00932722,0.2431,89.9866,volume,False
101,rsi_divergence_zscore,0.00924124,0.2409,90.2275,momentum,False
102,1d_rsi_divergence_zscore,0.00916862,0.2390,90.4665,momentum,False
103,bb_middle_zscore,0.00911624,0.2376,90.7042,volatility,False
104,4h_macd_zscore,0.00865391,0.2256,90.9297,trend,False
105,1d_dow_cos_zscore,0.00860414,0.2243,91.1540,session,False
106,4h_vwap_zscore,0.00856749,0.2233,91.3774,volume,False
107,4h_volume_sma_ratio,0.00847458,0.2209,91.5983,volume,False
108,kc_lower_zscore,0.00825106,0.2151,91.8133,volatility,False
109,1d_hour_sin_zscore,0.00816699,0.2129,92.0262,session,False
110,kc_upper_zscore,0.00807714,0.2105,92.2368,volatility,False
111,4h_bb_squeeze_zscore,0.00788886,0.2056,92.4424,volatility,False
112,1d_hour_cos_zscore,0.00782535,0.2040,92.6464,session,False
113,1d_macd_signal_zscore,0.00777627,0.2027,92.8491,trend,False
114,squeeze_off_zscore,0.00770581,0.2009,93.0500,volatility,False
115,1d_stoch_rsi_d_zscore,0.00747791,0.1949,93.2449,momentum,False
116,1d_ema_50_zscore,0.00731527,0.1907,93.4356,trend,False
117,1d_bos_signal_zscore,0.00708154,0.1846,93.6202,structure,False
118,4h_vwap_z_score_zscore,0.00706249,0.1841,93.8043,volume,False
119,4h_vwap_lower_20_zscore,0.00704826,0.1837,93.9880,volume,False
120,4h_ema_cross_8_21_zscore,0.00691058,0.1801,94.1681,trend,False
121,1d_vwap_sd_zscore,0.00668206,0.1742,94.3423,volatility,False
122,1d_vwap_lower_10_zscore,0.00655528,0.1709,94.5132,volume,False
123,4h_volume_sma_ratio_log_zscore,0.00645805,0.1683,94.6815,volume,False
124,ema_21_zscore,0.00642380,0.1674,94.8490,trend,False
125,ema_50_zscore,0.00629734,0.1642,95.0131,trend,False
126,1d_vwap_lower_20_zscore,0.00629109,0.1640,95.1771,volume,False
127,4h_bb_middle_zscore,0.00615110,0.1603,95.3375,volatility,False
128,4h_vwap_distance_zscore,0.00593621,0.1547,95.4922,volume,False
129,4h_vwap_rolling_zscore,0.00545706,0.1422,95.6345,volume,False
130,4h_squeeze_off_zscore,0.00543879,0.1418,95.7762,volatility,False
131,4h_squeeze_momentum_zscore,0.00541517,0.1412,95.9174,volatility,False
132,ema_cross_8_21_zscore,0.00541284,0.1411,96.0585,trend,False
133,1d_macd_histogram_zscore,0.00525065,0.1369,96.1954,trend,False
134,4h_bb_lower_zscore,0.00509874,0.1329,96.3283,volatility,False
135,bb_lower_zscore,0.00502063,0.1309,96.4591,volatility,False
136,dow_cos_zscore,0.00498461,0.1299,96.5891,session,False
137,4h_vwap_lower_10_zscore,0.00497375,0.1297,96.7187,volume,False
138,1d_atr_ratio_zscore,0.00493457,0.1286,96.8474,volatility,False
139,1d_bb_middle_zscore,0.00493256,0.1286,96.9759,volatility,False
140,1d_kc_upper_zscore,0.00491859,0.1282,97.1042,volatility,False
141,vwap_upper_20_zscore,0.00484724,0.1264,97.2305,volume,False
142,4h_squeeze_on_zscore,0.00473672,0.1235,97.3540,volatility,False
143,1d_kc_middle_zscore,0.00455699,0.1188,97.4728,volatility,False
144,kc_middle_zscore,0.00451569,0.1177,97.5905,volatility,False
145,4h_rsi_divergence_zscore,0.00450059,0.1173,97.7078,momentum,False
146,1d_bb_width_zscore,0.00436120,0.1137,97.8215,volatility,False
147,4h_vwap_upper_20_zscore,0.00435176,0.1134,97.9349,volume,False
148,vwap_upper_10_zscore,0.00413894,0.1079,98.0428,volume,False
149,1d_macd_zscore,0.00410119,0.1069,98.1497,trend,False
150,4h_kc_upper_zscore,0.00401223,0.1046,98.2543,volatility,False
151,4h_ema_cross_50_200_zscore,0.00399233,0.1041,98.3584,trend,False
152,1d_ema_8_zscore,0.00394023,0.1027,98.4611,trend,False
153,4h_vwap_lower_30_zscore,0.00383538,0.1000,98.5611,volume,False
154,ema_200_zscore,0.00367789,0.0959,98.6569,trend,False
155,1d_bb_lower_zscore,0.00362334,0.0944,98.7514,volatility,False
156,1d_bb_upper_zscore,0.00361028,0.0941,98.8455,volatility,False
157,1d_ema_21_zscore,0.00352212,0.0918,98.9373,trend,False
158,1d_ema_cross_8_21_zscore,0.00338944,0.0884,99.0256,trend,False
159,1d_vwap_upper_30_zscore,0.00324209,0.0845,99.1102,volume,False
160,choch_signal_zscore,0.00300669,0.0784,99.1885,structure,False
161,vwap_rolling_zscore,0.00295929,0.0771,99.2657,volume,False
162,vwap_lower_10_zscore,0.00293418,0.0765,99.3422,volume,False
163,1d_vwap_upper_20_zscore,0.00291211,0.0759,99.4181,volume,False
164,1d_kc_lower_zscore,0.00284545,0.0742,99.4922,volatility,False
165,1d_squeeze_on_zscore,0.00278451,0.0726,99.5648,volatility,False
166,4h_ema_50_zscore,0.00268225,0.0699,99.6347,trend,False
167,vwap_lower_20_zscore,0.00243698,0.0635,99.6983,volume,False
168,4h_ema_8_zscore,0.00239693,0.0625,99.7607,trend,False
169,ema_cross_50_200_zscore,0.00198731,0.0518,99.8126,trend,False
170,4h_kc_lower_zscore,0.00191903,0.0500,99.8626,volatility,False
171,4h_ema_200_zscore,0.00156206,0.0407,99.9033,trend,False
172,4h_kc_middle_zscore,0.00152416,0.0397,99.9430,volatility,False
173,4h_ema_21_zscore,0.00085097,0.0222,99.9652,trend,False
174,1d_squeeze_off_zscore,0.00069474,0.0181,99.9833,volatility,False
175,1d_squeeze_momentum_zscore,0.00064008,0.0167,100.0000,volatility,False
176,corr_nas100_20_zscore,0.00000000,0.0000,100.0000,cross_asset,False
177,lead_nas100_lag6_zscore,0.00000000,0.0000,100.0000,cross_asset,False
178,sil_cot_net_position_norm_zscore,0.00000000,0.0000,100.0000,sil_macro,False
179,sil_breakeven_inflation_zscore,0.00000000,0.0000,100.0000,sil_macro,False
180,sector_momentum_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
181,sil_alpha_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
182,sil_alpha_sentiment_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
183,sector_dispersion_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
