rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,4h_close_position_zscore,0.15968780,5.7600,5.7600,price_action,True
2,1d_returns_1_zscore,0.15307416,5.5215,11.2815,momentum,True
3,1d_close_position_zscore,0.13315912,4.8031,16.0846,price_action,True
4,rsi_14_zscore,0.11848319,4.2737,20.3583,momentum,True
5,1d_high_low_range_zscore,0.08644640,3.1182,23.4765,volatility,True
6,4h_returns_5_zscore,0.06637947,2.3943,25.8708,momentum,True
7,returns_5_zscore,0.06464177,2.3317,28.2025,momentum,True
8,bb_pctb_zscore,0.06278136,2.2646,30.4670,volatility,True
9,returns_1_zscore,0.05266291,1.8996,32.3666,momentum,True
10,1d_rsi_14_zscore,0.04981700,1.7969,34.1635,momentum,True
11,1d_vwap_distance_zscore,0.04618648,1.6660,35.8295,volume,True
12,4h_high_low_range_zscore,0.04565951,1.6470,37.4765,volatility,True
13,vwap_distance_zscore,0.04278729,1.5434,39.0198,volume,True
14,4h_returns_1_zscore,0.04239563,1.5292,40.5490,momentum,True
15,1d_minus_di_zscore,0.04044070,1.4587,42.0078,trend,True
16,vwap_z_score_zscore,0.04039985,1.4572,43.4650,volume,True
17,returns_20_zscore,0.03882334,1.4004,44.8654,momentum,True
18,bb_width_zscore,0.03643934,1.3144,46.1798,volatility,True
19,sector_momentum_12_zscore,0.03418387,1.2330,47.4128,cross_asset,True
20,atr_ratio_zscore,0.03240248,1.1688,48.5816,volatility,True
21,close_position_zscore,0.03140577,1.1328,49.7144,price_action,True
22,minus_di_zscore,0.02787397,1.0054,50.7198,trend,True
23,1d_adx_zscore,0.02713529,0.9788,51.6986,trend,True
24,volume_sma_ratio,0.02665274,0.9614,52.6600,volume,True
25,hour_cos_zscore,0.02618265,0.9444,53.6044,session,True
26,obv_log_zscore,0.02586628,0.9330,54.5374,volume,True
27,hvol_20_zscore,0.02345015,0.8459,55.3832,volatility,True
28,1d_vwap_z_score_zscore,0.02209856,0.7971,56.1803,volume,True
29,4h_hour_cos_zscore,0.02088338,0.7533,56.9336,session,True
30,plus_di_zscore,0.02083812,0.7516,57.6853,trend,True
31,macd_histogram_zscore,0.02062905,0.7441,58.4294,trend,True
32,1d_kc_middle_zscore,0.01996862,0.7203,59.1496,volatility,True
33,4h_hour_sin_zscore,0.01932110,0.6969,59.8466,session,True
34,sector_dispersion_12_zscore,0.01920667,0.6928,60.5394,cross_asset,True
35,hour_sin_zscore,0.01894957,0.6835,61.2229,session,True
36,1d_bb_pctb_zscore,0.01879710,0.6780,61.9009,volatility,True
37,dow_sin_zscore,0.01804402,0.6509,62.5517,session,True
38,corr_eth_20_zscore,0.01767707,0.6376,63.1894,cross_asset,True
39,atr_14_zscore,0.01706918,0.6157,63.8051,volatility,True
40,1d_vwap_rolling_zscore,0.01680352,0.6061,64.4112,volume,True
41,4h_structure_trend_zscore,0.01674815,0.6041,65.0153,structure,True
42,adx_zscore,0.01645318,0.5935,65.6088,trend,True
43,4h_volume_sma_ratio,0.01604259,0.5787,66.1874,volume,True
44,macd_zscore,0.01506985,0.5436,66.7310,trend,True
45,4h_adx_zscore,0.01496034,0.5396,67.2706,trend,True
46,1d_ema_21_zscore,0.01491210,0.5379,67.8085,trend,True
47,squeeze_momentum_zscore,0.01477554,0.5330,68.3415,volatility,True
48,1d_plus_di_zscore,0.01477417,0.5329,68.8744,trend,True
49,corr_btc_20_zscore,0.01467469,0.5293,69.4037,cross_asset,True
50,stoch_rsi_k_zscore,0.01451504,0.5236,69.9273,momentum,True
51,ema_8_zscore,0.01450815,0.5233,70.4506,trend,True
52,1d_atr_ratio_zscore,0.01392074,0.5021,70.9527,volatility,True
53,1d_macd_histogram_zscore,0.01361955,0.4913,71.4440,trend,True
54,1d_obv_zscore,0.01358648,0.4901,71.9340,volume,True
55,lead_btc_lag6_zscore,0.01356863,0.4894,72.4235,cross_asset,True
56,1d_ema_200_zscore,0.01351009,0.4873,72.9108,trend,True
57,4h_macd_histogram_zscore,0.01319494,0.4759,73.3867,trend,True
58,ema_cross_50_200_zscore,0.01314595,0.4742,73.8609,trend,True
59,bb_upper_zscore,0.01307302,0.4715,74.3325,volatility,True
60,4h_bb_pctb_zscore,0.01304999,0.4707,74.8032,volatility,True
61,vwap_zscore,0.01300830,0.4692,75.2724,volume,True
62,4h_volume_sma_ratio_log_zscore,0.01191887,0.4299,75.7023,volume,True
63,corr_eth_100_zscore,0.01180861,0.4259,76.1283,cross_asset,True
64,lead_btc_lag1_zscore,0.01172771,0.4230,76.5513,cross_asset,True
65,1d_volume_sma_ratio_log_zscore,0.01172453,0.4229,76.9742,volume,True
66,1d_returns_5_zscore,0.01105701,0.3988,77.3730,momentum,True
67,stoch_rsi_d_zscore,0.01092817,0.3942,77.7672,momentum,True
68,1d_dow_sin_zscore,0.01083685,0.3909,78.1581,session,True
