rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.24049902,4.7768,4.7768,price_action,True
2,4h_close_position_zscore,0.19636376,3.9002,8.6771,price_action,True
3,returns_1_zscore,0.18528999,3.6803,12.3573,momentum,True
4,4h_returns_1_zscore,0.14031704,2.7870,15.1443,momentum,True
5,4h_returns_5_zscore,0.13713461,2.7238,17.8681,momentum,True
6,hour_sin_zscore,0.11982516,2.3800,20.2481,session,True
7,1d_vwap_distance_zscore,0.11384981,2.2613,22.5094,volume,True
8,bb_pctb_zscore,0.11371290,2.2586,24.7680,volatility,True
9,rsi_14_zscore,0.10150913,2.0162,26.7842,momentum,True
10,minus_di_zscore,0.09308846,1.8489,28.6331,trend,True
11,4h_high_low_range_zscore,0.08465654,1.6815,30.3146,volatility,True
12,1d_vwap_z_score_zscore,0.08412690,1.6709,31.9855,volume,True
13,plus_di_zscore,0.08271322,1.6429,33.6284,trend,True
14,1d_returns_5_zscore,0.08061833,1.6013,35.2297,momentum,True
15,returns_5_zscore,0.07838323,1.5569,36.7865,momentum,True
16,1d_vwap_zscore,0.07201462,1.4304,38.2169,volume,True
17,vwap_distance_zscore,0.06939109,1.3783,39.5952,volume,True
18,volume_sma_ratio,0.06891032,1.3687,40.9639,volume,True
19,stoch_rsi_k_zscore,0.06283316,1.2480,42.2119,momentum,True
20,vwap_z_score_zscore,0.06146635,1.2209,43.4327,volume,True
21,atr_ratio_zscore,0.05777688,1.1476,44.5803,volatility,True
22,1d_obv_zscore,0.05745021,1.1411,45.7214,volume,True
23,1d_rsi_14_zscore,0.05610451,1.1144,46.8358,momentum,True
24,hour_cos_zscore,0.05285133,1.0497,47.8855,session,True
25,1d_high_low_range_zscore,0.05254278,1.0436,48.9291,volatility,True
26,4h_hour_sin_zscore,0.04492161,0.8922,49.8213,session,True
27,4h_volume_sma_ratio,0.04457775,0.8854,50.7068,volume,True
28,4h_bb_pctb_zscore,0.04418292,0.8776,51.5843,volatility,True
