rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.27767184,7.0301,7.0301,price_action,True
2,4h_close_position_zscore,0.15227735,3.8554,10.8854,price_action,True
3,1d_returns_1_zscore,0.14535390,3.6801,14.5655,momentum,True
4,bb_pctb_zscore,0.10968671,2.7770,17.3425,volatility,True
5,returns_1_zscore,0.10531970,2.6665,20.0090,momentum,True
6,rsi_14_zscore,0.09969350,2.5240,22.5331,momentum,True
7,hour_cos_zscore,0.09024648,2.2849,24.8179,session,True
8,returns_5_zscore,0.08932373,2.2615,27.0794,momentum,True
9,1d_bb_pctb_zscore,0.08514825,2.1558,29.2352,volatility,True
10,1d_high_low_range_zscore,0.07677315,1.9437,31.1789,volatility,True
11,1d_returns_5_zscore,0.06982062,1.7677,32.9466,momentum,True
12,minus_di_zscore,0.06600565,1.6711,34.6178,trend,True
13,plus_di_zscore,0.06504837,1.6469,36.2647,trend,True
14,4h_minus_di_zscore,0.06288507,1.5921,37.8568,trend,True
15,vwap_z_score_zscore,0.05801729,1.4689,39.3257,volume,True
16,4h_returns_1_zscore,0.05624985,1.4241,40.7498,momentum,True
17,macd_zscore,0.05585643,1.4142,42.1640,trend,True
18,macd_histogram_zscore,0.05073939,1.2846,43.4486,trend,True
19,1d_minus_di_zscore,0.05000421,1.2660,44.7146,trend,True
20,4h_hour_sin_zscore,0.04715956,1.1940,45.9086,session,True
21,vwap_distance_zscore,0.04614900,1.1684,47.0770,volume,True
22,4h_returns_5_zscore,0.04474723,1.1329,48.2099,momentum,True
23,atr_ratio_zscore,0.04408555,1.1162,49.3260,volatility,True
24,returns_20_zscore,0.04269437,1.0809,50.4070,momentum,True
25,close_position_zscore,0.04204107,1.0644,51.4714,price_action,True
26,stoch_rsi_k_zscore,0.04024570,1.0189,52.4903,momentum,True
27,macd_signal_zscore,0.03828595,0.9693,53.4596,trend,True
28,hour_sin_zscore,0.03552158,0.8993,54.3589,session,True
29,bb_width_zscore,0.03343219,0.8464,55.2054,volatility,True
30,volume_sma_ratio,0.03289654,0.8329,56.0383,volume,True
31,4h_high_low_range_zscore,0.03206982,0.8119,56.8502,volatility,True
32,atr_14_zscore,0.03116846,0.7891,57.6393,volatility,True
33,4h_adx_zscore,0.03113206,0.7882,58.4275,trend,True
34,4h_hour_cos_zscore,0.03052463,0.7728,59.2003,session,True
35,squeeze_on_zscore,0.02999025,0.7593,59.9596,volatility,True
36,1d_vwap_z_score_zscore,0.02993884,0.7580,60.7176,volume,True
37,lead_ussp5_lag3_zscore,0.02962582,0.7501,61.4677,cross_asset,True
38,1d_rsi_14_zscore,0.02943650,0.7453,62.2130,momentum,True
39,1d_plus_di_zscore,0.02796959,0.7081,62.9211,trend,True
40,corr_ussp5_100_zscore,0.02756043,0.6978,63.6189,cross_asset,True
41,vwap_sd_zscore,0.02727864,0.6906,64.3095,volatility,True
42,bb_squeeze_zscore,0.02725685,0.6901,64.9996,volatility,True
43,4h_bb_pctb_zscore,0.02698559,0.6832,65.6828,volatility,True
44,1d_returns_20_zscore,0.02686068,0.6801,66.3629,momentum,True
45,1d_vwap_distance_zscore,0.02612241,0.6614,67.0242,volume,True
46,1d_obv_zscore,0.02522253,0.6386,67.6628,volume,True
47,1d_vwap_zscore,0.02501198,0.6333,68.2961,volume,True
48,4h_macd_histogram_zscore,0.02449798,0.6202,68.9163,trend,True
49,4h_hvol_20_zscore,0.02345810,0.5939,69.5102,volatility,True
50,volume_sma_ratio_log_zscore,0.02220127,0.5621,70.0723,volume,True
51,lead_ussp5_lag1_zscore,0.02174808,0.5506,70.6229,cross_asset,True
52,1d_dow_sin_zscore,0.02146630,0.5435,71.1664,session,True
53,1d_ema_200_zscore,0.02128863,0.5390,71.7054,trend,True
54,stoch_rsi_d_zscore,0.02114353,0.5353,72.2407,momentum,True
55,hvol_20_zscore,0.02049016,0.5188,72.7595,volatility,True
56,1d_volume_sma_ratio,0.02009258,0.5087,73.2682,volume,True
57,4h_stoch_rsi_k_zscore,0.01999773,0.5063,73.7745,momentum,True
58,obv_log_zscore,0.01993465,0.5047,74.2792,volume,True
59,adx_zscore,0.01988260,0.5034,74.7826,trend,True
60,4h_vwap_zscore,0.01986204,0.5029,75.2854,volume,True
61,4h_squeeze_on_zscore,0.01920982,0.4864,75.7718,volatility,True
62,1d_volume_sma_ratio_log_zscore,0.01920635,0.4863,76.2581,volume,True
63,high_low_range_zscore,0.01896033,0.4800,76.7381,volatility,True
64,bb_squeeze_duration_zscore,0.01865584,0.4723,77.2104,volatility,True
65,ema_200_zscore,0.01820926,0.4610,77.6714,trend,True
66,corr_ussp5_20_zscore,0.01817872,0.4602,78.1317,cross_asset,True
67,4h_macd_zscore,0.01757205,0.4449,78.5766,trend,True
68,4h_returns_20_zscore,0.01691622,0.4283,79.0049,momentum,True
69,lead_ussp5_lag6_zscore,0.01654441,0.4189,79.4237,cross_asset,True
70,1d_macd_histogram_zscore,0.01618722,0.4098,79.8336,trend,True
71,4h_plus_di_zscore,0.01597097,0.4044,80.2379,trend,True
72,4h_ema_cross_8_21_zscore,0.01579604,0.3999,80.6378,trend,True
73,4h_rsi_14_zscore,0.01570248,0.3976,81.0354,momentum,True
74,4h_obv_zscore,0.01561507,0.3953,81.4307,volume,True
75,4h_vwap_sd_zscore,0.01526171,0.3864,81.8171,volatility,True
76,4h_volume_sma_ratio_log_zscore,0.01509460,0.3822,82.1993,volume,True
77,bb_upper_zscore,0.01484799,0.3759,82.5752,volatility,True
78,bos_signal_zscore,0.01459843,0.3696,82.9448,structure,True
79,dow_sin_zscore,0.01426461,0.3612,83.3060,session,True
80,1d_adx_zscore,0.01421788,0.3600,83.6659,trend,True
81,1d_bb_middle_zscore,0.01377009,0.3486,84.0146,volatility,True
82,rsi_divergence_zscore,0.01374734,0.3481,84.3626,momentum,True
83,1d_kc_upper_zscore,0.01364330,0.3454,84.7080,volatility,True
84,4h_dow_sin_zscore,0.01358769,0.3440,85.0520,session,False
85,vwap_zscore,0.01332929,0.3375,85.3895,volume,False
86,1d_vwap_rolling_zscore,0.01315341,0.3330,85.7225,volume,False
87,4h_squeeze_momentum_zscore,0.01301831,0.3296,86.0521,volatility,False
88,ema_8_zscore,0.01300657,0.3293,86.3814,trend,False
89,obv,0.01291567,0.3270,86.7084,volume,False
90,1d_hvol_20_zscore,0.01270298,0.3216,87.0300,volatility,False
91,1d_stoch_rsi_k_zscore,0.01261928,0.3195,87.3495,momentum,False
92,1d_atr_14_zscore,0.01213399,0.3072,87.6567,volatility,False
93,1d_atr_ratio_zscore,0.01187903,0.3008,87.9575,volatility,False
94,4h_bb_squeeze_duration_zscore,0.01168435,0.2958,88.2533,volatility,False
95,1d_stoch_rsi_d_zscore,0.01147010,0.2904,88.5437,momentum,False
96,1d_dow_cos_zscore,0.01019537,0.2581,88.8018,session,False
97,4h_macd_signal_zscore,0.01014156,0.2568,89.0586,trend,False
98,4h_structure_trend_zscore,0.01000420,0.2533,89.3119,structure,False
99,4h_dow_cos_zscore,0.00981976,0.2486,89.5605,session,False
100,1d_vwap_upper_10_zscore,0.00958584,0.2427,89.8032,volume,False
101,4h_bb_lower_zscore,0.00933096,0.2362,90.0394,volatility,False
102,4h_vwap_lower_30_zscore,0.00924962,0.2342,90.2736,volume,False
103,4h_volume_sma_ratio,0.00918826,0.2326,90.5063,volume,False
104,1d_vwap_upper_20_zscore,0.00907407,0.2297,90.7360,volume,False
105,4h_bb_width_zscore,0.00899740,0.2278,90.9638,volatility,False
106,1d_vwap_lower_10_zscore,0.00878368,0.2224,91.1862,volume,False
107,kc_upper_zscore,0.00843772,0.2136,91.3998,volatility,False
108,4h_ema_200_zscore,0.00835984,0.2117,91.6115,trend,False
109,1d_macd_signal_zscore,0.00831799,0.2106,91.8221,trend,False
110,kc_lower_zscore,0.00798960,0.2023,92.0243,volatility,False
111,4h_vwap_z_score_zscore,0.00795858,0.2015,92.2258,volume,False
112,structure_trend_zscore,0.00794183,0.2011,92.4269,structure,False
113,4h_stoch_rsi_d_zscore,0.00779168,0.1973,92.6242,momentum,False
114,4h_atr_ratio_zscore,0.00778409,0.1971,92.8212,volatility,False
115,1d_vwap_upper_30_zscore,0.00773490,0.1958,93.0171,volume,False
116,4h_bb_upper_zscore,0.00772494,0.1956,93.2127,volatility,False
117,bb_lower_zscore,0.00768321,0.1945,93.4072,volatility,False
118,1d_squeeze_on_zscore,0.00764837,0.1936,93.6008,volatility,False
119,vwap_lower_30_zscore,0.00754213,0.1910,93.7918,volume,False
120,1d_ema_8_zscore,0.00731711,0.1853,93.9770,trend,False
121,1d_bb_upper_zscore,0.00724643,0.1835,94.1605,volatility,False
122,1d_hour_cos_zscore,0.00706827,0.1790,94.3394,session,False
123,4h_vwap_upper_30_zscore,0.00702227,0.1778,94.5172,volume,False
124,ema_cross_8_21_zscore,0.00668981,0.1694,94.6866,trend,False
125,vwap_upper_20_zscore,0.00668342,0.1692,94.8558,volume,False
126,vwap_upper_30_zscore,0.00647654,0.1640,95.0198,volume,False
127,choch_signal_zscore,0.00645746,0.1635,95.1833,structure,False
128,4h_atr_14_zscore,0.00644587,0.1632,95.3465,volatility,False
129,4h_vwap_lower_20_zscore,0.00635282,0.1608,95.5073,volume,False
130,vwap_rolling_zscore,0.00633442,0.1604,95.6677,volume,False
131,vwap_lower_20_zscore,0.00631720,0.1599,95.8276,volume,False
132,1d_squeeze_off_zscore,0.00628835,0.1592,95.9868,volatility,False
133,1d_vwap_lower_30_zscore,0.00611356,0.1548,96.1416,volume,False
134,4h_bos_signal_zscore,0.00610874,0.1547,96.2963,structure,False
135,1d_bb_lower_zscore,0.00609290,0.1543,96.4505,volatility,False
136,ema_50_zscore,0.00566865,0.1435,96.5941,trend,False
137,4h_ema_50_zscore,0.00565176,0.1431,96.7371,trend,False
138,1d_vwap_sd_zscore,0.00556551,0.1409,96.8781,volatility,False
139,4h_vwap_upper_20_zscore,0.00537610,0.1361,97.0142,volume,False
140,4h_bb_squeeze_zscore,0.00536934,0.1359,97.1501,volatility,False
141,1d_vwap_lower_20_zscore,0.00536664,0.1359,97.2860,volume,False
142,vwap_lower_10_zscore,0.00513153,0.1299,97.4159,volume,False
143,1d_macd_zscore,0.00512572,0.1298,97.5457,trend,False
144,4h_vwap_distance_zscore,0.00503188,0.1274,97.6731,volume,False
145,4h_vwap_lower_10_zscore,0.00502619,0.1273,97.8003,volume,False
146,1d_bb_width_zscore,0.00497709,0.1260,97.9263,volatility,False
147,dow_cos_zscore,0.00490084,0.1241,98.0504,session,False
148,kc_middle_zscore,0.00488447,0.1237,98.1741,volatility,False
149,bb_middle_zscore,0.00458481,0.1161,98.2902,volatility,False
150,1d_hour_sin_zscore,0.00449374,0.1138,98.4039,session,False
151,vwap_upper_10_zscore,0.00441744,0.1118,98.5158,volume,False
152,1d_kc_lower_zscore,0.00404536,0.1024,98.6182,volatility,False
153,1d_ema_50_zscore,0.00373949,0.0947,98.7129,trend,False
154,1d_ema_cross_8_21_zscore,0.00361294,0.0915,98.8043,trend,False
155,1d_ema_21_zscore,0.00338801,0.0858,98.8901,trend,False
156,4h_rsi_divergence_zscore,0.00335898,0.0850,98.9752,momentum,False
157,squeeze_off_zscore,0.00321501,0.0814,99.0566,volatility,False
158,4h_bb_middle_zscore,0.00310209,0.0785,99.1351,volatility,False
159,4h_ema_8_zscore,0.00308989,0.0782,99.2133,trend,False
160,squeeze_momentum_zscore,0.00308362,0.0781,99.2914,volatility,False
161,4h_kc_upper_zscore,0.00300796,0.0762,99.3675,volatility,False
162,4h_vwap_upper_10_zscore,0.00258455,0.0654,99.4330,volume,False
163,4h_kc_middle_zscore,0.00256265,0.0649,99.4979,volatility,False
164,4h_kc_lower_zscore,0.00244292,0.0618,99.5597,volatility,False
165,4h_vwap_rolling_zscore,0.00243691,0.0617,99.6214,volume,False
166,1d_bos_signal_zscore,0.00216192,0.0547,99.6761,structure,False
167,ema_21_zscore,0.00206010,0.0522,99.7283,trend,False
168,1d_rsi_divergence_zscore,0.00185279,0.0469,99.7752,momentum,False
169,4h_squeeze_off_zscore,0.00182917,0.0463,99.8215,volatility,False
170,4h_ema_21_zscore,0.00178575,0.0452,99.8667,trend,False
171,1d_kc_middle_zscore,0.00167113,0.0423,99.9090,volatility,False
172,1d_squeeze_momentum_zscore,0.00122036,0.0309,99.9399,volatility,False
173,ema_cross_50_200_zscore,0.00089776,0.0227,99.9627,trend,False
174,1d_bb_squeeze_duration_zscore,0.00060140,0.0152,99.9779,volatility,False
175,1d_bb_squeeze_zscore,0.00051538,0.0130,99.9909,volatility,False
176,4h_ema_cross_50_200_zscore,0.00035753,0.0091,100.0000,trend,False
177,lead_nas100_lag6_zscore,0.00000000,0.0000,100.0000,cross_asset,False
178,corr_nas100_20_zscore,0.00000000,0.0000,100.0000,cross_asset,False
179,sil_breakeven_inflation_zscore,0.00000000,0.0000,100.0000,sil_macro,False
180,sector_momentum_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
181,sil_alpha_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
182,sil_alpha_sentiment_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
183,sector_dispersion_12_zscore,0.00000000,0.0000,100.0000,cross_asset,False
184,sil_social_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
185,sil_real_yield_10y_zscore,0.00000000,0.0000,100.0000,sil_macro,False
186,lead_nas100_lag1_zscore,0.00000000,0.0000,100.0000,cross_asset,False
187,lead_nas100_lag3_zscore,0.00000000,0.0000,100.0000,cross_asset,False
188,sil_cot_z_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
189,sil_gold_bullish_yield_zscore,0.00000000,0.0000,100.0000,sil_macro,False
190,sil_fear_greed_value_zscore,0.00000000,0.0000,100.0000,sil_macro,False
191,sil_fear_greed_gold_bias_zscore,0.00000000,0.0000,100.0000,sil_macro,False
192,sil_composite_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
193,sil_cot_institutional_bull_zscore,0.00000000,0.0000,100.0000,sil_macro,False
194,sil_cot_net_position_norm_zscore,0.00000000,0.0000,100.0000,sil_macro,False
195,corr_nas100_100_zscore,0.00000000,0.0000,100.0000,cross_asset,False
196,4h_choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
197,1d_structure_trend_zscore,0.00000000,0.0000,100.0000,structure,False
198,1d_ema_cross_50_200_zscore,0.00000000,0.0000,100.0000,trend,False
