rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.05604894,10.8632,10.8632,price_action,True
2,vwap_zscore,0.03997819,7.7484,18.6117,volume,True
3,1d_obv_zscore,0.02246966,4.3550,22.9667,volume,True
4,ema_50_zscore,0.01756469,3.4043,26.3710,trend,True
5,1d_returns_1_zscore,0.01306241,2.5317,28.9027,momentum,True
6,1d_structure_trend_zscore,0.01154171,2.2370,31.1397,structure,True
7,1d_high_low_range_zscore,0.01059584,2.0537,33.1933,volatility,True
8,1d_bb_upper_zscore,0.01037121,2.0101,35.2034,volatility,True
9,4h_vwap_upper_20_zscore,0.00987740,1.9144,37.1178,volume,True
10,vwap_sd_zscore,0.00956116,1.8531,38.9710,volatility,True
11,hour_sin_zscore,0.00748204,1.4501,40.4211,session,True
12,4h_vwap_sd_zscore,0.00743442,1.4409,41.8620,volatility,True
13,4h_plus_di_zscore,0.00689955,1.3372,43.1993,trend,True
14,corr_ussp5_100_zscore,0.00681831,1.3215,44.5208,cross_asset,True
15,sector_dispersion_12_zscore,0.00659236,1.2777,45.7985,cross_asset,True
16,1d_bos_signal_zscore,0.00651167,1.2621,47.0605,structure,True
17,dow_cos_zscore,0.00608455,1.1793,48.2398,session,True
18,corr_nvda_100_zscore,0.00603414,1.1695,49.4093,cross_asset,True
19,returns_5_zscore,0.00556934,1.0794,50.4888,momentum,True
20,corr_nvda_20_zscore,0.00554914,1.0755,51.5643,cross_asset,True
21,rsi_14_zscore,0.00528288,1.0239,52.5882,momentum,True
22,4h_returns_1_zscore,0.00506637,0.9819,53.5701,momentum,True
23,1d_vwap_lower_30_zscore,0.00500685,0.9704,54.5406,volume,True
24,plus_di_zscore,0.00491563,0.9527,55.4933,trend,True
25,ema_200_zscore,0.00480170,0.9306,56.4239,trend,True
26,4h_vwap_zscore,0.00472352,0.9155,57.3394,volume,True
27,structure_trend_zscore,0.00465740,0.9027,58.2421,structure,True
28,1d_atr_14_zscore,0.00441545,0.8558,59.0979,volatility,True
29,4h_vwap_upper_10_zscore,0.00427667,0.8289,59.9268,volume,True
30,4h_bb_upper_zscore,0.00424747,0.8232,60.7500,volatility,True
31,vwap_rolling_zscore,0.00419574,0.8132,61.5632,volume,True
32,4h_adx_zscore,0.00410521,0.7957,62.3589,trend,True
33,4h_close_position_zscore,0.00379291,0.7351,63.0940,price_action,True
34,1d_vwap_rolling_zscore,0.00365351,0.7081,63.8021,volume,True
35,obv_log_zscore,0.00364623,0.7067,64.5088,volume,True
36,1d_ema_50_zscore,0.00349100,0.6766,65.1854,trend,True
37,1d_vwap_lower_20_zscore,0.00346738,0.6720,65.8575,volume,True
38,lead_nvda_lag6_zscore,0.00342926,0.6646,66.5221,cross_asset,True
39,ema_cross_50_200_zscore,0.00340238,0.6594,67.1816,trend,True
40,1d_vwap_z_score_zscore,0.00313887,0.6084,67.7899,volume,True
41,1d_minus_di_zscore,0.00310095,0.6010,68.3909,trend,True
42,1d_macd_histogram_zscore,0.00301805,0.5849,68.9759,trend,True
43,1d_returns_20_zscore,0.00299827,0.5811,69.5570,momentum,True
44,squeeze_off_zscore,0.00297434,0.5765,70.1335,volatility,True
45,atr_ratio_zscore,0.00297075,0.5758,70.7093,volatility,True
46,1d_vwap_upper_30_zscore,0.00282441,0.5474,71.2567,volume,True
47,macd_signal_zscore,0.00279613,0.5419,71.7986,trend,True
48,4h_hour_cos_zscore,0.00275641,0.5342,72.3329,session,True
49,4h_vwap_lower_30_zscore,0.00274901,0.5328,72.8657,volume,True
50,stoch_rsi_d_zscore,0.00269713,0.5227,73.3884,momentum,True
