rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.22532018,7.6470,7.6470,momentum,True
2,hour_cos_zscore,0.17677867,5.9996,13.6465,session,True
3,4h_close_position_zscore,0.13702188,4.6503,18.2968,price_action,True
4,returns_5_zscore,0.09707010,3.2944,21.5912,momentum,True
5,bb_pctb_zscore,0.07216988,2.4493,24.0405,volatility,True
6,1d_high_low_range_zscore,0.07125407,2.4182,26.4588,volatility,True
7,4h_hour_cos_zscore,0.06351614,2.1556,28.6144,session,True
8,1d_close_position_zscore,0.06148541,2.0867,30.7011,price_action,True
9,1d_obv_zscore,0.05456102,1.8517,32.5528,volume,True
10,4h_hour_sin_zscore,0.04600459,1.5613,34.1141,session,True
11,close_position_zscore,0.04596983,1.5601,35.6742,price_action,True
12,4h_returns_1_zscore,0.04442571,1.5077,37.1820,momentum,True
13,rsi_14_zscore,0.04068229,1.3807,38.5627,momentum,True
14,1d_atr_ratio_zscore,0.03925652,1.3323,39.8950,volatility,True
15,1d_vwap_distance_zscore,0.03823076,1.2975,41.1924,volume,True
16,atr_ratio_zscore,0.03814935,1.2947,42.4872,volatility,True
17,returns_20_zscore,0.03706342,1.2579,43.7450,momentum,True
18,1d_vwap_z_score_zscore,0.03698525,1.2552,45.0002,volume,True
19,returns_1_zscore,0.03674999,1.2472,46.2475,momentum,True
20,1d_rsi_14_zscore,0.03662387,1.2429,47.4904,momentum,True
21,bb_width_zscore,0.03571371,1.2121,48.7025,volatility,True
22,vwap_distance_zscore,0.03517309,1.1937,49.8962,volume,True
23,1d_dow_sin_zscore,0.03397502,1.1531,51.0493,session,True
24,plus_di_zscore,0.03104708,1.0537,52.1029,trend,True
25,atr_14_zscore,0.02693220,0.9140,53.0170,volatility,True
26,obv,0.02626387,0.8913,53.9083,volume,True
27,4h_structure_trend_zscore,0.02584103,0.8770,54.7853,structure,True
28,squeeze_on_zscore,0.02548832,0.8650,55.6503,volatility,True
29,4h_adx_zscore,0.02385739,0.8097,56.4600,trend,True
30,1d_minus_di_zscore,0.02331894,0.7914,57.2514,trend,True
31,macd_histogram_zscore,0.02188640,0.7428,57.9942,trend,True
32,1d_bb_pctb_zscore,0.02143894,0.7276,58.7218,volatility,True
33,4h_high_low_range_zscore,0.02114374,0.7176,59.4394,volatility,True
34,1d_atr_14_zscore,0.02084576,0.7075,60.1469,volatility,True
35,4h_atr_ratio_zscore,0.02058023,0.6985,60.8453,volatility,True
36,4h_volume_sma_ratio,0.02022567,0.6864,61.5317,volume,True
37,sector_dispersion_12_zscore,0.01990028,0.6754,62.2071,cross_asset,True
38,bb_squeeze_zscore,0.01957078,0.6642,62.8713,volatility,True
39,4h_returns_5_zscore,0.01947555,0.6610,63.5323,momentum,True
40,minus_di_zscore,0.01904315,0.6463,64.1786,trend,True
41,4h_dow_sin_zscore,0.01903637,0.6461,64.8246,session,True
42,1d_adx_zscore,0.01892569,0.6423,65.4669,trend,True
43,1d_volume_sma_ratio_log_zscore,0.01818860,0.6173,66.0842,volume,True
44,4h_volume_sma_ratio_log_zscore,0.01778067,0.6034,66.6877,volume,True
45,lead_wti_lag6_zscore,0.01714058,0.5817,67.2694,cross_asset,True
46,macd_zscore,0.01696224,0.5757,67.8451,trend,True
47,lead_copper_lag1_zscore,0.01694491,0.5751,68.4202,cross_asset,True
48,4h_plus_di_zscore,0.01686827,0.5725,68.9926,trend,True
49,1d_returns_5_zscore,0.01685761,0.5721,69.5647,momentum,True
50,1d_plus_di_zscore,0.01680924,0.5705,70.1352,trend,True
51,lead_copper_lag6_zscore,0.01645102,0.5583,70.6935,cross_asset,True
52,4h_vwap_upper_20_zscore,0.01635573,0.5551,71.2486,volume,True
53,corr_copper_20_zscore,0.01611772,0.5470,71.7956,cross_asset,True
54,vwap_lower_30_zscore,0.01524972,0.5175,72.3132,volume,True
55,hour_sin_zscore,0.01514786,0.5141,72.8273,session,True
56,corr_copper_100_zscore,0.01510400,0.5126,73.3399,cross_asset,True
57,4h_obv_zscore,0.01481913,0.5029,73.8428,volume,True
58,structure_trend_zscore,0.01417974,0.4812,74.3241,structure,True
59,bos_signal_zscore,0.01380754,0.4686,74.7927,structure,True
60,vwap_z_score_zscore,0.01380360,0.4685,75.2611,volume,True
61,corr_wti_20_zscore,0.01363067,0.4626,75.7237,cross_asset,True
62,1d_volume_sma_ratio,0.01359331,0.4613,76.1851,volume,True
63,4h_bos_signal_zscore,0.01348870,0.4578,76.6428,structure,True
64,vwap_lower_10_zscore,0.01326896,0.4503,77.0932,volume,True
65,squeeze_off_zscore,0.01324072,0.4494,77.5425,volatility,True
66,bb_squeeze_duration_zscore,0.01281487,0.4349,77.9774,volatility,True
67,dow_sin_zscore,0.01272026,0.4317,78.4092,session,True
68,4h_hvol_20_zscore,0.01268789,0.4306,78.8398,volatility,True
69,hvol_20_zscore,0.01210921,0.4110,79.2507,volatility,True
70,4h_vwap_zscore,0.01178533,0.4000,79.6507,volume,True
71,4h_bb_pctb_zscore,0.01177658,0.3997,80.0504,volatility,True
72,1d_returns_20_zscore,0.01145597,0.3888,80.4392,momentum,True
73,4h_vwap_sd_zscore,0.01119913,0.3801,80.8192,volatility,True
74,bb_lower_zscore,0.01115336,0.3785,81.1978,volatility,True
75,4h_ema_200_zscore,0.01064169,0.3612,81.5589,trend,True
76,volume_sma_ratio_log_zscore,0.01046143,0.3550,81.9140,volume,True
77,obv_log_zscore,0.01036773,0.3519,82.2658,volume,True
78,stoch_rsi_k_zscore,0.01026030,0.3482,82.6141,momentum,True
79,lead_copper_lag3_zscore,0.01011586,0.3433,82.9574,cross_asset,True
80,1d_vwap_zscore,0.01011466,0.3433,83.3006,volume,True
81,1d_dow_cos_zscore,0.01006179,0.3415,83.6421,session,True
82,volume_sma_ratio,0.00994488,0.3375,83.9796,volume,True
83,4h_bb_width_zscore,0.00989837,0.3359,84.3156,volatility,True
84,4h_stoch_rsi_d_zscore,0.00959800,0.3257,84.6413,momentum,True
85,adx_zscore,0.00956810,0.3247,84.9660,trend,True
86,4h_minus_di_zscore,0.00955588,0.3243,85.2903,trend,False
87,macd_signal_zscore,0.00929195,0.3154,85.6057,trend,False
88,sector_momentum_12_zscore,0.00924812,0.3139,85.9196,cross_asset,False
89,4h_macd_signal_zscore,0.00909037,0.3085,86.2281,trend,False
90,lead_wti_lag3_zscore,0.00906523,0.3077,86.5357,cross_asset,False
91,dow_cos_zscore,0.00873211,0.2964,86.8321,session,False
92,rsi_divergence_zscore,0.00859197,0.2916,87.1237,momentum,False
93,vwap_zscore,0.00838041,0.2844,87.4081,volume,False
94,corr_wti_100_zscore,0.00831690,0.2823,87.6904,cross_asset,False
95,4h_vwap_lower_20_zscore,0.00831455,0.2822,87.9725,volume,False
96,4h_returns_20_zscore,0.00829389,0.2815,88.2540,momentum,False
97,1d_hour_sin_zscore,0.00806135,0.2736,88.5276,session,False
98,1d_vwap_rolling_zscore,0.00800653,0.2717,88.7993,volume,False
99,4h_stoch_rsi_k_zscore,0.00792028,0.2688,89.0681,momentum,False
100,1d_bb_upper_zscore,0.00791751,0.2687,89.3368,volatility,False
101,4h_atr_14_zscore,0.00784685,0.2663,89.6031,volatility,False
102,vwap_sd_zscore,0.00762120,0.2587,89.8618,volatility,False
103,4h_macd_histogram_zscore,0.00758602,0.2575,90.1193,trend,False
104,1d_stoch_rsi_k_zscore,0.00725327,0.2462,90.3654,momentum,False
105,1d_hvol_20_zscore,0.00721565,0.2449,90.6103,volatility,False
106,1d_kc_lower_zscore,0.00706275,0.2397,90.8500,volatility,False
107,1d_ema_200_zscore,0.00705259,0.2394,91.0894,trend,False
108,high_low_range_zscore,0.00701819,0.2382,91.3275,volatility,False
109,1d_bb_lower_zscore,0.00679380,0.2306,91.5581,volatility,False
