rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.21217769,10.6042,10.6042,momentum,True
2,1d_close_position_zscore,0.20258887,10.1249,20.7291,price_action,True
3,4h_close_position_zscore,0.12025467,6.0101,26.7392,price_action,True
4,bb_pctb_zscore,0.08511121,4.2537,30.9928,volatility,True
5,minus_di_zscore,0.06489623,3.2434,34.2362,trend,True
6,1d_high_low_range_zscore,0.05616011,2.8068,37.0429,volatility,True
7,hour_cos_zscore,0.05361785,2.6797,39.7226,session,True
8,macd_histogram_zscore,0.04226105,2.1121,41.8348,trend,True
9,returns_1_zscore,0.04001395,1.9998,43.8346,momentum,True
10,rsi_14_zscore,0.03798638,1.8985,45.7330,momentum,True
11,returns_5_zscore,0.03530236,1.7643,47.4974,momentum,True
12,vwap_sd_zscore,0.03360767,1.6796,49.1770,volatility,True
13,atr_ratio_zscore,0.03117219,1.5579,50.7349,volatility,True
14,hour_sin_zscore,0.02577085,1.2880,52.0229,session,True
15,stoch_rsi_k_zscore,0.02265137,1.1321,53.1550,momentum,True
16,obv_log_zscore,0.02241272,1.1201,54.2751,volume,True
17,1d_vwap_distance_zscore,0.02118522,1.0588,55.3339,volume,True
18,1d_rsi_14_zscore,0.02056602,1.0278,56.3617,momentum,True
19,4h_atr_14_zscore,0.01924800,0.9620,57.3237,volatility,True
20,plus_di_zscore,0.01918869,0.9590,58.2827,trend,True
21,1d_bb_pctb_zscore,0.01583211,0.7913,59.0740,volatility,True
22,1d_volume_sma_ratio_log_zscore,0.01524671,0.7620,59.8360,volume,True
23,4h_high_low_range_zscore,0.01497997,0.7487,60.5846,volatility,True
24,4h_returns_20_zscore,0.01497455,0.7484,61.3330,momentum,True
25,corr_ussp5_20_zscore,0.01462766,0.7311,62.0641,cross_asset,True
26,1d_bb_upper_zscore,0.01451094,0.7252,62.7893,volatility,True
27,4h_volume_sma_ratio,0.01300103,0.6498,63.4391,volume,True
28,vwap_distance_zscore,0.01225729,0.6126,64.0516,volume,True
29,stoch_rsi_d_zscore,0.01199183,0.5993,64.6510,momentum,True
30,lead_ussp5_lag6_zscore,0.01154532,0.5770,65.2280,cross_asset,True
31,4h_stoch_rsi_k_zscore,0.01128456,0.5640,65.7920,momentum,True
32,dow_sin_zscore,0.01075399,0.5375,66.3294,session,True
33,atr_14_zscore,0.01070603,0.5351,66.8645,volatility,True
34,bb_width_zscore,0.01059781,0.5297,67.3941,volatility,True
35,4h_vwap_z_score_zscore,0.01056873,0.5282,67.9223,volume,True
36,close_position_zscore,0.01029968,0.5148,68.4371,price_action,True
37,4h_bos_signal_zscore,0.01028513,0.5140,68.9511,structure,True
38,corr_ussp5_100_zscore,0.01027998,0.5138,69.4649,cross_asset,True
39,1d_vwap_z_score_zscore,0.01019825,0.5097,69.9746,volume,True
40,volume_sma_ratio,0.01017901,0.5087,70.4833,volume,True
41,4h_returns_1_zscore,0.00980527,0.4900,70.9733,momentum,True
42,ema_8_zscore,0.00977700,0.4886,71.4620,trend,True
43,4h_vwap_upper_30_zscore,0.00966444,0.4830,71.9450,volume,True
44,volume_sma_ratio_log_zscore,0.00958487,0.4790,72.4240,volume,True
45,4h_vwap_sd_zscore,0.00927927,0.4638,72.8878,volatility,True
46,4h_hvol_20_zscore,0.00918617,0.4591,73.3469,volatility,True
47,4h_hour_cos_zscore,0.00912026,0.4558,73.8027,session,True
48,4h_plus_di_zscore,0.00866529,0.4331,74.2358,trend,True
49,4h_vwap_lower_10_zscore,0.00862096,0.4309,74.6666,volume,True
50,1d_adx_zscore,0.00841504,0.4206,75.0872,trend,True
51,1d_vwap_sd_zscore,0.00827360,0.4135,75.5007,volatility,True
52,1d_vwap_rolling_zscore,0.00826715,0.4132,75.9138,volume,True
53,1d_bb_width_zscore,0.00819785,0.4097,76.3236,volatility,True
54,returns_20_zscore,0.00819065,0.4094,76.7329,momentum,True
55,4h_obv_zscore,0.00813905,0.4068,77.1397,volume,True
56,1d_kc_lower_zscore,0.00806434,0.4030,77.5427,volatility,True
57,hvol_20_zscore,0.00796516,0.3981,77.9408,volatility,True
58,4h_atr_ratio_zscore,0.00787914,0.3938,78.3346,volatility,True
59,vwap_z_score_zscore,0.00771600,0.3856,78.7202,volume,True
60,1d_dow_cos_zscore,0.00738932,0.3693,79.0895,session,True
61,lead_ussp5_lag3_zscore,0.00728808,0.3642,79.4538,cross_asset,True
62,lead_ussp5_lag1_zscore,0.00727887,0.3638,79.8175,cross_asset,True
63,1d_atr_ratio_zscore,0.00727856,0.3638,80.1813,volatility,True
64,high_low_range_zscore,0.00720898,0.3603,80.5416,volatility,True
65,4h_stoch_rsi_d_zscore,0.00718890,0.3593,80.9009,momentum,True
66,4h_adx_zscore,0.00717357,0.3585,81.2594,trend,True
67,4h_bb_lower_zscore,0.00708129,0.3539,81.6133,volatility,True
68,1d_dow_sin_zscore,0.00707021,0.3534,81.9667,session,True
69,4h_macd_histogram_zscore,0.00704643,0.3522,82.3188,trend,True
70,bb_squeeze_zscore,0.00685839,0.3428,82.6616,volatility,True
71,4h_vwap_lower_20_zscore,0.00659152,0.3294,82.9910,volume,True
72,1d_returns_20_zscore,0.00637376,0.3185,83.3096,momentum,True
73,4h_minus_di_zscore,0.00631837,0.3158,83.6253,trend,True
74,1d_volume_sma_ratio,0.00617196,0.3085,83.9338,volume,True
75,1d_obv_zscore,0.00604703,0.3022,84.2360,volume,True
76,dow_cos_zscore,0.00599138,0.2994,84.5354,session,True
77,4h_volume_sma_ratio_log_zscore,0.00589122,0.2944,84.8299,volume,True
78,4h_hour_sin_zscore,0.00588132,0.2939,85.1238,session,False
79,1d_vwap_lower_10_zscore,0.00580966,0.2904,85.4142,volume,False
80,4h_bb_width_zscore,0.00567543,0.2836,85.6978,volatility,False
81,1d_macd_signal_zscore,0.00557613,0.2787,85.9765,trend,False
82,bb_upper_zscore,0.00557116,0.2784,86.2549,volatility,False
83,4h_vwap_lower_30_zscore,0.00556771,0.2783,86.5332,volume,False
84,1d_plus_di_zscore,0.00556618,0.2782,86.8114,trend,False
85,1d_hvol_20_zscore,0.00546475,0.2731,87.0845,volatility,False
86,corr_nas100_20_zscore,0.00541053,0.2704,87.3549,cross_asset,False
87,bb_squeeze_duration_zscore,0.00539023,0.2694,87.6243,volatility,False
88,vwap_zscore,0.00536134,0.2679,87.8922,volume,False
89,4h_vwap_distance_zscore,0.00516846,0.2583,88.1505,volume,False
90,4h_bb_upper_zscore,0.00505365,0.2526,88.4031,volatility,False
91,adx_zscore,0.00501744,0.2508,88.6539,trend,False
92,1d_returns_5_zscore,0.00484110,0.2419,88.8958,momentum,False
93,1d_stoch_rsi_d_zscore,0.00482024,0.2409,89.1367,momentum,False
94,4h_macd_signal_zscore,0.00467379,0.2336,89.3703,trend,False
95,4h_bb_pctb_zscore,0.00451948,0.2259,89.5962,volatility,False
96,4h_structure_trend_zscore,0.00451323,0.2256,89.8217,structure,False
97,vwap_rolling_zscore,0.00446018,0.2229,90.0447,volume,False
98,1d_ema_50_zscore,0.00445004,0.2224,90.2671,trend,False
99,1d_ema_21_zscore,0.00437952,0.2189,90.4859,trend,False
100,4h_returns_5_zscore,0.00435173,0.2175,90.7034,momentum,False
101,ema_cross_50_200_zscore,0.00431636,0.2157,90.9191,trend,False
102,1d_ema_8_zscore,0.00423354,0.2116,91.1307,trend,False
103,macd_signal_zscore,0.00416406,0.2081,91.3388,trend,False
104,macd_zscore,0.00412657,0.2062,91.5451,trend,False
105,1d_kc_upper_zscore,0.00409669,0.2047,91.7498,volatility,False
106,1d_vwap_upper_20_zscore,0.00405625,0.2027,91.9525,volume,False
107,4h_dow_cos_zscore,0.00401614,0.2007,92.1533,session,False
108,1d_atr_14_zscore,0.00396085,0.1980,92.3512,volatility,False
109,1d_vwap_zscore,0.00391818,0.1958,92.5470,volume,False
110,1d_rsi_divergence_zscore,0.00381903,0.1909,92.7379,momentum,False
111,1d_vwap_lower_20_zscore,0.00374224,0.1870,92.9249,volume,False
112,1d_vwap_lower_30_zscore,0.00372891,0.1864,93.1113,volume,False
113,4h_vwap_zscore,0.00371290,0.1856,93.2969,volume,False
114,4h_vwap_upper_20_zscore,0.00370642,0.1852,93.4821,volume,False
115,vwap_upper_30_zscore,0.00364667,0.1823,93.6643,volume,False
116,sector_dispersion_12_zscore,0.00364038,0.1819,93.8463,cross_asset,False
117,4h_vwap_upper_10_zscore,0.00363999,0.1819,94.0282,volume,False
118,1d_bb_middle_zscore,0.00363201,0.1815,94.2097,volatility,False
119,1d_vwap_upper_10_zscore,0.00361266,0.1806,94.3903,volume,False
120,4h_dow_sin_zscore,0.00347896,0.1739,94.5641,session,False
121,1d_bb_lower_zscore,0.00337409,0.1686,94.7328,volatility,False
122,vwap_lower_30_zscore,0.00330920,0.1654,94.8982,volume,False
123,bos_signal_zscore,0.00321962,0.1609,95.0591,structure,False
124,squeeze_off_zscore,0.00312873,0.1564,95.2154,volatility,False
125,vwap_lower_10_zscore,0.00304666,0.1523,95.3677,volume,False
126,4h_kc_upper_zscore,0.00303235,0.1516,95.5193,volatility,False
127,1d_vwap_upper_30_zscore,0.00296278,0.1481,95.6673,volume,False
128,obv,0.00290964,0.1454,95.8127,volume,False
129,1d_minus_di_zscore,0.00290415,0.1451,95.9579,trend,False
130,4h_ema_cross_8_21_zscore,0.00286054,0.1430,96.1009,trend,False
131,1d_macd_zscore,0.00273600,0.1367,96.2376,trend,False
132,structure_trend_zscore,0.00267435,0.1337,96.3712,structure,False
133,1d_macd_histogram_zscore,0.00263598,0.1317,96.5030,trend,False
134,4h_ema_200_zscore,0.00256798,0.1283,96.6313,trend,False
135,4h_rsi_divergence_zscore,0.00251148,0.1255,96.7568,momentum,False
136,rsi_divergence_zscore,0.00249593,0.1247,96.8816,momentum,False
137,corr_nas100_100_zscore,0.00248075,0.1240,97.0056,cross_asset,False
138,1d_structure_trend_zscore,0.00246702,0.1233,97.1289,structure,False
139,sector_momentum_12_zscore,0.00246222,0.1231,97.2519,cross_asset,False
140,1d_ema_200_zscore,0.00234148,0.1170,97.3689,trend,False
141,lead_nas100_lag3_zscore,0.00233315,0.1166,97.4856,cross_asset,False
142,4h_ema_cross_50_200_zscore,0.00221117,0.1105,97.5961,trend,False
143,kc_lower_zscore,0.00218306,0.1091,97.7052,volatility,False
144,4h_squeeze_off_zscore,0.00217751,0.1088,97.8140,volatility,False
145,lead_nas100_lag6_zscore,0.00216185,0.1080,97.9220,cross_asset,False
146,4h_bb_squeeze_duration_zscore,0.00197542,0.0987,98.0208,volatility,False
147,4h_rsi_14_zscore,0.00192540,0.0962,98.1170,momentum,False
148,1d_stoch_rsi_k_zscore,0.00189833,0.0949,98.2119,momentum,False
149,4h_macd_zscore,0.00189365,0.0946,98.3065,trend,False
150,1d_ema_cross_8_21_zscore,0.00186326,0.0931,98.3996,trend,False
151,ema_cross_8_21_zscore,0.00185069,0.0925,98.4921,trend,False
152,vwap_upper_10_zscore,0.00181573,0.0907,98.5829,volume,False
153,4h_squeeze_on_zscore,0.00179987,0.0900,98.6728,volatility,False
154,kc_upper_zscore,0.00175510,0.0877,98.7605,volatility,False
155,4h_kc_lower_zscore,0.00156786,0.0784,98.8389,volatility,False
156,squeeze_momentum_zscore,0.00153778,0.0769,98.9157,volatility,False
157,4h_squeeze_momentum_zscore,0.00152665,0.0763,98.9920,volatility,False
158,1d_bos_signal_zscore,0.00150057,0.0750,99.0670,structure,False
159,4h_ema_8_zscore,0.00138610,0.0693,99.1363,trend,False
160,bb_lower_zscore,0.00133857,0.0669,99.2032,volatility,False
161,ema_50_zscore,0.00129425,0.0647,99.2679,trend,False
162,4h_ema_50_zscore,0.00129226,0.0646,99.3325,trend,False
163,vwap_lower_20_zscore,0.00123232,0.0616,99.3941,volume,False
164,4h_kc_middle_zscore,0.00121245,0.0606,99.4547,volatility,False
165,4h_ema_21_zscore,0.00120686,0.0603,99.5150,trend,False
166,squeeze_on_zscore,0.00117569,0.0588,99.5737,volatility,False
167,vwap_upper_20_zscore,0.00111036,0.0555,99.6292,volume,False
168,4h_bb_middle_zscore,0.00106441,0.0532,99.6824,volatility,False
169,ema_200_zscore,0.00102866,0.0514,99.7338,trend,False
170,1d_kc_middle_zscore,0.00102457,0.0512,99.7850,volatility,False
171,kc_middle_zscore,0.00102285,0.0511,99.8362,volatility,False
172,1d_squeeze_momentum_zscore,0.00082873,0.0414,99.8776,volatility,False
173,4h_vwap_rolling_zscore,0.00073724,0.0368,99.9144,volume,False
174,ema_21_zscore,0.00064884,0.0324,99.9469,trend,False
175,lead_nas100_lag1_zscore,0.00052475,0.0262,99.9731,cross_asset,False
176,1d_ema_cross_50_200_zscore,0.00027033,0.0135,99.9866,trend,False
177,bb_middle_zscore,0.00026821,0.0134,100.0000,volatility,False
178,sil_breakeven_inflation_zscore,0.00000000,0.0000,100.0000,sil_macro,False
179,sil_alpha_sentiment_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
180,sil_fear_greed_gold_bias_zscore,0.00000000,0.0000,100.0000,sil_macro,False
181,sil_alpha_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
182,sil_fear_greed_value_zscore,0.00000000,0.0000,100.0000,sil_macro,False
183,sil_gold_bullish_yield_zscore,0.00000000,0.0000,100.0000,sil_macro,False
184,sil_composite_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
185,sil_cot_institutional_bull_zscore,0.00000000,0.0000,100.0000,sil_macro,False
186,sil_cot_net_position_norm_zscore,0.00000000,0.0000,100.0000,sil_macro,False
187,sil_cot_z_score_zscore,0.00000000,0.0000,100.0000,sil_macro,False
188,sil_social_bullish_ratio_zscore,0.00000000,0.0000,100.0000,sil_macro,False
189,sil_real_yield_10y_zscore,0.00000000,0.0000,100.0000,sil_macro,False
190,choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
191,4h_choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
192,4h_bb_squeeze_zscore,0.00000000,0.0000,100.0000,volatility,False
193,1d_squeeze_off_zscore,0.00000000,0.0000,100.0000,volatility,False
194,1d_squeeze_on_zscore,0.00000000,0.0000,100.0000,volatility,False
195,1d_hour_sin_zscore,0.00000000,0.0000,100.0000,session,False
196,1d_hour_cos_zscore,0.00000000,0.0000,100.0000,session,False
197,1d_choch_signal_zscore,0.00000000,0.0000,100.0000,structure,False
198,1d_bb_squeeze_zscore,0.00000000,0.0000,100.0000,volatility,False
199,1d_bb_squeeze_duration_zscore,0.00000000,0.0000,100.0000,volatility,False
