rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.21950273,7.3940,7.3940,momentum,True
2,1d_close_position_zscore,0.20416486,6.8773,14.2713,price_action,True
3,4h_close_position_zscore,0.09796164,3.2998,17.5711,price_action,True
4,bb_pctb_zscore,0.06917763,2.3303,19.9014,volatility,True
5,1d_vwap_distance_zscore,0.06305645,2.1241,22.0254,volume,True
6,vwap_distance_zscore,0.05762870,1.9412,23.9667,volume,True
7,rsi_14_zscore,0.05603500,1.8875,25.8542,momentum,True
8,minus_di_zscore,0.05406979,1.8213,27.6755,trend,True
9,squeeze_momentum_zscore,0.05180043,1.7449,29.4204,volatility,True
10,macd_histogram_zscore,0.04824433,1.6251,31.0456,trend,True
11,1d_high_low_range_zscore,0.04220048,1.4215,32.4671,volatility,True
12,1d_obv_zscore,0.04001792,1.3480,33.8151,volume,True
13,4h_hour_sin_zscore,0.03989632,1.3439,35.1590,session,True
14,hour_cos_zscore,0.03944063,1.3286,36.4876,session,True
15,1d_stoch_rsi_k_zscore,0.03890055,1.3104,37.7979,momentum,True
16,vwap_z_score_zscore,0.03867497,1.3028,39.1007,volume,True
17,obv_log_zscore,0.03857094,1.2993,40.4000,volume,True
18,plus_di_zscore,0.03718380,1.2525,41.6525,trend,True
19,returns_5_zscore,0.03600783,1.2129,42.8654,momentum,True
20,4h_vwap_z_score_zscore,0.03382016,1.1392,44.0047,volume,True
21,close_position_zscore,0.03175025,1.0695,45.0742,price_action,True
22,hvol_20_zscore,0.02827900,0.9526,46.0267,volatility,True
23,structure_trend_zscore,0.02813651,0.9478,46.9745,structure,True
24,1d_vwap_zscore,0.02793271,0.9409,47.9154,volume,True
25,4h_returns_1_zscore,0.02784840,0.9381,48.8535,momentum,True
26,returns_1_zscore,0.02760449,0.9299,49.7834,momentum,True
27,1d_plus_di_zscore,0.02705883,0.9115,50.6948,trend,True
28,corr_wti_100_zscore,0.02683846,0.9041,51.5989,cross_asset,True
29,hour_sin_zscore,0.02510613,0.8457,52.4446,session,True
30,lead_aud_lag3_zscore,0.02387235,0.8041,53.2487,cross_asset,True
31,1d_macd_histogram_zscore,0.02382500,0.8025,54.0513,trend,True
32,1d_vwap_z_score_zscore,0.02326585,0.7837,54.8350,volume,True
33,4h_bb_upper_zscore,0.02307841,0.7774,55.6124,volatility,True
34,1d_volume_sma_ratio_log_zscore,0.02257965,0.7606,56.3730,volume,True
35,4h_plus_di_zscore,0.02247161,0.7570,57.1300,trend,True
36,corr_aud_20_zscore,0.02240565,0.7547,57.8847,cross_asset,True
37,stoch_rsi_k_zscore,0.02184112,0.7357,58.6204,momentum,True
38,1d_bb_squeeze_duration_zscore,0.02145827,0.7228,59.3432,volatility,True
39,corr_aud_100_zscore,0.02145201,0.7226,60.0658,cross_asset,True
40,4h_obv_zscore,0.02120983,0.7145,60.7803,volume,True
41,4h_vwap_zscore,0.02052306,0.6913,61.4716,volume,True
42,1d_ema_8_zscore,0.02021885,0.6811,62.1527,trend,True
43,4h_stoch_rsi_d_zscore,0.01965125,0.6620,62.8146,momentum,True
44,4h_structure_trend_zscore,0.01948067,0.6562,63.4709,structure,True
45,1d_bb_pctb_zscore,0.01945076,0.6552,64.1261,volatility,True
46,adx_zscore,0.01919562,0.6466,64.7727,trend,True
47,4h_vwap_upper_10_zscore,0.01906144,0.6421,65.4147,volume,True
48,vwap_upper_30_zscore,0.01891675,0.6372,66.0520,volume,True
49,returns_20_zscore,0.01882122,0.6340,66.6860,momentum,True
50,1d_atr_14_zscore,0.01880234,0.6334,67.3193,volatility,True
51,vwap_upper_20_zscore,0.01765161,0.5946,67.9139,volume,True
52,1d_atr_ratio_zscore,0.01667679,0.5618,68.4757,volatility,True
53,1d_rsi_14_zscore,0.01658633,0.5587,69.0344,momentum,True
54,4h_hour_cos_zscore,0.01648431,0.5553,69.5897,session,True
55,4h_volume_sma_ratio,0.01624599,0.5472,70.1369,volume,True
56,1d_minus_di_zscore,0.01595545,0.5375,70.6744,trend,True
57,ema_8_zscore,0.01412858,0.4759,71.1503,trend,True
58,4h_squeeze_on_zscore,0.01388372,0.4677,71.6180,volatility,True
59,sector_momentum_12_zscore,0.01376587,0.4637,72.0817,cross_asset,True
60,4h_adx_zscore,0.01348759,0.4543,72.5360,trend,True
61,stoch_rsi_d_zscore,0.01334082,0.4494,72.9854,momentum,True
62,1d_adx_zscore,0.01332655,0.4489,73.4343,trend,True
63,squeeze_on_zscore,0.01322968,0.4456,73.8799,volatility,True
64,vwap_zscore,0.01306463,0.4401,74.3200,volume,True
65,4h_macd_zscore,0.01268777,0.4274,74.7474,trend,True
66,4h_bb_squeeze_duration_zscore,0.01216421,0.4098,75.1571,volatility,True
67,1d_vwap_upper_30_zscore,0.01194831,0.4025,75.5596,volume,True
68,1d_kc_upper_zscore,0.01183746,0.3987,75.9584,volatility,True
69,atr_ratio_zscore,0.01175817,0.3961,76.3544,volatility,True
70,4h_stoch_rsi_k_zscore,0.01169499,0.3939,76.7484,momentum,True
71,4h_bb_width_zscore,0.01162722,0.3917,77.1401,volatility,True
72,4h_macd_signal_zscore,0.01155285,0.3892,77.5292,trend,True
73,1d_macd_signal_zscore,0.01133206,0.3817,77.9109,trend,True
74,4h_returns_20_zscore,0.01130658,0.3809,78.2918,momentum,True
75,4h_returns_5_zscore,0.01113417,0.3751,78.6669,momentum,True
76,bb_width_zscore,0.01111614,0.3744,79.0413,volatility,True
77,4h_atr_14_zscore,0.01021148,0.3440,79.3853,volatility,True
78,4h_vwap_sd_zscore,0.01019073,0.3433,79.7286,volatility,True
79,1d_hvol_20_zscore,0.01009869,0.3402,80.0687,volatility,True
80,sector_dispersion_12_zscore,0.00995313,0.3353,80.4040,cross_asset,True
81,4h_hvol_20_zscore,0.00992271,0.3342,80.7382,volatility,True
82,vwap_sd_zscore,0.00977420,0.3292,81.0675,volatility,True
83,lead_wti_lag6_zscore,0.00959669,0.3233,81.3908,cross_asset,True
84,4h_minus_di_zscore,0.00957782,0.3226,81.7134,trend,True
85,1d_vwap_lower_10_zscore,0.00920201,0.3100,82.0234,volume,True
86,4h_vwap_lower_30_zscore,0.00914242,0.3080,82.3313,volume,True
87,4h_vwap_upper_30_zscore,0.00907483,0.3057,82.6370,volume,True
88,ema_cross_8_21_zscore,0.00905246,0.3049,82.9419,trend,True
89,vwap_lower_30_zscore,0.00900894,0.3035,83.2454,volume,True
90,1d_stoch_rsi_d_zscore,0.00891611,0.3003,83.5457,momentum,True
91,4h_vwap_upper_20_zscore,0.00887848,0.2991,83.8448,volume,True
92,4h_squeeze_momentum_zscore,0.00880710,0.2967,84.1415,volatility,True
93,1d_vwap_lower_30_zscore,0.00876880,0.2954,84.4369,volume,True
94,macd_signal_zscore,0.00866798,0.2920,84.7288,trend,True
95,vwap_lower_10_zscore,0.00861491,0.2902,85.0190,volume,False
96,1d_returns_20_zscore,0.00859971,0.2897,85.3087,momentum,False
97,4h_bb_lower_zscore,0.00848142,0.2857,85.5944,volatility,False
98,4h_vwap_rolling_zscore,0.00839032,0.2826,85.8770,volume,False
99,rsi_divergence_zscore,0.00837209,0.2820,86.1591,momentum,False
100,1d_returns_5_zscore,0.00832478,0.2804,86.4395,momentum,False
101,4h_atr_ratio_zscore,0.00828415,0.2791,86.7185,volatility,False
102,1d_vwap_upper_20_zscore,0.00828098,0.2789,86.9975,volume,False
103,4h_rsi_14_zscore,0.00827602,0.2788,87.2763,momentum,False
104,vwap_rolling_zscore,0.00818593,0.2757,87.5520,volume,False
105,kc_middle_zscore,0.00809360,0.2726,87.8246,volatility,False
106,1d_vwap_upper_10_zscore,0.00804096,0.2709,88.0955,volume,False
107,4h_high_low_range_zscore,0.00787328,0.2652,88.3607,volatility,False
108,1d_vwap_rolling_zscore,0.00766115,0.2581,88.6188,volume,False
109,corr_wti_20_zscore,0.00750350,0.2528,88.8715,cross_asset,False
110,macd_zscore,0.00744268,0.2507,89.1222,trend,False
111,lead_aud_lag6_zscore,0.00743772,0.2505,89.3728,cross_asset,False
112,bb_middle_zscore,0.00733086,0.2469,89.6197,volatility,False
113,1d_volume_sma_ratio,0.00721727,0.2431,89.8628,volume,False
