rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.18615182,5.9564,5.9564,momentum,True
2,4h_close_position_zscore,0.13256203,4.2416,10.1980,price_action,True
3,1d_close_position_zscore,0.10746639,3.4386,13.6366,price_action,True
4,hour_sin_zscore,0.08054865,2.5773,16.2140,session,True
5,1d_high_low_range_zscore,0.07679657,2.4573,18.6712,volatility,True
6,4h_returns_1_zscore,0.07271307,2.3266,20.9979,momentum,True
7,atr_ratio_zscore,0.06685681,2.1392,23.1371,volatility,True
8,rsi_14_zscore,0.06455097,2.0655,25.2026,momentum,True
9,bb_pctb_zscore,0.06294150,2.0140,27.2165,volatility,True
10,hour_cos_zscore,0.06077470,1.9446,29.1611,session,True
11,vwap_distance_zscore,0.05903400,1.8889,31.0501,volume,True
12,returns_20_zscore,0.05836913,1.8677,32.9177,momentum,True
13,plus_di_zscore,0.05481594,1.7540,34.6717,trend,True
14,returns_5_zscore,0.05342689,1.7095,36.3812,momentum,True
15,1d_vwap_distance_zscore,0.04764144,1.5244,37.9056,volume,True
16,corr_xau_20_zscore,0.04748599,1.5194,39.4250,cross_asset,True
17,returns_1_zscore,0.04534467,1.4509,40.8759,momentum,True
18,1d_rsi_14_zscore,0.04462795,1.4280,42.3039,momentum,True
19,hvol_20_zscore,0.04102076,1.3126,43.6165,volatility,True
20,bb_width_zscore,0.03966670,1.2692,44.8857,volatility,True
21,close_position_zscore,0.03893492,1.2458,46.1315,price_action,True
22,4h_high_low_range_zscore,0.03720373,1.1904,47.3219,volatility,True
23,atr_14_zscore,0.03575640,1.1441,48.4660,volatility,True
24,1d_returns_5_zscore,0.03221484,1.0308,49.4968,momentum,True
25,corr_copper_100_zscore,0.03150064,1.0079,50.5047,cross_asset,True
26,1d_bb_pctb_zscore,0.03089271,0.9885,51.4932,volatility,True
27,squeeze_on_zscore,0.03069484,0.9822,52.4754,volatility,True
28,1d_atr_ratio_zscore,0.02995925,0.9586,53.4340,volatility,True
29,rsi_divergence_zscore,0.02901253,0.9283,54.3623,momentum,True
30,1d_minus_di_zscore,0.02765544,0.8849,55.2472,trend,True
31,macd_zscore,0.02648126,0.8473,56.0945,trend,True
32,adx_zscore,0.02647285,0.8471,56.9416,trend,True
