rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,sector_momentum_12_zscore,0.35761705,8.7521,8.7521,cross_asset,True
2,lead_eth_lag6_zscore,0.28050038,6.8648,15.6170,cross_asset,True
3,1d_returns_1_zscore,0.17782338,4.3520,19.9689,momentum,True
4,4h_close_position_zscore,0.12928076,3.1640,23.1329,price_action,True
5,1d_close_position_zscore,0.11600617,2.8391,25.9719,price_action,True
6,sector_dispersion_12_zscore,0.10276256,2.5150,28.4869,cross_asset,True
7,lead_btc_lag6_zscore,0.09197456,2.2509,30.7378,cross_asset,True
8,1d_high_low_range_zscore,0.07941001,1.9434,32.6813,volatility,True
9,returns_1_zscore,0.07869004,1.9258,34.6071,momentum,True
10,bb_pctb_zscore,0.07401216,1.8113,36.4184,volatility,True
11,vwap_zscore,0.07179905,1.7572,38.1756,volume,True
12,rsi_14_zscore,0.07099786,1.7376,39.9132,momentum,True
13,returns_5_zscore,0.06606505,1.6168,41.5300,momentum,True
14,1d_vwap_distance_zscore,0.05660855,1.3854,42.9154,volume,True
15,4h_returns_5_zscore,0.05568449,1.3628,44.2782,momentum,True
16,close_position_zscore,0.04869840,1.1918,45.4700,price_action,True
17,plus_di_zscore,0.04709165,1.1525,46.6225,trend,True
18,4h_high_low_range_zscore,0.04700974,1.1505,47.7730,volatility,True
19,4h_returns_1_zscore,0.04544516,1.1122,48.8852,momentum,True
20,vwap_sd_zscore,0.04192781,1.0261,49.9114,volatility,True
21,vwap_z_score_zscore,0.04139224,1.0130,50.9244,volume,True
22,lead_btc_lag3_zscore,0.04001667,0.9793,51.9037,cross_asset,True
23,1d_vwap_z_score_zscore,0.03871096,0.9474,52.8511,volume,True
24,lead_eth_lag3_zscore,0.03801930,0.9305,53.7816,cross_asset,True
25,atr_ratio_zscore,0.03695853,0.9045,54.6861,volatility,True
26,1d_rsi_14_zscore,0.03615626,0.8849,55.5709,momentum,True
27,bb_width_zscore,0.03359550,0.8222,56.3931,volatility,True
28,vwap_lower_30_zscore,0.03346759,0.8191,57.2122,volume,True
29,obv,0.03306304,0.8092,58.0214,volume,True
30,macd_histogram_zscore,0.03283048,0.8035,58.8249,trend,True
31,macd_zscore,0.03206330,0.7847,59.6096,trend,True
32,structure_trend_zscore,0.03203256,0.7839,60.3935,structure,True
33,1d_returns_20_zscore,0.03161317,0.7737,61.1672,momentum,True
34,hvol_20_zscore,0.03096091,0.7577,61.9249,volatility,True
35,1d_atr_ratio_zscore,0.03067900,0.7508,62.6757,volatility,True
36,1d_bb_pctb_zscore,0.03031380,0.7419,63.4176,volatility,True
37,hour_cos_zscore,0.02991352,0.7321,64.1497,session,True
38,macd_signal_zscore,0.02988464,0.7314,64.8811,trend,True
39,1d_minus_di_zscore,0.02952293,0.7225,65.6036,trend,True
40,4h_hour_sin_zscore,0.02942278,0.7201,66.3237,session,True
41,atr_14_zscore,0.02680139,0.6559,66.9796,volatility,True
42,4h_volume_sma_ratio,0.02573409,0.6298,67.6094,volume,True
43,vwap_distance_zscore,0.02485747,0.6083,68.2178,volume,True
44,1d_vwap_lower_10_zscore,0.02379524,0.5824,68.8001,volume,True
45,returns_20_zscore,0.02361819,0.5780,69.3781,momentum,True
46,corr_eth_20_zscore,0.02359491,0.5774,69.9556,cross_asset,True
47,minus_di_zscore,0.02260689,0.5533,70.5089,trend,True
48,1d_kc_lower_zscore,0.02201986,0.5389,71.0478,volatility,True
49,4h_stoch_rsi_k_zscore,0.02197759,0.5379,71.5856,momentum,True
50,1d_bb_upper_zscore,0.02093985,0.5125,72.0981,volatility,True
51,squeeze_off_zscore,0.02078344,0.5086,72.6068,volatility,True
52,4h_macd_signal_zscore,0.02075498,0.5079,73.1147,trend,True
53,volume_sma_ratio,0.02040765,0.4994,73.6141,volume,True
54,4h_macd_zscore,0.02022675,0.4950,74.1092,trend,True
55,corr_btc_20_zscore,0.02010381,0.4920,74.6012,cross_asset,True
56,ema_8_zscore,0.01960897,0.4799,75.0811,trend,True
57,1d_kc_upper_zscore,0.01937112,0.4741,75.5552,volatility,True
58,4h_hour_cos_zscore,0.01919393,0.4697,76.0249,session,True
59,stoch_rsi_k_zscore,0.01898752,0.4647,76.4896,momentum,True
