rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.27722088,9.3432,9.3432,momentum,True
2,1d_close_position_zscore,0.25877902,8.7217,18.0649,price_action,True
3,bb_pctb_zscore,0.10799346,3.6397,21.7046,volatility,True
4,hour_cos_zscore,0.10232588,3.4487,25.1534,session,True
5,returns_5_zscore,0.10022748,3.3780,28.5313,momentum,True
6,1d_high_low_range_zscore,0.08788929,2.9622,31.4935,volatility,True
7,4h_close_position_zscore,0.06945470,2.3408,33.8343,price_action,True
8,4h_hour_cos_zscore,0.06693903,2.2561,36.0904,session,True
9,rsi_14_zscore,0.06188028,2.0856,38.1760,momentum,True
10,returns_1_zscore,0.05405423,1.8218,39.9978,momentum,True
11,dow_sin_zscore,0.05289119,1.7826,41.7804,session,True
12,returns_20_zscore,0.05051093,1.7024,43.4828,momentum,True
13,vwap_distance_zscore,0.04169102,1.4051,44.8879,volume,True
14,stoch_rsi_k_zscore,0.04069683,1.3716,46.2595,momentum,True
15,vwap_sd_zscore,0.03532691,1.1906,47.4501,volatility,True
16,obv,0.03328206,1.1217,48.5718,volume,True
17,hour_sin_zscore,0.03183260,1.0729,49.6447,session,True
18,macd_histogram_zscore,0.03007331,1.0136,50.6583,trend,True
19,vwap_z_score_zscore,0.02992429,1.0085,51.6668,volume,True
20,lead_ussp5_lag3_zscore,0.02731161,0.9205,52.5873,cross_asset,True
21,corr_ussp5_100_zscore,0.02592856,0.8739,53.4612,cross_asset,True
22,1d_returns_5_zscore,0.02581473,0.8700,54.3312,momentum,True
23,minus_di_zscore,0.02578506,0.8690,55.2003,trend,True
24,corr_ussp5_20_zscore,0.02557728,0.8620,56.0623,cross_asset,True
25,1d_minus_di_zscore,0.02424401,0.8171,56.8794,trend,True
26,1d_kc_lower_zscore,0.02388047,0.8048,57.6842,volatility,True
27,1d_rsi_14_zscore,0.02287433,0.7709,58.4552,momentum,True
28,1d_volume_sma_ratio_log_zscore,0.02233314,0.7527,59.2079,volume,True
29,ema_8_zscore,0.02201608,0.7420,59.9499,trend,True
30,4h_hour_sin_zscore,0.02192698,0.7390,60.6889,session,True
31,bb_width_zscore,0.02155950,0.7266,61.4155,volatility,True
32,atr_ratio_zscore,0.02107470,0.7103,62.1258,volatility,True
33,squeeze_off_zscore,0.02054066,0.6923,62.8181,volatility,True
34,hvol_20_zscore,0.02042381,0.6883,63.5064,volatility,True
35,adx_zscore,0.01999997,0.6741,64.1805,trend,True
36,4h_returns_1_zscore,0.01976130,0.6660,64.8465,momentum,True
37,4h_bb_width_zscore,0.01940434,0.6540,65.5005,volatility,True
38,4h_returns_20_zscore,0.01896467,0.6392,66.1397,momentum,True
39,1d_bb_pctb_zscore,0.01877740,0.6329,66.7725,volatility,True
40,1d_vwap_z_score_zscore,0.01861569,0.6274,67.4000,volume,True
41,volume_sma_ratio,0.01843815,0.6214,68.0214,volume,True
42,1d_vwap_distance_zscore,0.01809695,0.6099,68.6313,volume,True
43,4h_hvol_20_zscore,0.01739564,0.5863,69.2176,volatility,True
44,1d_vwap_sd_zscore,0.01722229,0.5804,69.7980,volatility,True
45,1d_plus_di_zscore,0.01700586,0.5732,70.3712,trend,True
46,high_low_range_zscore,0.01693962,0.5709,70.9421,volatility,True
47,1d_obv_zscore,0.01687994,0.5689,71.5110,volume,True
48,1d_ema_200_zscore,0.01681352,0.5667,72.0777,trend,True
49,4h_returns_5_zscore,0.01621721,0.5466,72.6243,momentum,True
50,1d_dow_sin_zscore,0.01606977,0.5416,73.1659,session,True
51,1d_volume_sma_ratio,0.01600665,0.5395,73.7053,volume,True
52,4h_obv_zscore,0.01600612,0.5395,74.2448,volume,True
53,1d_atr_ratio_zscore,0.01590195,0.5359,74.7807,volatility,True
54,close_position_zscore,0.01573718,0.5304,75.3111,price_action,True
55,stoch_rsi_d_zscore,0.01565186,0.5275,75.8387,momentum,True
56,macd_zscore,0.01525903,0.5143,76.3529,trend,True
57,lead_ussp5_lag1_zscore,0.01431041,0.4823,76.8352,cross_asset,True
58,dow_cos_zscore,0.01428725,0.4815,77.3168,session,True
59,plus_di_zscore,0.01413234,0.4763,77.7931,trend,True
60,4h_vwap_rolling_zscore,0.01406653,0.4741,78.2672,volume,True
61,4h_high_low_range_zscore,0.01367154,0.4608,78.7279,volatility,True
62,1d_atr_14_zscore,0.01332626,0.4491,79.1771,volatility,True
63,obv_log_zscore,0.01300031,0.4382,79.6152,volume,True
64,atr_14_zscore,0.01296182,0.4369,80.0521,volatility,True
65,1d_bb_width_zscore,0.01291984,0.4354,80.4875,volatility,True
66,4h_adx_zscore,0.01265660,0.4266,80.9141,trend,True
67,1d_returns_20_zscore,0.01242105,0.4186,81.3327,momentum,True
68,lead_ussp5_lag6_zscore,0.01185504,0.3996,81.7323,cross_asset,True
69,4h_volume_sma_ratio_log_zscore,0.01140883,0.3845,82.1168,volume,True
