rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,lead_de40_lag6_zscore,0.40614259,15.6873,15.6873,cross_asset,True
2,hour_cos_zscore,0.13167340,5.0859,20.7731,session,True
3,1d_returns_1_zscore,0.12270504,4.7395,25.5126,momentum,True
4,4h_close_position_zscore,0.12138623,4.6885,30.2012,price_action,True
5,1d_close_position_zscore,0.07993462,3.0875,33.2886,price_action,True
6,4h_hour_cos_zscore,0.06513610,2.5159,35.8045,session,True
7,1d_rsi_14_zscore,0.05947939,2.2974,38.1019,momentum,True
8,4h_bos_signal_zscore,0.05773745,2.2301,40.3320,structure,True
9,1d_high_low_range_zscore,0.05296289,2.0457,42.3777,volatility,True
10,lead_de40_lag3_zscore,0.04992832,1.9285,44.3062,cross_asset,True
11,returns_5_zscore,0.04844702,1.8713,46.1775,momentum,True
12,hvol_20_zscore,0.03646842,1.4086,47.5860,volatility,True
13,stoch_rsi_k_zscore,0.03518626,1.3591,48.9451,momentum,True
14,lead_de40_lag1_zscore,0.03356699,1.2965,50.2416,cross_asset,True
15,minus_di_zscore,0.03284527,1.2686,51.5103,trend,True
16,plus_di_zscore,0.03217239,1.2427,52.7529,trend,True
17,volume_sma_ratio,0.03125738,1.2073,53.9603,volume,True
18,4h_returns_1_zscore,0.03066692,1.1845,55.1448,momentum,True
19,atr_14_zscore,0.03024633,1.1683,56.3130,volatility,True
20,rsi_14_zscore,0.03002729,1.1598,57.4728,momentum,True
21,bb_pctb_zscore,0.02807446,1.0844,58.5572,volatility,True
22,returns_1_zscore,0.02806189,1.0839,59.6411,momentum,True
23,1d_vwap_distance_zscore,0.02781045,1.0742,60.7153,volume,True
24,close_position_zscore,0.02653927,1.0251,61.7404,price_action,True
25,atr_ratio_zscore,0.02428699,0.9381,62.6784,volatility,True
26,4h_volume_sma_ratio,0.02353535,0.9091,63.5875,volume,True
27,returns_20_zscore,0.02174628,0.8399,64.4275,momentum,True
28,stoch_rsi_d_zscore,0.02045021,0.7899,65.2173,momentum,True
29,4h_returns_5_zscore,0.02027054,0.7829,66.0003,momentum,True
30,vwap_z_score_zscore,0.01975128,0.7629,66.7632,volume,True
31,4h_high_low_range_zscore,0.01929314,0.7452,67.5084,volatility,True
32,bb_width_zscore,0.01863847,0.7199,68.2283,volatility,True
33,1d_obv_zscore,0.01661577,0.6418,68.8701,volume,True
34,obv,0.01592453,0.6151,69.4852,volume,True
35,1d_returns_20_zscore,0.01572207,0.6073,70.0924,momentum,True
36,dow_sin_zscore,0.01525419,0.5892,70.6816,session,True
37,4h_atr_ratio_zscore,0.01523067,0.5883,71.2699,volatility,True
38,1d_volume_sma_ratio,0.01477175,0.5706,71.8405,volume,True
39,vwap_sd_zscore,0.01470141,0.5678,72.4083,volatility,True
40,hour_sin_zscore,0.01400459,0.5409,72.9492,session,True
41,1d_minus_di_zscore,0.01337395,0.5166,73.4658,trend,True
42,1d_volume_sma_ratio_log_zscore,0.01292760,0.4993,73.9651,volume,True
43,corr_de40_20_zscore,0.01275042,0.4925,74.4576,cross_asset,True
44,4h_bb_lower_zscore,0.01243815,0.4804,74.9380,volatility,True
45,1d_vwap_z_score_zscore,0.01177230,0.4547,75.3927,volume,True
46,bos_signal_zscore,0.01167104,0.4508,75.8435,structure,True
47,1d_returns_5_zscore,0.01153215,0.4454,76.2890,momentum,True
48,4h_vwap_zscore,0.01145032,0.4423,76.7312,volume,True
49,4h_volume_sma_ratio_log_zscore,0.01125294,0.4346,77.1659,volume,True
50,volume_sma_ratio_log_zscore,0.01119128,0.4323,77.5981,volume,True
51,obv_log_zscore,0.01003390,0.3876,77.9857,volume,True
52,corr_de40_100_zscore,0.00996901,0.3851,78.3708,cross_asset,True
53,macd_histogram_zscore,0.00993843,0.3839,78.7546,trend,True
54,adx_zscore,0.00972821,0.3758,79.1304,trend,True
55,structure_trend_zscore,0.00970325,0.3748,79.5052,structure,True
56,1d_bb_lower_zscore,0.00955852,0.3692,79.8744,volatility,True
57,4h_atr_14_zscore,0.00944518,0.3648,80.2392,volatility,True
58,4h_returns_20_zscore,0.00936746,0.3618,80.6010,momentum,True
59,4h_hvol_20_zscore,0.00934611,0.3610,80.9620,volatility,True
60,4h_hour_sin_zscore,0.00907540,0.3505,81.3125,session,True
61,ema_8_zscore,0.00885651,0.3421,81.6546,trend,True
62,4h_squeeze_on_zscore,0.00861730,0.3328,81.9875,volatility,True
63,1d_macd_zscore,0.00861586,0.3328,82.3202,trend,True
64,1d_dow_sin_zscore,0.00850893,0.3287,82.6489,session,True
65,4h_bb_pctb_zscore,0.00843937,0.3260,82.9749,volatility,True
66,1d_vwap_upper_20_zscore,0.00803025,0.3102,83.2850,volume,True
67,4h_stoch_rsi_k_zscore,0.00771960,0.2982,83.5832,momentum,True
68,1d_vwap_rolling_zscore,0.00757636,0.2926,83.8758,volume,True
69,1d_hvol_20_zscore,0.00741274,0.2863,84.1622,volatility,True
70,4h_vwap_upper_30_zscore,0.00730748,0.2823,84.4444,volume,True
71,vwap_lower_10_zscore,0.00727331,0.2809,84.7253,volume,True
72,4h_obv_zscore,0.00717988,0.2773,85.0027,volume,False
73,vwap_distance_zscore,0.00716283,0.2767,85.2793,volume,False
74,4h_vwap_upper_10_zscore,0.00710819,0.2746,85.5539,volume,False
75,4h_vwap_sd_zscore,0.00710420,0.2744,85.8283,volatility,False
76,rsi_divergence_zscore,0.00705134,0.2724,86.1006,momentum,False
77,vwap_upper_30_zscore,0.00700760,0.2707,86.3713,volume,False
78,4h_vwap_lower_20_zscore,0.00650789,0.2514,86.6227,volume,False
79,1d_kc_upper_zscore,0.00650414,0.2512,86.8739,volatility,False
80,1d_stoch_rsi_d_zscore,0.00644734,0.2490,87.1229,momentum,False
81,1d_ema_200_zscore,0.00641222,0.2477,87.3706,trend,False
82,kc_lower_zscore,0.00641195,0.2477,87.6183,volatility,False
83,vwap_lower_30_zscore,0.00636657,0.2459,87.8642,volume,False
84,4h_stoch_rsi_d_zscore,0.00633415,0.2447,88.1088,momentum,False
85,4h_ema_cross_50_200_zscore,0.00627393,0.2423,88.3512,trend,False
86,squeeze_momentum_zscore,0.00618419,0.2389,88.5900,volatility,False
87,1d_vwap_upper_30_zscore,0.00598329,0.2311,88.8211,volume,False
88,squeeze_off_zscore,0.00589591,0.2277,89.0489,volatility,False
89,1d_dow_cos_zscore,0.00584142,0.2256,89.2745,session,False
90,4h_macd_signal_zscore,0.00573623,0.2216,89.4960,trend,False
91,vwap_lower_20_zscore,0.00554992,0.2144,89.7104,volume,False
92,4h_bb_squeeze_duration_zscore,0.00548414,0.2118,89.9222,volatility,False
93,1d_bb_width_zscore,0.00544637,0.2104,90.1326,volatility,False
94,bb_upper_zscore,0.00543723,0.2100,90.3426,volatility,False
95,4h_adx_zscore,0.00543108,0.2098,90.5524,trend,False
96,1d_adx_zscore,0.00536792,0.2073,90.7597,trend,False
97,4h_vwap_lower_30_zscore,0.00528378,0.2041,90.9638,volume,False
98,vwap_rolling_zscore,0.00525418,0.2029,91.1668,volume,False
99,1d_stoch_rsi_k_zscore,0.00523166,0.2021,91.3688,momentum,False
100,squeeze_on_zscore,0.00519680,0.2007,91.5696,volatility,False
101,4h_plus_di_zscore,0.00505666,0.1953,91.7649,trend,False
102,dow_cos_zscore,0.00500394,0.1933,91.9581,session,False
