rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.19357288,4.7606,4.7606,price_action,True
2,4h_close_position_zscore,0.18709449,4.6012,9.3618,price_action,True
3,1d_returns_1_zscore,0.11723039,2.8831,12.2449,momentum,True
4,hour_cos_zscore,0.11203190,2.7552,15.0001,session,True
5,1d_high_low_range_zscore,0.11069095,2.7222,17.7223,volatility,True
6,rsi_14_zscore,0.09809685,2.4125,20.1348,momentum,True
7,returns_5_zscore,0.09736911,2.3946,22.5294,momentum,True
8,returns_1_zscore,0.08712092,2.1426,24.6720,momentum,True
9,bb_pctb_zscore,0.08307176,2.0430,26.7150,volatility,True
10,hour_sin_zscore,0.08283467,2.0372,28.7522,session,True
11,4h_returns_1_zscore,0.07711983,1.8966,30.6488,momentum,True
12,1d_rsi_14_zscore,0.07699157,1.8935,32.5423,momentum,True
13,1d_plus_di_zscore,0.06690446,1.6454,34.1876,trend,True
14,4h_returns_5_zscore,0.06517480,1.6029,35.7905,momentum,True
15,1d_returns_5_zscore,0.05753773,1.4150,37.2055,momentum,True
16,close_position_zscore,0.05179468,1.2738,38.4793,price_action,True
17,4h_hvol_20_zscore,0.05038175,1.2390,39.7184,volatility,True
18,4h_hour_cos_zscore,0.05029948,1.2370,40.9554,session,True
19,4h_minus_di_zscore,0.04744270,1.1668,42.1222,trend,True
20,atr_14_zscore,0.04662688,1.1467,43.2689,volatility,True
21,atr_ratio_zscore,0.04590063,1.1288,44.3977,volatility,True
22,returns_20_zscore,0.04447622,1.0938,45.4915,momentum,True
23,4h_adx_zscore,0.04385817,1.0786,46.5701,trend,True
24,4h_structure_trend_zscore,0.04226656,1.0395,47.6096,structure,True
25,4h_obv_zscore,0.04167117,1.0248,48.6344,volume,True
26,1d_bb_squeeze_duration_zscore,0.04145106,1.0194,49.6538,volatility,True
27,4h_high_low_range_zscore,0.04033192,0.9919,50.6457,volatility,True
28,4h_stoch_rsi_k_zscore,0.03997175,0.9830,51.6287,momentum,True
29,1d_vwap_distance_zscore,0.03781410,0.9300,52.5587,volume,True
30,minus_di_zscore,0.03699342,0.9098,53.4685,trend,True
31,4h_stoch_rsi_d_zscore,0.03598120,0.8849,54.3534,momentum,True
32,4h_hour_sin_zscore,0.03543675,0.8715,55.2249,session,True
33,4h_bb_squeeze_duration_zscore,0.03529495,0.8680,56.0929,volatility,True
34,vwap_distance_zscore,0.03516476,0.8648,56.9577,volume,True
35,bb_lower_zscore,0.03365128,0.8276,57.7853,volatility,True
36,macd_histogram_zscore,0.03348501,0.8235,58.6088,trend,True
37,bb_width_zscore,0.03141630,0.7726,59.3814,volatility,True
38,plus_di_zscore,0.02980095,0.7329,60.1143,trend,True
39,1d_minus_di_zscore,0.02934293,0.7216,60.8360,trend,True
40,4h_plus_di_zscore,0.02891263,0.7111,61.5470,trend,True
41,sector_momentum_12_zscore,0.02848192,0.7005,62.2475,cross_asset,True
42,vwap_lower_10_zscore,0.02772899,0.6819,62.9294,volume,True
43,4h_vwap_sd_zscore,0.02711783,0.6669,63.5963,volatility,True
44,1d_bb_pctb_zscore,0.02657322,0.6535,64.2498,volatility,True
45,macd_zscore,0.02578547,0.6341,64.8840,trend,True
46,lead_wti_lag6_zscore,0.02498504,0.6145,65.4984,cross_asset,True
47,4h_macd_signal_zscore,0.02346080,0.5770,66.0754,trend,True
48,4h_bb_pctb_zscore,0.02261239,0.5561,66.6315,volatility,True
49,structure_trend_zscore,0.02257960,0.5553,67.1868,structure,True
50,stoch_rsi_k_zscore,0.02207869,0.5430,67.7298,momentum,True
51,1d_atr_ratio_zscore,0.02067904,0.5086,68.2384,volatility,True
52,sector_dispersion_12_zscore,0.02064376,0.5077,68.7461,cross_asset,True
53,lead_wti_lag1_zscore,0.02010821,0.4945,69.2406,cross_asset,True
54,1d_atr_14_zscore,0.01944790,0.4783,69.7189,volatility,True
55,vwap_z_score_zscore,0.01925173,0.4735,70.1923,volume,True
56,stoch_rsi_d_zscore,0.01877576,0.4618,70.6541,momentum,True
57,vwap_upper_10_zscore,0.01873001,0.4606,71.1147,volume,True
58,corr_wti_20_zscore,0.01848506,0.4546,71.5693,cross_asset,True
59,4h_rsi_14_zscore,0.01808744,0.4448,72.0142,momentum,True
60,1d_kc_upper_zscore,0.01795583,0.4416,72.4557,volatility,True
61,squeeze_on_zscore,0.01767687,0.4347,72.8905,volatility,True
62,1d_vwap_sd_zscore,0.01703012,0.4188,73.3093,volatility,True
63,macd_signal_zscore,0.01701668,0.4185,73.7278,trend,True
64,4h_vwap_lower_20_zscore,0.01698221,0.4176,74.1454,volume,True
65,1d_obv_zscore,0.01687448,0.4150,74.5604,volume,True
66,1d_vwap_z_score_zscore,0.01681471,0.4135,74.9740,volume,True
67,vwap_sd_zscore,0.01617415,0.3978,75.3717,volatility,True
68,bos_signal_zscore,0.01609019,0.3957,75.7674,structure,True
69,4h_vwap_z_score_zscore,0.01606866,0.3952,76.1626,volume,True
70,4h_vwap_upper_30_zscore,0.01602899,0.3942,76.5568,volume,True
71,4h_atr_ratio_zscore,0.01567727,0.3856,76.9424,volatility,True
72,1d_macd_histogram_zscore,0.01556188,0.3827,77.3251,trend,True
73,1d_bb_middle_zscore,0.01531538,0.3767,77.7017,volatility,True
74,1d_stoch_rsi_d_zscore,0.01525294,0.3751,78.0769,momentum,True
75,lead_wti_lag3_zscore,0.01512681,0.3720,78.4489,cross_asset,True
76,corr_wti_100_zscore,0.01499109,0.3687,78.8176,cross_asset,True
77,1d_vwap_upper_10_zscore,0.01491656,0.3668,79.1844,volume,True
78,4h_macd_histogram_zscore,0.01483833,0.3649,79.5493,trend,True
79,vwap_upper_30_zscore,0.01482422,0.3646,79.9139,volume,True
80,kc_lower_zscore,0.01450544,0.3567,80.2706,volatility,True
81,4h_vwap_upper_20_zscore,0.01444020,0.3551,80.6258,volume,True
82,1d_dow_sin_zscore,0.01441273,0.3545,80.9802,session,True
83,4h_squeeze_momentum_zscore,0.01437662,0.3536,81.3338,volatility,True
84,4h_atr_14_zscore,0.01428527,0.3513,81.6851,volatility,True
85,rsi_divergence_zscore,0.01419673,0.3491,82.0342,momentum,True
86,adx_zscore,0.01400688,0.3445,82.3787,trend,True
87,ema_8_zscore,0.01379906,0.3394,82.7181,trend,True
88,1d_vwap_lower_10_zscore,0.01341283,0.3299,83.0479,volume,True
89,1d_adx_zscore,0.01321295,0.3249,83.3729,trend,True
90,4h_returns_20_zscore,0.01300021,0.3197,83.6926,momentum,True
91,4h_vwap_lower_30_zscore,0.01270829,0.3125,84.0051,volume,True
92,1d_ema_200_zscore,0.01265574,0.3112,84.3164,trend,True
93,vwap_upper_20_zscore,0.01265116,0.3111,84.6275,volume,True
94,1d_returns_20_zscore,0.01250278,0.3075,84.9350,momentum,True
95,vwap_lower_30_zscore,0.01245212,0.3062,85.2412,volume,False
96,vwap_lower_20_zscore,0.01240246,0.3050,85.5463,volume,False
97,1d_macd_zscore,0.01199632,0.2950,85.8413,trend,False
98,1d_stoch_rsi_k_zscore,0.01196564,0.2943,86.1356,momentum,False
99,hvol_20_zscore,0.01190567,0.2928,86.4284,volatility,False
100,kc_upper_zscore,0.01160046,0.2853,86.7136,volatility,False
101,ema_cross_8_21_zscore,0.01153504,0.2837,86.9973,trend,False
102,bb_upper_zscore,0.01146898,0.2821,87.2794,volatility,False
103,1d_dow_cos_zscore,0.01136767,0.2796,87.5589,session,False
104,4h_vwap_lower_10_zscore,0.01131567,0.2783,87.8372,volume,False
105,obv_log_zscore,0.01106154,0.2720,88.1093,volume,False
106,squeeze_momentum_zscore,0.01101827,0.2710,88.3802,volatility,False
107,1d_volume_sma_ratio_log_zscore,0.01087385,0.2674,88.6477,volume,False
108,1d_ema_8_zscore,0.01043136,0.2565,88.9042,trend,False
109,1d_vwap_upper_30_zscore,0.01036545,0.2549,89.1591,volume,False
110,1d_kc_lower_zscore,0.01033721,0.2542,89.4134,volatility,False
111,1d_hvol_20_zscore,0.01013155,0.2492,89.6625,volatility,False
112,vwap_rolling_zscore,0.01001355,0.2463,89.9088,volume,False
113,4h_vwap_zscore,0.00985142,0.2423,90.1511,volume,False
114,4h_dow_sin_zscore,0.00976190,0.2401,90.3911,session,False
115,4h_bb_upper_zscore,0.00967192,0.2379,90.6290,volatility,False
116,1d_ema_21_zscore,0.00963067,0.2368,90.8658,trend,False
117,high_low_range_zscore,0.00951537,0.2340,91.0999,volatility,False
118,4h_bb_width_zscore,0.00941779,0.2316,91.3315,volatility,False
119,1d_vwap_upper_20_zscore,0.00936881,0.2304,91.5619,volume,False
120,corr_ussp5_20_zscore,0.00927838,0.2282,91.7901,cross_asset,False
121,1d_vwap_rolling_zscore,0.00919248,0.2261,92.0161,volume,False
122,bb_middle_zscore,0.00911496,0.2242,92.2403,volatility,False
123,1d_ema_50_zscore,0.00907158,0.2231,92.4634,trend,False
124,4h_rsi_divergence_zscore,0.00902737,0.2220,92.6854,momentum,False
125,ema_50_zscore,0.00897783,0.2208,92.9062,trend,False
126,kc_middle_zscore,0.00891139,0.2192,93.1254,volatility,False
127,squeeze_off_zscore,0.00889049,0.2186,93.3440,volatility,False
128,4h_bb_lower_zscore,0.00879497,0.2163,93.5603,volatility,False
129,4h_macd_zscore,0.00863168,0.2123,93.7726,trend,False
