rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.20900853,5.2504,5.2504,price_action,True
2,4h_close_position_zscore,0.19730087,4.9563,10.2068,price_action,True
3,1d_returns_1_zscore,0.10295597,2.5863,12.7931,momentum,True
4,returns_1_zscore,0.10052135,2.5252,15.3183,momentum,True
5,returns_5_zscore,0.09857184,2.4762,17.7945,momentum,True
6,1d_vwap_distance_zscore,0.09670004,2.4292,20.2236,volume,True
7,1d_high_low_range_zscore,0.09210140,2.3137,22.5373,volatility,True
8,rsi_14_zscore,0.08534928,2.1440,24.6813,momentum,True
9,4h_hour_sin_zscore,0.07808587,1.9616,26.6429,session,True
10,sector_momentum_12_zscore,0.07803334,1.9603,28.6031,cross_asset,True
11,4h_high_low_range_zscore,0.07753707,1.9478,30.5509,volatility,True
12,1d_returns_5_zscore,0.07309294,1.8361,32.3871,momentum,True
13,hour_sin_zscore,0.06640983,1.6683,34.0553,session,True
14,bb_pctb_zscore,0.06583843,1.6539,35.7092,volatility,True
15,4h_returns_1_zscore,0.06163991,1.5484,37.2577,momentum,True
16,minus_di_zscore,0.05094870,1.2799,38.5375,trend,True
17,vwap_distance_zscore,0.05074832,1.2748,39.8124,volume,True
18,returns_20_zscore,0.05041352,1.2664,41.0788,momentum,True
19,4h_returns_5_zscore,0.04993265,1.2543,42.3331,momentum,True
20,hour_cos_zscore,0.04864208,1.2219,43.5551,session,True
21,macd_signal_zscore,0.04494209,1.1290,44.6840,trend,True
22,plus_di_zscore,0.04276935,1.0744,45.7584,trend,True
23,close_position_zscore,0.04247486,1.0670,46.8254,price_action,True
24,4h_atr_14_zscore,0.04226770,1.0618,47.8872,volatility,True
25,1d_bb_pctb_zscore,0.04208101,1.0571,48.9443,volatility,True
26,1d_rsi_14_zscore,0.03806437,0.9562,49.9005,momentum,True
27,4h_macd_signal_zscore,0.03768825,0.9468,50.8473,trend,True
28,atr_14_zscore,0.03684561,0.9256,51.7729,volatility,True
29,bb_width_zscore,0.03593334,0.9027,52.6755,volatility,True
30,4h_plus_di_zscore,0.03481866,0.8747,53.5502,trend,True
31,corr_eur_20_zscore,0.03454809,0.8679,54.4181,cross_asset,True
32,sector_dispersion_12_zscore,0.03362666,0.8447,55.2628,cross_asset,True
33,1d_minus_di_zscore,0.03276126,0.8230,56.0858,trend,True
34,lead_eur_lag3_zscore,0.03198545,0.8035,56.8893,cross_asset,True
35,1d_vwap_z_score_zscore,0.03187529,0.8007,57.6900,volume,True
36,corr_jpy_20_zscore,0.03008349,0.7557,58.4457,cross_asset,True
37,4h_adx_zscore,0.02928307,0.7356,59.1813,trend,True
38,1d_plus_di_zscore,0.02883782,0.7244,59.9058,trend,True
39,adx_zscore,0.02883459,0.7243,60.6301,trend,True
40,vwap_upper_30_zscore,0.02578291,0.6477,61.2778,volume,True
41,macd_histogram_zscore,0.02554922,0.6418,61.9196,trend,True
42,4h_macd_histogram_zscore,0.02521694,0.6335,62.5531,trend,True
43,1d_vwap_lower_30_zscore,0.02509238,0.6303,63.1834,volume,True
44,1d_kc_upper_zscore,0.02425631,0.6093,63.7928,volatility,True
45,stoch_rsi_k_zscore,0.02413364,0.6063,64.3990,momentum,True
46,4h_stoch_rsi_d_zscore,0.02386481,0.5995,64.9985,momentum,True
47,4h_stoch_rsi_k_zscore,0.02316773,0.5820,65.5805,momentum,True
48,hvol_20_zscore,0.02295714,0.5767,66.1572,volatility,True
49,lead_jpy_lag6_zscore,0.02282055,0.5733,66.7305,cross_asset,True
50,4h_squeeze_on_zscore,0.02241215,0.5630,67.2935,volatility,True
51,atr_ratio_zscore,0.02207085,0.5544,67.8479,volatility,True
52,4h_bb_width_zscore,0.02178851,0.5473,68.3952,volatility,True
53,4h_hour_cos_zscore,0.02177597,0.5470,68.9423,session,True
54,4h_macd_zscore,0.02155797,0.5416,69.4838,trend,True
55,4h_bb_pctb_zscore,0.02153273,0.5409,70.0247,volatility,True
56,vwap_upper_20_zscore,0.02109201,0.5298,70.5546,volume,True
57,structure_trend_zscore,0.02108112,0.5296,71.0842,structure,True
58,macd_zscore,0.02102085,0.5281,71.6122,trend,True
59,vwap_z_score_zscore,0.02091040,0.5253,72.1375,volume,True
60,high_low_range_zscore,0.02036939,0.5117,72.6492,volatility,True
61,ema_8_zscore,0.01993132,0.5007,73.1499,trend,True
62,4h_bos_signal_zscore,0.01982431,0.4980,73.6479,structure,True
63,corr_jpy_100_zscore,0.01913712,0.4807,74.1286,cross_asset,True
