rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.21116360,8.4749,8.4749,price_action,True
2,4h_close_position_zscore,0.19350064,7.7660,16.2410,price_action,True
3,1d_returns_1_zscore,0.14261554,5.7238,21.9648,momentum,True
4,hour_sin_zscore,0.06744523,2.7069,24.6717,session,True
5,bb_pctb_zscore,0.05985656,2.4023,27.0740,volatility,True
6,1d_high_low_range_zscore,0.05840158,2.3439,29.4179,volatility,True
7,returns_1_zscore,0.05801089,2.3282,31.7461,momentum,True
8,returns_5_zscore,0.05737484,2.3027,34.0488,momentum,True
9,rsi_14_zscore,0.05563140,2.2327,36.2816,momentum,True
10,hour_cos_zscore,0.05001709,2.0074,38.2890,session,True
11,4h_returns_1_zscore,0.04319315,1.7335,40.0225,momentum,True
12,1d_obv_zscore,0.03794977,1.5231,41.5456,volume,True
13,vwap_distance_zscore,0.03578962,1.4364,42.9820,volume,True
14,minus_di_zscore,0.03493474,1.4021,44.3841,trend,True
15,hvol_20_zscore,0.03216167,1.2908,45.6749,volatility,True
16,1d_vwap_distance_zscore,0.03119002,1.2518,46.9267,volume,True
17,4h_volume_sma_ratio,0.02912348,1.1689,48.0955,volume,True
18,1d_bb_lower_zscore,0.02558727,1.0269,49.1225,volatility,True
19,vwap_sd_zscore,0.02553867,1.0250,50.1474,volatility,True
20,vwap_z_score_zscore,0.02520418,1.0116,51.1590,volume,True
21,1d_rsi_14_zscore,0.02421318,0.9718,52.1308,momentum,True
22,macd_zscore,0.02339727,0.9390,53.0698,trend,True
23,4h_high_low_range_zscore,0.02082392,0.8358,53.9056,volatility,True
24,structure_trend_zscore,0.02078500,0.8342,54.7398,structure,True
25,bb_width_zscore,0.02061682,0.8274,55.5672,volatility,True
26,4h_hour_sin_zscore,0.02002933,0.8039,56.3711,session,True
27,returns_20_zscore,0.01892224,0.7594,57.1305,momentum,True
28,4h_hour_cos_zscore,0.01836329,0.7370,57.8675,session,True
29,4h_stoch_rsi_k_zscore,0.01800832,0.7228,58.5903,momentum,True
30,adx_zscore,0.01796683,0.7211,59.3113,trend,True
31,plus_di_zscore,0.01757536,0.7054,60.0167,trend,True
32,1d_plus_di_zscore,0.01726799,0.6930,60.7098,trend,True
33,close_position_zscore,0.01723467,0.6917,61.4015,price_action,True
34,4h_bb_pctb_zscore,0.01719473,0.6901,62.0916,volatility,True
35,macd_histogram_zscore,0.01713115,0.6875,62.7791,trend,True
36,4h_bb_width_zscore,0.01623672,0.6517,63.4308,volatility,True
37,atr_14_zscore,0.01616449,0.6488,64.0795,volatility,True
38,corr_xau_20_zscore,0.01585065,0.6362,64.7157,cross_asset,True
39,1d_vwap_upper_20_zscore,0.01437570,0.5770,65.2926,volume,True
40,corr_ussp5_20_zscore,0.01432903,0.5751,65.8677,cross_asset,True
41,4h_rsi_14_zscore,0.01421315,0.5704,66.4382,momentum,True
42,volume_sma_ratio,0.01403449,0.5633,67.0014,volume,True
43,1d_bb_width_zscore,0.01345067,0.5398,67.5413,volatility,True
44,4h_bos_signal_zscore,0.01334384,0.5355,68.0768,structure,True
45,atr_ratio_zscore,0.01327631,0.5328,68.6097,volatility,True
46,4h_atr_ratio_zscore,0.01326756,0.5325,69.1421,volatility,True
47,lead_ussp5_lag6_zscore,0.01315500,0.5280,69.6701,cross_asset,True
48,1d_vwap_lower_20_zscore,0.01273562,0.5111,70.1813,volume,True
49,4h_plus_di_zscore,0.01246405,0.5002,70.6815,trend,True
50,lead_ussp5_lag3_zscore,0.01243230,0.4990,71.1805,cross_asset,True
51,1d_minus_di_zscore,0.01238390,0.4970,71.6775,trend,True
52,1d_kc_lower_zscore,0.01229381,0.4934,72.1709,volatility,True
53,1d_dow_cos_zscore,0.01134396,0.4553,72.6262,session,True
54,1d_bb_upper_zscore,0.01133994,0.4551,73.0813,volatility,True
55,sector_momentum_12_zscore,0.01131098,0.4540,73.5352,cross_asset,True
56,stoch_rsi_k_zscore,0.01109950,0.4455,73.9807,momentum,True
57,1d_volume_sma_ratio_log_zscore,0.01092637,0.4385,74.4192,volume,True
58,4h_volume_sma_ratio_log_zscore,0.01063762,0.4269,74.8462,volume,True
59,1d_returns_20_zscore,0.01034902,0.4154,75.2615,momentum,True
60,1d_vwap_z_score_zscore,0.01017761,0.4085,75.6700,volume,True
61,lead_xau_lag6_zscore,0.01006846,0.4041,76.0741,cross_asset,True
62,high_low_range_zscore,0.01004629,0.4032,76.4773,volatility,True
63,dow_cos_zscore,0.00993605,0.3988,76.8761,session,True
64,4h_returns_5_zscore,0.00991474,0.3979,77.2740,momentum,True
65,1d_macd_histogram_zscore,0.00990872,0.3977,77.6717,trend,True
66,sector_dispersion_12_zscore,0.00989664,0.3972,78.0689,cross_asset,True
67,1d_bb_middle_zscore,0.00987643,0.3964,78.4653,volatility,True
68,ema_8_zscore,0.00975160,0.3914,78.8566,trend,True
69,1d_adx_zscore,0.00960045,0.3853,79.2419,trend,True
70,1d_dow_sin_zscore,0.00943864,0.3788,79.6208,session,True
71,4h_minus_di_zscore,0.00931794,0.3740,79.9947,trend,True
72,1d_returns_5_zscore,0.00929647,0.3731,80.3678,momentum,True
73,4h_vwap_sd_zscore,0.00910105,0.3653,80.7331,volatility,True
74,4h_stoch_rsi_d_zscore,0.00906480,0.3638,81.0969,momentum,True
75,4h_structure_trend_zscore,0.00901889,0.3620,81.4589,structure,True
76,4h_bb_squeeze_duration_zscore,0.00891113,0.3576,81.8165,volatility,True
77,4h_squeeze_momentum_zscore,0.00889026,0.3568,82.1733,volatility,True
78,1d_vwap_zscore,0.00847146,0.3400,82.5133,volume,True
79,corr_xau_100_zscore,0.00843183,0.3384,82.8517,cross_asset,True
80,vwap_lower_30_zscore,0.00839269,0.3368,83.1886,volume,True
81,bb_upper_zscore,0.00826731,0.3318,83.5204,volatility,True
82,1d_hvol_20_zscore,0.00813367,0.3264,83.8468,volatility,True
83,4h_hvol_20_zscore,0.00810463,0.3253,84.1721,volatility,True
84,stoch_rsi_d_zscore,0.00794150,0.3187,84.4908,momentum,True
85,4h_vwap_lower_30_zscore,0.00775282,0.3112,84.8020,volume,True
86,macd_signal_zscore,0.00774961,0.3110,85.1130,trend,False
87,kc_upper_zscore,0.00754971,0.3030,85.4160,volatility,False
88,4h_vwap_lower_10_zscore,0.00747781,0.3001,85.7161,volume,False
89,lead_ussp5_lag1_zscore,0.00746447,0.2996,86.0157,cross_asset,False
90,4h_vwap_z_score_zscore,0.00729182,0.2927,86.3084,volume,False
91,1d_atr_ratio_zscore,0.00721145,0.2894,86.5978,volatility,False
92,4h_obv_zscore,0.00710976,0.2853,86.8831,volume,False
93,4h_dow_sin_zscore,0.00708788,0.2845,87.1676,session,False
94,4h_macd_histogram_zscore,0.00703547,0.2824,87.4500,trend,False
95,1d_vwap_rolling_zscore,0.00691358,0.2775,87.7274,volume,False
96,1d_bb_pctb_zscore,0.00687425,0.2759,88.0033,volatility,False
97,corr_ussp5_100_zscore,0.00670939,0.2693,88.2726,cross_asset,False
98,bb_middle_zscore,0.00667360,0.2678,88.5405,volatility,False
99,4h_dow_cos_zscore,0.00644105,0.2585,88.7990,session,False
100,1d_vwap_upper_30_zscore,0.00640760,0.2572,89.0561,volume,False
101,4h_bb_squeeze_zscore,0.00622626,0.2499,89.3060,volatility,False
102,1d_vwap_lower_30_zscore,0.00603521,0.2422,89.5482,volume,False
103,squeeze_momentum_zscore,0.00591921,0.2376,89.7858,volatility,False
104,ema_cross_8_21_zscore,0.00581595,0.2334,90.0192,trend,False
105,1d_vwap_upper_10_zscore,0.00578951,0.2324,90.2516,volume,False
106,rsi_divergence_zscore,0.00564507,0.2266,90.4781,momentum,False
107,obv_log_zscore,0.00561902,0.2255,90.7037,volume,False
108,lead_xau_lag3_zscore,0.00559801,0.2247,90.9283,cross_asset,False
109,4h_adx_zscore,0.00551966,0.2215,91.1499,trend,False
110,1d_stoch_rsi_d_zscore,0.00547617,0.2198,91.3696,momentum,False
111,4h_macd_signal_zscore,0.00535531,0.2149,91.5846,trend,False
112,4h_bb_lower_zscore,0.00534615,0.2146,91.7991,volatility,False
113,dow_sin_zscore,0.00532136,0.2136,92.0127,session,False
114,4h_vwap_upper_30_zscore,0.00521040,0.2091,92.2218,volume,False
115,1d_volume_sma_ratio,0.00520525,0.2089,92.4307,volume,False
116,4h_kc_upper_zscore,0.00513481,0.2061,92.6368,volatility,False
117,4h_bb_upper_zscore,0.00513336,0.2060,92.8428,volatility,False
118,4h_squeeze_on_zscore,0.00509511,0.2045,93.0473,volatility,False
