rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.25683579,8.2822,8.2822,momentum,True
2,hour_cos_zscore,0.14658986,4.7271,13.0092,session,True
3,1d_close_position_zscore,0.12404287,4.0000,17.0092,price_action,True
4,4h_close_position_zscore,0.11791142,3.8023,20.8115,price_action,True
5,bb_pctb_zscore,0.10613034,3.4224,24.2339,volatility,True
6,returns_5_zscore,0.08843002,2.8516,27.0855,momentum,True
7,plus_di_zscore,0.07945505,2.5622,29.6477,trend,True
8,4h_returns_1_zscore,0.07623952,2.4585,32.1061,momentum,True
9,returns_1_zscore,0.05986795,1.9306,34.0367,momentum,True
10,1d_high_low_range_zscore,0.05181922,1.6710,35.7077,volatility,True
11,1d_vwap_distance_zscore,0.04617052,1.4889,37.1966,volume,True
12,hour_sin_zscore,0.04428846,1.4282,38.6247,session,True
13,bb_width_zscore,0.04383169,1.4134,40.0382,volatility,True
14,4h_hour_sin_zscore,0.03581583,1.1549,41.1931,session,True
15,1d_vwap_z_score_zscore,0.03413557,1.1008,42.2939,volume,True
16,rsi_14_zscore,0.03351917,1.0809,43.3748,momentum,True
17,4h_hour_cos_zscore,0.03273795,1.0557,44.4305,session,True
18,structure_trend_zscore,0.02984265,0.9623,45.3928,structure,True
19,1d_rsi_14_zscore,0.02979131,0.9607,46.3535,momentum,True
20,1d_plus_di_zscore,0.02960977,0.9548,47.3083,trend,True
21,atr_14_zscore,0.02942116,0.9487,48.2570,volatility,True
22,vwap_z_score_zscore,0.02852134,0.9197,49.1768,volume,True
23,dow_sin_zscore,0.02799609,0.9028,50.0796,session,True
24,close_position_zscore,0.02717630,0.8764,50.9559,price_action,True
25,vwap_sd_zscore,0.02636114,0.8501,51.8060,volatility,True
26,returns_20_zscore,0.02580454,0.8321,52.6381,momentum,True
27,corr_ussp5_20_zscore,0.02537020,0.8181,53.4562,cross_asset,True
28,4h_bb_pctb_zscore,0.02441169,0.7872,54.2434,volatility,True
29,sector_dispersion_12_zscore,0.02421871,0.7810,55.0244,cross_asset,True
30,lead_copper_lag6_zscore,0.02389792,0.7706,55.7950,cross_asset,True
31,vwap_distance_zscore,0.02347600,0.7570,56.5520,volume,True
32,4h_returns_5_zscore,0.02296893,0.7407,57.2927,momentum,True
33,1d_minus_di_zscore,0.02226897,0.7181,58.0108,trend,True
34,4h_volume_sma_ratio,0.02202698,0.7103,58.7211,volume,True
35,lead_copper_lag3_zscore,0.02036802,0.6568,59.3779,cross_asset,True
36,obv_log_zscore,0.02020313,0.6515,60.0294,volume,True
37,macd_histogram_zscore,0.01984598,0.6400,60.6694,trend,True
38,4h_macd_signal_zscore,0.01957018,0.6311,61.3005,trend,True
39,4h_obv_zscore,0.01944499,0.6270,61.9275,volume,True
40,1d_dow_sin_zscore,0.01891293,0.6099,62.5374,session,True
41,corr_copper_20_zscore,0.01869223,0.6028,63.1402,cross_asset,True
42,lead_copper_lag1_zscore,0.01865861,0.6017,63.7418,cross_asset,True
43,minus_di_zscore,0.01835187,0.5918,64.3336,trend,True
44,vwap_zscore,0.01804569,0.5819,64.9156,volume,True
45,4h_macd_histogram_zscore,0.01741572,0.5616,65.4772,trend,True
46,atr_ratio_zscore,0.01705467,0.5500,66.0271,volatility,True
47,corr_copper_100_zscore,0.01694375,0.5464,66.5735,cross_asset,True
48,1d_vwap_lower_10_zscore,0.01689351,0.5448,67.1183,volume,True
49,4h_minus_di_zscore,0.01686185,0.5437,67.6620,trend,True
50,macd_zscore,0.01679830,0.5417,68.2037,trend,True
51,4h_vwap_z_score_zscore,0.01673265,0.5396,68.7433,volume,True
52,hvol_20_zscore,0.01665140,0.5370,69.2802,volatility,True
53,adx_zscore,0.01586768,0.5117,69.7919,trend,True
54,obv,0.01574603,0.5078,70.2997,volume,True
55,1d_hvol_20_zscore,0.01568055,0.5056,70.8053,volatility,True
56,4h_bos_signal_zscore,0.01567335,0.5054,71.3107,structure,True
57,4h_bb_width_zscore,0.01534916,0.4950,71.8057,volatility,True
58,1d_vwap_lower_30_zscore,0.01498522,0.4832,72.2889,volume,True
59,squeeze_momentum_zscore,0.01497799,0.4830,72.7719,volatility,True
60,1d_kc_upper_zscore,0.01491434,0.4809,73.2529,volatility,True
61,stoch_rsi_k_zscore,0.01468016,0.4734,73.7263,momentum,True
62,lead_ussp5_lag6_zscore,0.01449926,0.4676,74.1938,cross_asset,True
63,4h_high_low_range_zscore,0.01440575,0.4645,74.6584,volatility,True
64,choch_signal_zscore,0.01392587,0.4491,75.1074,structure,True
65,4h_vwap_sd_zscore,0.01387222,0.4473,75.5548,volatility,True
66,dow_cos_zscore,0.01368798,0.4414,75.9961,session,True
67,4h_volume_sma_ratio_log_zscore,0.01364730,0.4401,76.4362,volume,True
68,1d_obv_zscore,0.01354391,0.4367,76.8730,volume,True
69,squeeze_on_zscore,0.01328510,0.4284,77.3014,volatility,True
70,4h_stoch_rsi_d_zscore,0.01311803,0.4230,77.7244,momentum,True
71,4h_dow_sin_zscore,0.01252945,0.4040,78.1284,session,True
72,bb_squeeze_duration_zscore,0.01250755,0.4033,78.5318,volatility,True
73,lead_ussp5_lag1_zscore,0.01249216,0.4028,78.9346,cross_asset,True
74,1d_volume_sma_ratio_log_zscore,0.01239864,0.3998,79.3344,volume,True
75,squeeze_off_zscore,0.01212518,0.3910,79.7254,volatility,True
76,1d_adx_zscore,0.01207963,0.3895,80.1149,trend,True
77,1d_bb_lower_zscore,0.01179121,0.3802,80.4952,volatility,True
78,4h_stoch_rsi_k_zscore,0.01150267,0.3709,80.8661,momentum,True
79,1d_bb_pctb_zscore,0.01149207,0.3706,81.2367,volatility,True
80,4h_vwap_zscore,0.01145764,0.3695,81.6062,volume,True
81,bb_squeeze_zscore,0.01140873,0.3679,81.9741,volatility,True
82,stoch_rsi_d_zscore,0.01125726,0.3630,82.3371,momentum,True
83,sector_momentum_12_zscore,0.01107558,0.3572,82.6942,cross_asset,True
84,1d_volume_sma_ratio,0.01096786,0.3537,83.0479,volume,True
85,vwap_upper_20_zscore,0.01081454,0.3487,83.3966,volume,True
86,1d_macd_histogram_zscore,0.01073287,0.3461,83.7427,trend,True
87,macd_signal_zscore,0.01061199,0.3422,84.0849,trend,True
88,volume_sma_ratio_log_zscore,0.01033954,0.3334,84.4184,volume,True
89,1d_bb_middle_zscore,0.01013998,0.3270,84.7453,volatility,True
90,high_low_range_zscore,0.01011234,0.3261,85.0714,volatility,False
91,4h_rsi_14_zscore,0.01004863,0.3240,85.3955,momentum,False
92,vwap_lower_20_zscore,0.00971804,0.3134,85.7088,volume,False
93,lead_ussp5_lag3_zscore,0.00970910,0.3131,86.0219,cross_asset,False
94,1d_stoch_rsi_d_zscore,0.00969227,0.3125,86.3345,momentum,False
95,bb_upper_zscore,0.00957941,0.3089,86.6434,volatility,False
96,4h_atr_ratio_zscore,0.00951187,0.3067,86.9501,volatility,False
97,vwap_upper_30_zscore,0.00945018,0.3047,87.2549,volume,False
98,4h_adx_zscore,0.00940489,0.3033,87.5581,trend,False
99,4h_vwap_distance_zscore,0.00940205,0.3032,87.8613,volume,False
100,4h_returns_20_zscore,0.00939800,0.3031,88.1644,momentum,False
101,4h_macd_zscore,0.00929354,0.2997,88.4641,trend,False
102,vwap_lower_30_zscore,0.00873431,0.2817,88.7457,volume,False
103,1d_stoch_rsi_k_zscore,0.00870036,0.2806,89.0263,momentum,False
104,corr_ussp5_100_zscore,0.00840459,0.2710,89.2973,cross_asset,False
105,4h_vwap_lower_10_zscore,0.00838553,0.2704,89.5677,volume,False
106,4h_kc_lower_zscore,0.00836060,0.2696,89.8373,volatility,False
107,4h_hvol_20_zscore,0.00820009,0.2644,90.1017,volatility,False
108,4h_vwap_upper_30_zscore,0.00819961,0.2644,90.3662,volume,False
109,4h_ema_cross_8_21_zscore,0.00791722,0.2553,90.6215,trend,False
110,1d_vwap_zscore,0.00762123,0.2458,90.8672,volume,False
111,1d_atr_ratio_zscore,0.00745648,0.2404,91.1077,volatility,False
112,volume_sma_ratio,0.00723447,0.2333,91.3410,volume,False
113,4h_bb_upper_zscore,0.00717652,0.2314,91.5724,volatility,False
114,4h_structure_trend_zscore,0.00702944,0.2267,91.7991,structure,False
115,4h_plus_di_zscore,0.00695295,0.2242,92.0233,trend,False
116,bb_lower_zscore,0.00684789,0.2208,92.2441,volatility,False
117,1d_vwap_upper_20_zscore,0.00675045,0.2177,92.4618,volume,False
118,4h_vwap_lower_20_zscore,0.00672184,0.2168,92.6785,volume,False
119,4h_atr_14_zscore,0.00668350,0.2155,92.8941,volatility,False
120,1d_dow_cos_zscore,0.00662327,0.2136,93.1076,session,False
121,1d_macd_signal_zscore,0.00656330,0.2116,93.3193,trend,False
122,1d_vwap_rolling_zscore,0.00650196,0.2097,93.5289,volume,False
123,1d_returns_5_zscore,0.00616763,0.1989,93.7278,momentum,False
124,1d_atr_14_zscore,0.00601000,0.1938,93.9216,volatility,False
125,1d_returns_20_zscore,0.00583056,0.1880,94.1097,momentum,False
126,1d_vwap_upper_10_zscore,0.00570138,0.1839,94.2935,volume,False
127,1d_vwap_lower_20_zscore,0.00546038,0.1761,94.4696,volume,False
128,1d_macd_zscore,0.00543103,0.1751,94.6447,trend,False
