rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_close_position_zscore,0.26239848,12.5276,12.5276,price_action,True
2,1d_returns_1_zscore,0.15089612,7.2042,19.7317,momentum,True
3,bb_pctb_zscore,0.08625890,4.1182,23.8499,volatility,True
4,1d_high_low_range_zscore,0.06574967,3.1391,26.9890,volatility,True
5,obv_log_zscore,0.05436774,2.5957,29.5846,volume,True
6,1d_rsi_14_zscore,0.05274016,2.5179,32.1026,momentum,True
7,vwap_distance_zscore,0.04795588,2.2895,34.3921,volume,True
8,4h_hour_sin_zscore,0.04752487,2.2690,36.6611,session,True
9,1d_vwap_distance_zscore,0.04687481,2.2379,38.8990,volume,True
10,hour_cos_zscore,0.04387192,2.0946,40.9935,session,True
11,rsi_14_zscore,0.04229412,2.0192,43.0128,momentum,True
12,4h_close_position_zscore,0.03750489,1.7906,44.8034,price_action,True
13,vwap_z_score_zscore,0.03535019,1.6877,46.4911,volume,True
14,returns_5_zscore,0.03391985,1.6194,48.1105,momentum,True
15,returns_20_zscore,0.03368211,1.6081,49.7185,momentum,True
16,hour_sin_zscore,0.02824759,1.3486,51.0672,session,True
17,1d_plus_di_zscore,0.02802304,1.3379,52.4050,trend,True
18,4h_returns_1_zscore,0.02446002,1.1678,53.5728,momentum,True
19,macd_histogram_zscore,0.02286693,1.0917,54.6646,trend,True
20,1d_bb_pctb_zscore,0.02255027,1.0766,55.7412,volatility,True
21,adx_zscore,0.02232488,1.0658,56.8070,trend,True
22,macd_zscore,0.02212265,1.0562,57.8632,trend,True
23,4h_bos_signal_zscore,0.02148328,1.0257,58.8889,structure,True
24,atr_14_zscore,0.01987634,0.9489,59.8378,volatility,True
25,sector_dispersion_12_zscore,0.01918275,0.9158,60.7536,cross_asset,True
26,returns_1_zscore,0.01789651,0.8544,61.6081,momentum,True
27,stoch_rsi_k_zscore,0.01738629,0.8301,62.4381,momentum,True
28,4h_structure_trend_zscore,0.01697541,0.8104,63.2486,structure,True
29,1d_returns_5_zscore,0.01688422,0.8061,64.0547,momentum,True
30,4h_stoch_rsi_k_zscore,0.01664766,0.7948,64.8495,momentum,True
31,bb_width_zscore,0.01664344,0.7946,65.6441,volatility,True
32,1d_obv_zscore,0.01654934,0.7901,66.4342,volume,True
33,minus_di_zscore,0.01600520,0.7641,67.1983,trend,True
34,ema_8_zscore,0.01507181,0.7196,67.9179,trend,True
35,hvol_20_zscore,0.01333724,0.6368,68.5546,volatility,True
36,corr_copper_20_zscore,0.01313942,0.6273,69.1819,cross_asset,True
37,1d_minus_di_zscore,0.01306933,0.6240,69.8059,trend,True
