rank,feature,mean_abs_shap,pct_of_total,cumulative_pct,group,keep
1,1d_returns_1_zscore,0.20336306,7.6474,7.6474,momentum,True
2,4h_close_position_zscore,0.16150840,6.0735,13.7209,price_action,True
3,bb_pctb_zscore,0.11195487,4.2100,17.9310,volatility,True
4,1d_close_position_zscore,0.11114239,4.1795,22.1105,price_action,True
5,hour_cos_zscore,0.07268331,2.7332,24.8437,session,True
6,1d_high_low_range_zscore,0.07151855,2.6894,27.5332,volatility,True
7,returns_5_zscore,0.06145517,2.3110,29.8442,momentum,True
8,returns_1_zscore,0.05865719,2.2058,32.0500,momentum,True
9,returns_20_zscore,0.04960265,1.8653,33.9153,momentum,True
10,4h_returns_1_zscore,0.04951026,1.8618,35.7771,momentum,True
11,hour_sin_zscore,0.04627739,1.7403,37.5174,session,True
12,1d_atr_14_zscore,0.04183801,1.5733,39.0907,volatility,True
13,vwap_sd_zscore,0.04164561,1.5661,40.6567,volatility,True
14,1d_vwap_zscore,0.03937493,1.4807,42.1374,volume,True
15,1d_vwap_z_score_zscore,0.03403315,1.2798,43.4172,volume,True
16,1d_vwap_distance_zscore,0.03168024,1.1913,44.6086,volume,True
17,plus_di_zscore,0.03103777,1.1672,45.7757,trend,True
18,rsi_14_zscore,0.03089484,1.1618,46.9375,momentum,True
19,1d_vwap_rolling_zscore,0.02600772,0.9780,47.9156,volume,True
20,4h_bos_signal_zscore,0.02484152,0.9342,48.8497,structure,True
21,vwap_distance_zscore,0.02444281,0.9192,49.7689,volume,True
22,1d_returns_5_zscore,0.02441626,0.9182,50.6871,momentum,True
23,close_position_zscore,0.02414533,0.9080,51.5950,price_action,True
24,bb_width_zscore,0.02353055,0.8849,52.4799,volatility,True
25,vwap_z_score_zscore,0.02346961,0.8826,53.3625,volume,True
26,4h_high_low_range_zscore,0.02250043,0.8461,54.2086,volatility,True
27,obv_log_zscore,0.02243653,0.8437,55.0523,volume,True
28,lead_jpy_lag6_zscore,0.02225537,0.8369,55.8892,cross_asset,True
29,bb_upper_zscore,0.02169432,0.8158,56.7050,volatility,True
30,4h_hour_sin_zscore,0.02080056,0.7822,57.4872,session,True
31,1d_hvol_20_zscore,0.02043608,0.7685,58.2557,volatility,True
32,corr_ussp5_100_zscore,0.02037304,0.7661,59.0219,cross_asset,True
33,atr_ratio_zscore,0.02030836,0.7637,59.7856,volatility,True
34,4h_hvol_20_zscore,0.02006910,0.7547,60.5402,volatility,True
35,corr_jpy_20_zscore,0.01979078,0.7442,61.2845,cross_asset,True
36,1d_ema_200_zscore,0.01955570,0.7354,62.0199,trend,True
37,4h_volume_sma_ratio,0.01940827,0.7298,62.7497,volume,True
38,hvol_20_zscore,0.01925346,0.7240,63.4737,volatility,True
39,dow_sin_zscore,0.01803315,0.6781,64.1519,session,True
40,4h_obv_zscore,0.01732714,0.6516,64.8035,volume,True
41,1d_minus_di_zscore,0.01692976,0.6366,65.4401,trend,True
42,minus_di_zscore,0.01663800,0.6257,66.0658,trend,True
43,adx_zscore,0.01663096,0.6254,66.6912,trend,True
44,4h_hour_cos_zscore,0.01652166,0.6213,67.3125,session,True
45,1d_bb_upper_zscore,0.01643145,0.6179,67.9304,volatility,True
46,high_low_range_zscore,0.01577944,0.5934,68.5237,volatility,True
47,lead_jpy_lag3_zscore,0.01552700,0.5839,69.1076,cross_asset,True
48,structure_trend_zscore,0.01409857,0.5302,69.6378,structure,True
49,1d_dow_sin_zscore,0.01386744,0.5215,70.1593,session,True
50,4h_bb_pctb_zscore,0.01323157,0.4976,70.6569,volatility,True
51,4h_stoch_rsi_k_zscore,0.01317928,0.4956,71.1525,momentum,True
52,volume_sma_ratio_log_zscore,0.01297582,0.4880,71.6404,volume,True
53,1d_bb_pctb_zscore,0.01264268,0.4754,72.1159,volatility,True
54,corr_jpy_100_zscore,0.01257243,0.4728,72.5886,cross_asset,True
55,1d_kc_lower_zscore,0.01246128,0.4686,73.0572,volatility,True
56,4h_bb_squeeze_zscore,0.01210852,0.4553,73.5126,volatility,True
